Drug,Cell
YM-155,SKM-1
austocystin D,RCC10RGB
sorafenib,SK-HEP-1
UNC0638,RT4
cabozantinib,SNU-5
OSI-930,HEL
OSI-027,NCI-H2342
PF-184,RT4
narciclasine,JL-1
OSI-027,NCI-H1915
CD-437,HCC-1438
BRD-K26531177,SK-BR-3
obatoclax,SNU-1079
marinopyrrole A,NCI-H2122
CAL-101,HuH28
parbendazole,SNU-449
etoposide,HuT 78
BRD-K45681478,HCC1419
PYR-41,Hs 822.T
mitomycin,SUP-B15
triazolothiadiazine,LU99
AM-580,TE-1
sorafenib,EOL-1
triptolide,SNU-840
topotecan,MOLM-6
FQI-2,IMR-32
cerulenin,HUP-T4
SKI-II,VMRC-RCZ
lapatinib,JIMT-1
tamatinib,BC-3C
NSC632839,PA-TU-8902
WP1130,NH-6
chlorambucil,SUP-B15
OSI-930,TUHR4TKB
curcumin,SNU-C2A
lomeguatrib,NCI-H1693
YM-155,DV-90
PDMP,KYSE-30
tanespimycin,OPM-2
SCH-79797,A172
narciclasine,ME-1
NSC632839,CML-T1
GANT-61,KLE
rigosertib,SNU-387
etoposide,JHH-5
KW-2449,HuT 78
AT13387,TM-31
BRD-K34222889,HuCCT1
Ch-55,NCI-H1755
obatoclax,HuCCT1
semagacestat,NCI-H1373
BRD-K41597374,HCC-78
PI-103,RS4;11
ETP-46464,Hs 895.T
CD-1530,COR-L105
FQI-2,OPM-2
MLN2238,KG-1-C
sorafenib,OV-90
parbendazole,Hs 895.T
PHA-793887,MONO-MAC-1
TW-37,DAN-G
docetaxel,SNU-601
sildenafil,SW1116
MG-132,MFE-319
N9-isopropylolomoucine,HCC202
etoposide,NCI-H2452
hyperforin,TCCSUP
dasatinib,SW1417
RAF265,SK-N-AS
AZD6482,WM1799
etoposide,IMR-32
PIK-93,MEL-HO
PRIMA-1,IGR-39
nintedanib,MFE-296
COL-3,HEC-151
BI-2536,HUP-T4
austocystin D,HuCCT1
etoposide,HMCB
rigosertib,KP-2
ABT-737,OCI-LY-19
KU-0063794,HCC2218
TGX-221,HH
necrostatin-7,NCI-H226
simvastatin,U-2 OS
AZD6482,BL-70
BMS-754807,Panc 03.27
BRD-K34222889,SNU-5
MGCD-265,SU-DHL-1
NSC632839,RI-1
simvastatin,KNS-81
tanespimycin,NCI-H2052
pluripotin,Calu-3
fingolimod,NCI-H2081
