,drug,gene,dti_existed,pubmed_hit,MECHANISM,deeppurpose,binary_deeppurpose
0,Methotrexate,TYMS,1.0,1.0,DNA,0.789563000202179,1
1,Methotrexate,ATIC,1.0,1.0,DNA,0.9594944715499878,1
2,Thioguanine,BST2,0.0,0.0,DNA,0.0001328012440353632,0
3,Thioguanine,APBB1IP,0.0,0.0,DNA,0.0005181283340789378,0
4,Thioguanine,SLC43A3,0.0,1.0,DNA,0.0006985015934333205,0
5,Methotrexate,DHFR,1.0,1.0,DNA,0.629987359046936,1
6,Colchicine,IFI16,0.0,0.0,TUBB,0.955862820148468,1
7,Colchicine,PSMB8,0.0,1.0,TUBB,0.6082903742790222,1
8,Thioguanine,RPS4Y1,0.0,0.0,DNA,0.00016170422895811498,0
9,Thioguanine,SPP1,0.0,1.0,DNA,2.773566848190967e-05,0
10,Colchicine,ADAMTS1,0.0,0.0,TUBB,0.899182915687561,1
11,Mercaptopurine,IGLV1-44,0.0,0.0,DNA,2.755576600232956e-10,0
12,Mercaptopurine,IGLC1,0.0,0.0,DNA,3.8908713057006494e-11,0
13,Methotrexate,APBB1IP,0.0,0.0,DNA,0.7606019973754883,1
14,Methotrexate,HMGCR,0.0,1.0,DNA,0.8792892098426819,1
15,Mechlorethamine hydrochloride,IL6ST,0.0,0.0,DNA,0.6847323775291443,1
16,Mechlorethamine hydrochloride,PLS3,0.0,0.0,DNA,0.6984760761260986,1
17,Colchicine,MCTP1,0.0,0.0,TUBB,0.93910151720047,1
18,Mechlorethamine hydrochloride,IGLV1-44,0.0,0.0,DNA,0.6295865178108215,1
19,Mercaptopurine,APBB1IP,0.0,0.0,DNA,2.1174910713739337e-09,0
20,Mechlorethamine hydrochloride,CAV1,0.0,0.0,DNA,0.6757752299308777,1
21,Mechlorethamine hydrochloride,IGLC1,0.0,0.0,DNA,0.6576932668685913,1
22,Allopurinol,CAV1,0.0,1.0,DNA,1.5344885468948632e-06,0
23,Mercaptopurine,SLC38A5,0.0,1.0,DNA,2.9414423674545276e-10,0
24,Allopurinol,CKAP4,0.0,0.0,DNA,3.105038501871604e-07,0
25,Allopurinol,PLS3,0.0,0.0,DNA,1.5575013094348833e-05,0
26,Allopurinol,TEAD1,0.0,0.0,DNA,1.7001166270347312e-06,0
27,Guanazole,ZBTB38,0.0,0.0,DNA,5.1140323193976656e-05,0
28,Guanazole,APBB1IP,0.0,0.0,DNA,3.7353183870436624e-05,0
29,Allopurinol,IL6ST,0.0,0.0,DNA,7.849146641092375e-05,0
30,Guanazole,IGLV1-44,0.0,0.0,DNA,6.984615083638346e-06,0
31,Guanazole,PLS3,0.0,0.0,DNA,1.8826611267286353e-05,0
32,Guanazole,IGLC1,0.0,0.0,DNA,4.341504336480284e-06,0
33,Dactinomycin D,EPAS1,0.0,0.0,DNA,0.9923437237739563,1
34,Dactinomycin D,PRAME,0.0,0.0,DNA,0.9379602670669556,1
35,Dactinomycin D,ZBTB38,0.0,0.0,DNA,0.9131608605384827,1
36,Dactinomycin D,MCTP1,0.0,0.0,DNA,0.776301920413971,1
37,Pyrimethamine,SPP1,0.0,0.0,Other,0.956304132938385,1
38,Pyrimethamine,ITGB5,0.0,0.0,Other,0.991401731967926,1
39,Pyrimethamine,IFI16,0.0,0.0,Other,0.9675233364105225,1
40,Chlorambucil,BST2,0.0,0.0,DNA,0.21276384592056274,0
41,Chlorambucil,RPS4Y1,0.0,1.0,DNA,0.59969562292099,1
42,Chlorambucil,SLC43A3,0.0,0.0,DNA,0.012762701138854027,0
43,Chlorambucil,SPP1,0.0,0.0,DNA,0.3748463988304138,0
44,Thiotepa,IGLV1-44,0.0,0.0,DNA,7.499311727166003e-10,0
45,Chlorambucil,APBB1IP,0.0,0.0,DNA,0.19782444834709167,0
46,Thiotepa,PLS3,0.0,0.0,DNA,4.1541120765486994e-08,0
47,Thiotepa,CAV1,0.0,0.0,DNA,5.91699889085362e-09,0
48,Pyrimethamine,APBB1IP,0.0,0.0,Other,0.984186589717865,1
49,Thiotepa,IGLC1,0.0,0.0,DNA,3.710233786868855e-10,0
50,Melphalan hydrochloride,RPS4Y1,0.0,0.0,DNA,0.017359374091029167,0
51,Melphalan hydrochloride,HMGCR,0.0,0.0,DNA,0.3020273447036743,0
52,Melphalan hydrochloride,BST2,0.0,0.0,DNA,0.0027009849436581135,0
53,Melphalan hydrochloride,SPP1,0.0,0.0,DNA,0.01723841391503811,0
54,Triethylenemelamine,IGLV1-44,0.0,0.0,DNA,0.32025399804115295,0
55,Melphalan hydrochloride,APBB1IP,0.0,0.0,DNA,0.021284446120262146,0
56,Thiotepa,ANXA2P2,0.0,0.0,DNA,2.7249034140197637e-09,0
57,Triethylenemelamine,IGLC1,0.0,0.0,DNA,0.11466962844133377,0
58,Triethylenemelamine,IGLL5,0.0,0.0,DNA,0.1059458777308464,0
59,Triethylenemelamine,SERPINB4,0.0,0.0,DNA,0.24447688460350037,0
60,Triethylenemelamine,PLS3,0.0,0.0,DNA,0.06305775791406631,0
61,Drostanolone propionate,BAX,0.0,0.0,Ho,0.9885671138763428,1
62,Drostanolone propionate,ANXA6,0.0,0.0,Ho,0.6730220317840576,1
63,Quinacrine hydrochloride,SLC43A3,0.0,0.0,DNA,0.7810220718383789,1
64,Quinacrine hydrochloride,APBB1IP,0.0,0.0,DNA,0.7931836247444153,1
65,Quinacrine hydrochloride,BST2,0.0,0.0,DNA,0.7795039415359497,1
66,Nandrolone phenpropionate,AR,1.0,1.0,Ho,0.9998509883880615,1
67,Quinacrine hydrochloride,HMGCR,0.0,0.0,DNA,0.7751690149307251,1
68,Fluorouracil,IGLC1,0.0,0.0,DNA,0.003693000413477421,0
69,Quinacrine hydrochloride,FAR2,0.0,0.0,DNA,0.8140155673027039,1
70,Fluorouracil,IGLV1-44,0.0,0.0,DNA,0.006930822506546974,0
71,Drostanolone propionate,CRACR2A,0.0,0.0,Ho,0.8901271224021912,1
