,drug,smiles
0,Methotrexate,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
1,Thioguanine,C1=NC2=C(N1)C(=S)N=C(N2)N
2,Colchicine,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC
3,Mercaptopurine,C1=NC2=C(N1)C(=S)N=CN2
4,Mechlorethamine hydrochloride,CN(CCCl)CCCl.Cl
5,Allopurinol,C1=NNC2=C1C(=O)NC=N2
6,Guanazole,C1(=NC(=NN1)N)N
7,Dactinomycin D,CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C
8,Pyrimethamine,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl
9,Chlorambucil,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl
10,Thiotepa,C1CN1P(=S)(N2CC2)N3CC3
11,Melphalan hydrochloride,C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl.Cl
12,Triethylenemelamine,C1CN1C2=NC(=NC(=N2)N3CC3)N4CC4
13,Drostanolone propionate,CCC(=O)OC1CCC2C1(CCC3C2CCC4C3(CC(C(=O)C4)C)C)C
14,Quinacrine hydrochloride,CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC.Cl
15,Nandrolone phenpropionate,CC12CCC3C(C1CCC2OC(=O)CCC4=CC=CC=C4)CCC5=CC(=O)CCC35
16,Fluorouracil,C1=C(C(=O)NC(=O)N1)F
17,Testolactone,CC12CCC3C(C1CCC(=O)O2)CCC4=CC(=O)C=CC34C
18,Mitramycin,CC1C(C(CC(O1)OC2CC(OC(C2O)C)OC3=CC4=CC5=C(C(=O)C(C(C5)C(C(=O)C(C(C)O)O)OC)OC6CC(C(C(O6)C)O)OC7CC(C(C(O7)C)O)OC8CC(C(C(O8)C)O)(C)O)C(=C4C(=C3C)O)O)O)O
19,Pipobroman,C1CN(CCN1C(=O)CCBr)C(=O)CCBr
20,Cyclophosphamide,C1CNP(=O)(OC1)N(CCCl)CCCl
21,mitomycin C,CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4)N
22,5-Fluoro-2'-deoxyuridine,C1C(C(OC1N2C=C(C(=O)NC2=O)F)CO)O
23,Hydroxyurea,C(=O)(N)NO
24,Curcumin,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O
25,"Benzamide, N-(5,6,7,9-tetrahydro-1,2,3,10-tetramethoxy-9-oxobenzo(a)heptalen-7-yl)-, (S)-",COC1=CC=C2C(=CC1=O)C(CCC3=CC(=C(C(=C32)OC)OC)OC)NC(=O)C4=CC=CC=C4
26,Dexamethasone,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C
27,Uracil mustard,C1=C(C(=O)NC(=O)N1)N(CCCl)CCCl
