,genes,Attention,name,dtis
0,TOP1MT,1.0,Irinotecan,1.0
1,TOP1,0.8564425734918855,Irinotecan,1.0
2,MIR6807,0.008951357720005696,Irinotecan,0.0
3,MPO,0.005906206751145283,Irinotecan,0.0
4,KRT14,0.0,Irinotecan,0.0
5,TOP1MT,1.0,Topotecan,1.0
6,TOP1,0.8546356699432073,Topotecan,1.0
7,MIR2278,0.008999724686011634,Topotecan,0.0
8,MIR6728,0.0011805157864344465,Topotecan,0.0
9,MMP3,0.0,Topotecan,0.0
10,HPRT1,1.0,Mercaptopurine,1.0
11,PPAT,0.017905604559019763,Mercaptopurine,1.0
12,IMPDH1,0.0006818961899893958,Mercaptopurine,1.0
13,SNORD88B,0.00017325262738757124,Mercaptopurine,0.0
14,RNASE2,0.0,Mercaptopurine,0.0
15,XDH,1.0,Allopurinol,1.0
16,DEFA1,0.007692865758620854,Allopurinol,0.0
17,SNORD16,0.003344016739065986,Allopurinol,0.0
18,MIR624,0.0016984513242747407,Allopurinol,0.0
19,HBG2,0.0,Allopurinol,0.0
20,TOP1,1.0,Camptothecin,1.0
21,MPO,0.04074110636294187,Camptothecin,0.0
22,PRG2,0.019563881616867042,Camptothecin,0.0
23,MIR330,0.0070336571409785826,Camptothecin,0.0
24,SNORD16,0.0,Camptothecin,0.0
25,TOP2B,1.0,Daunorubicin,1.0
26,TOP2A,0.9691928126375561,Daunorubicin,1.0
27,MIR5699,0.8539003777305486,Daunorubicin,0.0
28,SNORD32A,0.005970388951063381,Daunorubicin,0.0
29,HBG2,0.0,Daunorubicin,0.0
30,TOP2A,1.0,Aldoxorubicin,1.0
31,PLA2G2A,0.5477577818018192,Aldoxorubicin,0.0
32,DEFA1,0.011853298175292322,Aldoxorubicin,0.0
33,SNORD88B,0.004700746029367781,Aldoxorubicin,0.0
34,MIR330,0.0,Aldoxorubicin,0.0
