,Term,Adjusted P-value,Genes,drug
0,Epithelial Mesenchymal Transition,0.0016426344427806,SFRP4;POSTN;COL3A1;COL1A2;MMP1;MGP;MMP3,740
1,Angiogenesis,0.0096022129199992,POSTN;COL3A1;PRG2,740
2,Allograft Rejection,0.0276985120728179,CD7;IL2RG;CD3E;CD3D;ELANE,740
0,Complement,2.8259910422376216e-05,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;CTSS;PIK3CG,752
1,UV Response Up,0.0027863085658444,KCNH2;RET;CA2;NTRK3;PRKCD;HSPA2,752
2,E2F Targets,0.0049435408184394,POLE4;WEE1;MELK;CHEK1;CDK1;DCK,752
3,Allograft Rejection,0.0049435408184394,MAP4K1;ITK;ZAP70;LCK;ITGAL;CTSS,752
4,UV Response Dn,0.0061232059836142,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,752
5,PI3K/AKT/mTOR  Signaling,0.0124237948398525,MAP2K3;LCK;MKNK1;CDK1,752
6,Xenobiotic Metabolism,0.0162036295625984,CA2;AKR1C3;HPRT1;PGD;ESR1,752
7,KRAS Signaling Up,0.0162036295625984,MAP4K1;CA2;PTGS2;EPHB2;CTSS,752
0,Allograft Rejection,0.0019711613313367,CD8B;SIT1;IL1B;CD7;IL2RG;CD3E;ELANE,755
1,KRAS Signaling Up,0.0076054474129837,SERPINA3;ABCB1;FCER1G;IL1B;TSPAN7;IL2RG,755
2,Epithelial Mesenchymal Transition,0.0332382144873815,COL3A1;MMP1;MGP;MMP3;BGN,755
0,Complement,2.898452351012945e-05,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;RAF1;CTSS,762
1,UV Response Up,0.0002908385759771635,KCNH2;RET;CA2;NTRK3;PRKCD;TYRO3;HSPA2,762
2,E2F Targets,0.0006570537771122417,POLE4;WEE1;MELK;CHEK1;CDK1;DCK;AURKA,762
3,Allograft Rejection,0.0006570537771122417,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,762
4,PI3K/AKT/mTOR  Signaling,0.001469565581595,MAP2K3;LCK;CDK1;RAF1;EGFR,762
5,UV Response Dn,0.0052335093877044,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,762
9,KRAS Signaling Up,0.0132952857949526,MAP4K1;CA2;PTGS2;EPHB2;CTSS,762
8,Xenobiotic Metabolism,0.0132952857949526,ALDH2;CA2;AKR1C3;HPRT1;ESR1,762
6,G2-M Checkpoint,0.0132952857949526,CHEK1;CDK1;TTK;MAPK14;AURKA,762
7,Apical Junction,0.0132952857949526,KCNH2;SYK;CDH11;MAPK14;EGFR,762
10,Spermatogenesis,0.017172122705206,CDK1;TTK;HSPA2;AURKA,762
15,Inflammatory Response,0.0425254638363837,AXL;LCK;AHR;RAF1,762
11,Androgen Response,0.0425254638363837,STK39;PTK2B;MERTK,762
12,IL-2/STAT5 Signaling,0.0425254638363837,CA2;PIM1;AHR;HIPK2,762
13,TNF-alpha Signaling via NF-kB,0.0425254638363837,MAP2K3;PLK2;SIK1;PTGS2,762
