,NSC,drug,gene,num,rank,dti_existed,predicted_positive,drug_gene,pubmed_hit,top5,key,MECHANISM
0,740,Methotrexate,TYMS,67,3,1,1,740_TYMS,True,True,740_TYMS,DNA
1,740,Methotrexate,ATIC,67,1,1,1,740_ATIC,True,True,740_ATIC,DNA
2,752,Thioguanine,BST2,0,5,0,0,752_BST2,False,True,752_BST2,DNA
3,752,Thioguanine,APBB1IP,0,1,0,0,752_APBB1IP,False,True,752_APBB1IP,DNA
4,752,Thioguanine,SLC43A3,2,3,0,1,752_SLC43A3,True,True,752_SLC43A3,DNA
5,740,Methotrexate,DHFR,300,2,1,1,740_DHFR,True,True,740_DHFR,DNA
6,757,Colchicine,LOC100128816,0,1,0,0,757_LOC100128816,False,True,757_LOC100128816,TUBB
7,757,Colchicine,IFI16,0,2,0,0,757_IFI16,False,True,757_IFI16,TUBB
8,757,Colchicine,PSMB8,4,3,0,1,757_PSMB8,True,True,757_PSMB8,TUBB
9,752,Thioguanine,RPS4Y1,0,2,0,0,752_RPS4Y1,False,True,752_RPS4Y1,DNA
10,752,Thioguanine,SPP1,3,4,0,1,752_SPP1,True,True,752_SPP1,DNA
11,757,Colchicine,ADAMTS1,0,4,0,0,757_ADAMTS1,False,True,757_ADAMTS1,TUBB
12,755,Mercaptopurine,IGLV1-44,0,1,0,0,755_IGLV1-44,False,True,755_IGLV1-44,DNA
13,755,Mercaptopurine,IGLC1,0,2,0,0,755_IGLC1,False,True,755_IGLC1,DNA
14,740,Methotrexate,APBB1IP,0,5,0,0,740_APBB1IP,False,True,740_APBB1IP,DNA
15,740,Methotrexate,HMGCR,41,4,0,1,740_HMGCR,True,True,740_HMGCR,DNA
16,762,Mechlorethamine hydrochloride,IL6ST,0,4,0,0,762_IL6ST,False,True,762_IL6ST,DNA
17,762,Mechlorethamine hydrochloride,PLS3,0,5,0,0,762_PLS3,False,True,762_PLS3,DNA
18,757,Colchicine,MCTP1,0,5,0,0,757_MCTP1,False,True,757_MCTP1,TUBB
19,762,Mechlorethamine hydrochloride,IGLV1-44,0,1,0,0,762_IGLV1-44,False,True,762_IGLV1-44,DNA
20,755,Mercaptopurine,APBB1IP,0,3,0,0,755_APBB1IP,False,True,755_APBB1IP,DNA
21,762,Mechlorethamine hydrochloride,CAV1,0,3,0,0,762_CAV1,False,True,762_CAV1,DNA
22,755,Mercaptopurine,AFAP1-AS1,0,4,0,0,755_AFAP1-AS1,False,True,755_AFAP1-AS1,DNA
23,762,Mechlorethamine hydrochloride,IGLC1,0,2,0,0,762_IGLC1,False,True,762_IGLC1,DNA
24,1390,Allopurinol,CAV1,1,1,0,1,1390_CAV1,True,True,1390_CAV1,DNA
25,755,Mercaptopurine,SLC38A5,1,5,0,1,755_SLC38A5,True,True,755_SLC38A5,DNA
26,1390,Allopurinol,CKAP4,0,3,0,0,1390_CKAP4,False,True,1390_CKAP4,DNA
