,NSC,CID,SMILES,MECHANISM,DrugBank ID,Drug Name,SID,is_dti
0,1,11122,CC1=CC(=O)C=CC1=O,Other,,tolylquinone,-,False
1,17,219123,CCCCCCCCCCCCCCCC1=C(C=CC(=C1)O)N,Other,,4-AMINO-3-PENTADECYLPHENOL,219123,False
2,89,92844,CN(C)CCC(=O)C1=CC=CC=C1.Cl,Other,,(dimethylamino)propiophenone hydrochloride,-,False
3,185,6197,CC1CC(C(=O)C(C1)C(CC2CC(=O)NC(=O)C2)O)C,Other,,Cactinomycin,-,False
4,185,6197,CC1CC(C(=O)C(C1)C(CC2CC(=O)NC(=O)C2)O)C,Other,,Cactinomycin,-,False
5,758187,6197,CC1CC(C(=O)C(C1)C(CC2CC(=O)NC(=O)C2)O)C,Other,,cycloheximide (usan),-,False
6,758187,6197,CC1CC(C(=O)C(C1)C(CC2CC(=O)NC(=O)C2)O)C,Other,,cycloheximide (usan),-,False
7,295,4775,C1=CC=C(C=C1)CCCC(=O)O,Other,DB06819,2-Phenylbutyric Acid,4775,False
8,353,24180741,CCN(CC)CCCNC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC.Cl,Other,,CHLORO-9-[[3-(DIETHYLAMINO)PROPYL]AMINO]-2-METHOXYACRIDI...,24180741,False
9,384,54599265,CCCCCN(CCCCC)CCCNC1=C2CCCCC2=NC3=C1C=C(C=C3)Cl.OP(=O)(O)O,Other,,"7-CHLORO-9-[[3-(DIPENTYLAMINO)PROPYL]AMINO]-1,2,3,4-TETR...",54599265,False
10,596,219376,CC1=C(C(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Br)[N+](=O)[O-],Other,,"3-BROMO-2,4,6-TRINITROTOLUENE",219376,False
11,629,11254,C1C(O1)C2CO2,Other,,Bioxiran,11254,False
12,721,690109,C1=CC=C2C(=C1)C(=C(N2)O)N=NC(=S)N,Other,,isatin thiosemicarbazone,690109,False
13,739,2154,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=NC(=N3)N)N,Other,,AMINOPTERIN,-,False
14,739,2154,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=NC(=N3)N)N,Other,,AMINOPTERIN,-,False
15,757427,2154,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=NC(=N3)N)N,Other,,AMINOPTERIN,2154,False
16,757427,2154,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=NC(=N3)N)N,Other,,AMINOPTERIN,2154,False
17,740,126941,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,DNA,DB00563,METHOTREXATE,126941,True
18,742,6331826,C(C(C(=O)O)N)OC(=O)C=[N+]=N,Other,,azaserin,460129,False
19,749,135403646,C12=NNN=C1N=C(NC2=O)N,Other,DB01667,8-Azaguanine,-,False
20,752,2723601,C1=NC2=C(N1)C(=S)N=C(N2)N,DNA,DB00352,6-THIOGUANINE,-,False
21,752,2723601,C1=NC2=C(N1)C(=S)N=C(N2)N,DNA,DB00352,6-THIOGUANINE,-,False
22,757348,2723601,C1=NC2=C(N1)C(=S)N=C(N2)N,DNA,DB00352,6-Thioguanine,-,False
23,757348,2723601,C1=NC2=C(N1)C(=S)N=C(N2)N,DNA,DB00352,6-Thioguanine,-,False
24,755,667490,C1=NC2=C(N1)C(=S)N=CN2,DNA,DB01033,6-MERCAPTOPURINE,-,True
25,755,667490,C1=NC2=C(N1)C(=S)N=CN2,DNA,DB01033,6-MERCAPTOPURINE,-,True
26,759614,667490,C1=NC2=C(N1)C(=S)N=CN2,DNA,DB01033,6-Mercaptopurine,-,True
27,759614,667490,C1=NC2=C(N1)C(=S)N=CN2,DNA,DB01033,6-Mercaptopurine,-,True
28,757,6167,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,TUBB,DB08117,Colchicine,-,False
29,757,6167,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,TUBB,DB08117,Colchicine,-,False
30,756702,6167,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,TUBB,DB08117,COLCHICINE,-,False
31,756702,6167,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,TUBB,DB08117,COLCHICINE,-,False
32,762,5935,CN(CCCl)CCCl.Cl,DNA,,Nitrogen mustard,-,False
33,798,5354119,C1=CC=C(C=C1)C=CC(=O)C2=CC=CC=N2,Other,,3-PHENYL-1-(2-PYRIDYL)-2-PROPEN-1-ONE,-,False
34,830,736782,C1=CN=CC=C1C=CC(=O)O,Other,,4-Pyridineacrylic acid,736782,False
