NSC #,Drug name,FDA status,Mechanism of action,PubChem SID
1,tolylquinone,-,-,-
17,4-AMINO-3-PENTADECYLPHENOL,-,-,219123
89,(dimethylamino)propiophenone hydrochloride,-,-,-
185,Cactinomycin,-,-,-
295,2-Phenylbutyric Acid,-,-,4775
353,CHLORO-9-[[3-(DIETHYLAMINO)PROPYL]AMINO]-2-METHOXYACRIDI...,-,-,24180741
384,"7-CHLORO-9-[[3-(DIPENTYLAMINO)PROPYL]AMINO]-1,2,3,4-TETR...",-,-,54599265
534,ACETOXYPHENANTHRYLMERCURY,-,-,16685698
596,"3-BROMO-2,4,6-TRINITROTOLUENE",-,-,219376
629,Bioxiran,-,-,11254
721,isatin thiosemicarbazone,-,-,690109
739,AMINOPTERIN,-,DHFR,-
740,METHOTREXATE,FDA approved,Df|DHFR,126941
742,azaserin,-,-,460129
749,8-Azaguanine,-,-,-
752,6-THIOGUANINE,FDA approved,Ds|IMPDH2|IMPDH,-
755,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,-
757,Colchicine,FDA approved,TUBB,-
762,Nitrogen mustard,FDA approved,A7|AlkAg,-
798,3-PHENYL-1-(2-PYRIDYL)-2-PROPEN-1-ONE,-,-,-
830,4-Pyridineacrylic acid,-,-,736782
885,"3,3'-DIAMINO-4,4'-BIS(DIMETHYLAMINO)BENZOPHENONE",-,-,-
1010,7-[.ALPHA.-(P-NITROANILINO)BENZYL]-8-QUINOLINOL,-,-,219563
1011,P-[[.ALPHA.-(8-HYDROXY-7-QUINOLYL)BENZYL]AMINO]BENZOIC ACID,-,-,219564
1012,wln: t66 bnj iyr&mr bvq& jq,-,-,95307
1013,7-(.ALPHA.-ANILINO-P-NITROBENZYL)-8-QUINOLINOL,-,-,219565
1014,7-[.ALPHA.-[(4-METHYL-2-PYRIDYL)AMINO]BENZYL]-8-QUINOLINOL,-,-,219566
1026,acpc,-,-,2901
1027,"1,1,3-TRIBROMO-3-METHYL-2-BUTANONE",-,-,219573
1063,6-CHLORO-2-METHOXY-9-[(5-PIPERIDINOPENTYL)AMINO]ACRIDINE,-,-,219600
