+------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------+-------------+-------------+
| Rank |                                                                                                                                                     Drug Name                                                                                                                                                      | Target Name | Interaction | Probability |
+------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------+-------------+-------------+
|  1   |                                                                                                                                                    Gilteritinib                                                                                                                                                    |    HTR1A    |     YES     |     1.00    |
|  2   |                                                                                                                                                      Olaparib                                                                                                                                                      |    PARP3    |     YES     |     1.00    |
|  3   |                                                                                                                                                      Olaparib                                                                                                                                                      |    PARP3    |     YES     |     1.00    |
|  4   |                                                                                                                                                     Lovastatin                                                                                                                                                     |    HDAC2    |     YES     |     1.00    |
|  5   |                                                                                                                                                     Lovastatin                                                                                                                                                     |    HDAC2    |     YES     |     1.00    |
|  6   |                                                                                                                                                     Lovastatin                                                                                                                                                     |    HDAC2    |     YES     |     1.00    |
|  7   |                                                                                                                                                    Simvastatin                                                                                                                                                     |    HDAC2    |     YES     |     1.00    |
|  8   |                                                                                                                                                    Simvastatin                                                                                                                                                     |    HDAC2    |     YES     |     1.00    |
|  9   |                                                                                                                                                     Bosutinib                                                                                                                                                      |     SRC     |     YES     |     1.00    |
|  10  |                                                                                                                                                  Zoledronic acid                                                                                                                                                   |  TNFRSF12A  |     YES     |     1.00    |
|  11  |                                                                                                                                                    Pracinostat                                                                                                                                                     |    HDAC2    |     YES     |     1.00    |
|  12  |                                                                                                                                                 Bay 869766;rdea119                                                                                                                                                 |     MAL2    |     YES     |     1.00    |
|  13  |                                                                                                                                                     Tretinoin                                                                                                                                                      |     RARB    |     YES     |     1.00    |
|  14  |                                                                                                                                                  Zoledronic acid                                                                                                                                                   |     CAV1    |     YES     |     1.00    |
|  15  |                                                                                                                             6-(3-Azidopropyl)5,11-dioxo-11H-i ndeno[1,2-c]isoquinoline                                                                                                                             |   APBB1IP   |     YES     |     1.00    |
|  16  |                                                                                                                                                     Tretinoin                                                                                                                                                      |     RXRB    |     YES     |     1.00    |
|  17  |                                                                                                                                                     Tretinoin                                                                                                                                                      |     RARG    |     YES     |     1.00    |
|  18  |                                                                                                                                                     Vorinostat                                                                                                                                                     |    HDAC6    |     YES     |     1.00    |
|  19  |                                                                                                                                                     Vorinostat                                                                                                                                                     |    HDAC6    |     YES     |     1.00    |
|  20  |                                                                                                                                                 Bay 869766;rdea119                                                                                                                                                 |    RBM24    |     YES     |     1.00    |
|  21  |                                                                                                                                                  Zoledronic acid                                                                                                                                                   |    ANXA2    |     YES     |     1.00    |
|  22  |                                                                                                                                                     Bosutinib                                                                                                                                                      |    MAP2K2   |     YES     |     1.00    |
|  23  |                                                                                                                                           Bisindolylmaleimide deriv. 49                                                                                                                                            |    LITAF    |     YES     |     1.00    |
|  24  |                                                                                                                                               Bisindolylmaleimide 6d                                                                                                                                               |    LITAF    |     YES     |     1.00    |
|  25  |                                                                                                                                             Nandrolone phenpropionate                                                                                                                                              |      AR     |     YES     |     1.00    |
|  26  |                                                                                                                                                  Zoledronic acid                                                                                                                                                   |    MARCKS   |     YES     |     1.00    |
|  27  |                                                                                                                                           Bisindolylmaleimide deriv. 42                                                                                                                                            |    RPS4Y1   |     YES     |     1.00    |
|  28  |                                                                                                                                            5-Fluoro deoxy uridine 10mer                                                                                                                                            |    HMGCR    |     YES     |     1.00    |
|  29  |                                                                                                                   N-(3-bromophenyl)-6,7-dimethoxyquinazolin-4-amine;2-hydroxyethanesulfonic acid                                                                                                                   |     SDC4    |     YES     |     1.00    |
|  30  |                                                                                                                                                    Ipatasertib                                                                                                                                                     |     SDC4    |     YES     |     1.00    |
|  31  |                                                                                                 6-(2,4-Difluorophenoxy)-8-(2-methanesulfonyl-ethyl)-2-(tetrahydro-pyran-4-ylamino)-8H-pyrido[2,3-d]pyrimidin-7-one                                                                                                 |    PCBD1    |     YES     |     1.00    |
|  32  |                                                                                                           N-(3-(5-chloro-1H-pyrrolo[2,3-b]pyridine-3-carbonyl)-2,4-difluorophenyl)propane-1-sulfonamide                                                                                                            |     NRN1    |     YES     |     1.00    |
|  33  |                                                                                                                                                    Ipatasertib                                                                                                                                                     |    SGMS2    |     YES     |     1.00    |
|  34  |                                                                                                                                           Bisindolylmaleimide deriv. 30                                                                                                                                            |     CBR3    |     YES     |     1.00    |
|  35  |                                                                                                                       6-(3-Iodopropyl)-9-methoxy-3-nitroindeno[1,2-c]isoquinoline-5,11-dione                                                                                                                       |    HMGCR    |     YES     |     1.00    |
|  36  |                                                                                                                                                     Tretinoin                                                                                                                                                      |    GPRC5A   |     YES     |     1.00    |
|  37  |                                                                                                                                                      Istodax                                                                                                                                                       |    HDAC2    |     YES     |     1.00    |
|  38  |                                                                                                               (5Z)-2-[(2-bromophenyl)methylimino]-5-(quinolin-6-ylmethylidene)-1,3-thiazolidin-4-one                                                                                                               |     CD24    |     YES     |     1.00    |
