,Afatinib,Alectinib,Alisertib,Amuvatinib,Apitolisib,Avagacestat,Axitinib,Belinostat,Bortezomib,Bosutinib,Cabozantinib,Capivasertib,Crizotinib,Cyclopamine,Dabrafenib,Dactolisib,Daporinad,Dasatinib,Docetaxel,Elesclomol,Entinostat,Enzastaurin,Epothilone B,Fedratinib,Foretinib,Fulvestrant,Gefitinib,Idelalisib,Imatinib,Lapatinib,Lestaurtinib,Linsitinib,Luminespib,MK-2206,Masitinib,Methotrexate,Midostaurin,Motesanib,Navitoclax,Nilotinib,Olaparib,Omipalisib,PI-103,Paclitaxel,Palbociclib,Panobinostat,Pazopanib,Pelitinib,Pemetrexed,Phenformin,Pictilisib,Pilaralisib,Piperlongumine,Ponatinib,Pyrimethamine,Quizartinib,Refametinib,Saracatinib,Seliciclib,Selumetinib,Sunitinib,Talazoparib,Tanespimycin,Tipifarnib,Tivozanib,Tozasertib,Trametinib,Tretinoin,Veliparib,Vinorelbine,Vismodegib,Vorinostat,Voxtalisib,Z-LLNle-CHO
Afatinib,1.0,0.27540766185107657,0.3924225853102232,0.30780871198174964,0.27540766185107657,0.33378656735307466,0.34679453418002026,0.4120252563061033,0.32079129741806867,0.38589474012676916,0.4710058532037369,0.36633031823287965,0.3598152103042729,0.23663067482007172,0.28835859018182397,0.28835859018182397,0.3598152103042729,0.3142984199116796,0.10819146500951149,0.4644396466503373,0.35330328280417334,0.3142984199116796,0.22373023737390518,0.3272873460489407,0.3989536186963907,0.26893693891372017,0.6495107996706508,0.33378656735307466,0.3272873460489407,0.4710058532037369,0.2818815450926131,0.2948387986629548,0.33378656735307466,0.27540766185107657,0.30780871198174964,0.2948387986629548,0.24308561936258144,0.37284860814331466,0.12097901651217136,0.2560049677813385,0.37284860814331466,0.34679453418002026,0.33378656735307466,0.12737747672940003,0.2948387986629548,0.38589474012676916,0.37937008158966457,0.7095373307219361,0.26246937473780463,0.3989536186963907,0.2818815450926131,0.36633031823287965,0.3924225853102232,0.2560049677813385,0.42510966542199213,0.30132217208101153,0.36633031823287965,0.4578766454698542,0.30780871198174964,0.40548784184239217,0.3142984199116796,0.3272873460489407,0.17867778716396288,0.33378656735307466,0.4513168480975498,0.33378656735307466,0.32079129741806867,0.35330328280417334,0.37284860814331466,0.08265379506394055,0.42510966542199213,0.4578766454698542,0.34679453418002026,0.34028896288000254
Alectinib,0.27540766185107657,1.0,0.2560049677813385,0.35330328280417334,0.34679453418002026,0.28835859018182397,0.35330328280417334,0.3924225853102232,0.3142984199116796,0.34028896288000254,0.34679453418002026,0.34679453418002026,0.34028896288000254,0.34679453418002026,0.2948387986629548,0.37284860814331466,0.34028896288000254,0.2948387986629548,0.15300258297494018,0.4578766454698542,0.30780871198174964,0.4382068585223209,0.33378656735307466,0.30780871198174964,0.3142984199116796,0.3272873460489407,0.36633031823287965,0.3272873460489407,0.26893693891372017,0.21728474139454512,0.40548784184239217,0.34028896288000254,0.41856586364617065,0.38589474012676916,0.26246937473780463,0.26246937473780463,0.3142984199116796,0.37937008158966457,0.17867778716396288,0.2108423918617781,0.3924225853102232,0.28835859018182397,0.41856586364617065,0.1594166835173585,0.37937008158966457,0.3924225853102232,0.32079129741806867,0.2818815450926131,0.32079129741806867,0.44476025296944144,0.43165666319373486,0.2560049677813385,0.42510966542199213,0.24954371650309248,0.4710058532037369,0.2948387986629548,0.32079129741806867,0.34679453418002026,0.3272873460489407,0.2818815450926131,0.3598152103042729,0.3989536186963907,0.2108423918617781,0.35330328280417334,0.30132217208101153,0.35330328280417334,0.28835859018182397,0.3989536186963907,0.4578766454698542,0.23017888133658992,0.36633031823287965,0.4513168480975498,0.44476025296944144,0.33378656735307466
Alisertib,0.3924225853102232,0.2560049677813385,1.0,0.30132217208101153,0.30780871198174964,0.37937008158966457,0.37937008158966457,0.4578766454698542,0.43165666319373486,0.3924225853102232,0.5038850213839812,0.3598152103042729,0.37937008158966457,0.23017888133658992,0.3989536186963907,0.33378656735307466,0.36633031823287965,0.37284860814331466,0.17867778716396288,0.5104704930772836,0.3989536186963907,0.33378656735307466,0.23017888133658992,0.4382068585223209,0.37937008158966457,0.3272873460489407,0.4710058532037369,0.36633031823287965,0.42510966542199213,0.34679453418002026,0.28835859018182397,0.35330328280417334,0.35330328280417334,0.37284860814331466,0.37937008158966457,0.36633031823287965,0.28835859018182397,0.40548784184239217,0.1401837737232121,0.35330328280417334,0.40548784184239217,0.43165666319373486,0.36633031823287965,0.1851044274883975,0.36633031823287965,0.35330328280417334,0.4120252563061033,0.42510966542199213,0.33378656735307466,0.4578766454698542,0.3142984199116796,0.4120252563061033,0.4513168480975498,0.3142984199116796,0.5104704930772836,0.2818815450926131,0.42510966542199213,0.2818815450926131,0.37937008158966457,0.42510966542199213,0.37284860814331466,0.3598152103042729,0.1722542840815091,0.43165666319373486,0.41856586364617065,0.36633031823287965,0.35330328280417334,0.38589474012676916,0.44476025296944144,0.1401837737232121,0.4841478886920818,0.5038850213839812,0.3924225853102232,0.38589474012676916
Amuvatinib,0.30780871198174964,0.35330328280417334,0.30132217208101153,1.0,0.40548784184239217,0.34679453418002026,0.4120252563061033,0.4644396466503373,0.42510966542199213,0.3598152103042729,0.41856586364617065,0.4841478886920818,0.32079129741806867,0.30132217208101153,0.3272873460489407,0.3924225853102232,0.4382068585223209,0.37937008158966457,0.1851044274883975,0.5566589406833753,0.4710058532037369,0.43165666319373486,0.27540766185107657,0.35330328280417334,0.33378656735307466,0.2948387986629548,0.4120252563061033,0.37284860814331466,0.37937008158966457,0.34028896288000254,0.38589474012676916,0.3989536186963907,0.4513168480975498,0.3924225853102232,0.3598152103042729,0.3598152103042729,0.2948387986629548,0.42510966542199213,0.1722542840815091,0.2818815450926131,0.4907237207603288,0.34679453418002026,0.5566589406833753,0.20440318723963102,0.3598152103042729,0.4775752666955615,0.35330328280417334,0.28835859018182397,0.37937008158966457,0.5566589406833753,0.38589474012676916,0.35330328280417334,0.44476025296944144,0.33378656735307466,0.4907237207603288,0.30132217208101153,0.34028896288000254,0.40548784184239217,0.4644396466503373,0.37937008158966457,0.34028896288000254,0.37937008158966457,0.17867778716396288,0.3598152103042729,0.37284860814331466,0.38589474012676916,0.2948387986629548,0.41856586364617065,0.4513168480975498,0.19796712599287858,0.4382068585223209,0.5368445590382613,0.4382068585223209,0.40548784184239217
Apitolisib,0.27540766185107657,0.34679453418002026,0.30780871198174964,0.40548784184239217,1.0,0.35330328280417334,0.35330328280417334,0.3924225853102232,0.41856586364617065,0.34028896288000254,0.3598152103042729,0.4120252563061033,0.36633031823287965,0.2818815450926131,0.37284860814331466,0.37284860814331466,0.3924225853102232,0.4120252563061033,0.17867778716396288,0.49730276446810606,0.4120252563061033,0.3989536186963907,0.32079129741806867,0.3598152103042729,0.34028896288000254,0.27540766185107657,0.3924225853102232,0.3142984199116796,0.4382068585223209,0.26893693891372017,0.3272873460489407,0.36633031823287965,0.49730276446810606,0.37284860814331466,0.43165666319373486,0.43165666319373486,0.27540766185107657,0.37937008158966457,0.26893693891372017,0.3142984199116796,0.40548784184239217,0.3272873460489407,0.5765023685705106,0.2108423918617781,0.37937008158966457,0.3924225853102232,0.34679453418002026,0.26893693891372017,0.38589474012676916,0.4710058532037369,0.563270187184127,0.32079129741806867,0.4382068585223209,0.36633031823287965,0.5236510870773365,0.38589474012676916,0.32079129741806867,0.30780871198174964,0.40548784184239217,0.3598152103042729,0.37284860814331466,0.34679453418002026,0.22373023737390518,0.3924225853102232,0.34028896288000254,0.37937008158966457,0.27540766185107657,0.42510966542199213,0.44476025296944144,0.10180237067528886,0.37937008158966457,0.4775752666955615,0.4841478886920818,0.38589474012676916
Avagacestat,0.33378656735307466,0.28835859018182397,0.37937008158966457,0.34679453418002026,0.35330328280417334,1.0,0.37284860814331466,0.5038850213839812,0.3989536186963907,0.30780871198174964,0.41856586364617065,0.44476025296944144,0.4120252563061033,0.26246937473780463,0.3924225853102232,0.35330328280417334,0.37284860814331466,0.34028896288000254,0.14659161355305628,0.5302462125265865,0.40548784184239217,0.34028896288000254,0.26246937473780463,0.34028896288000254,0.32079129741806867,0.33378656735307466,0.38589474012676916,0.33378656735307466,0.34028896288000254,0.34028896288000254,0.32079129741806867,0.3598152103042729,0.3989536186963907,0.35330328280417334,0.33378656735307466,0.3989536186963907,0.26893693891372017,0.3598152103042729,0.3142984199116796,0.32079129741806867,0.4120252563061033,0.4120252563061033,0.3989536186963907,0.1401837737232121,0.2948387986629548,0.38589474012676916,0.35330328280417334,0.35330328280417334,0.3924225853102232,0.5038850213839812,0.32079129741806867,0.40548784184239217,0.41856586364617065,0.33378656735307466,0.5566589406833753,0.3142984199116796,0.3924225853102232,0.26246937473780463,0.3598152103042729,0.3924225853102232,0.35330328280417334,0.37937008158966457,0.20440318723963102,0.42510966542199213,0.3989536186963907,0.32079129741806867,0.2818815450926131,0.3924225853102232,0.42510966542199213,0.09541639525451906,0.4644396466503373,0.49730276446810606,0.4120252563061033,0.37937008158966457
Axitinib,0.34679453418002026,0.35330328280417334,0.37937008158966457,0.4120252563061033,0.35330328280417334,0.37284860814331466,1.0,0.5566589406833753,0.517059181118114,0.37284860814331466,0.4841478886920818,0.41856586364617065,0.3598152103042729,0.34028896288000254,0.41856586364617065,0.43165666319373486,0.4644396466503373,0.40548784184239217,0.22373023737390518,0.5963748852790509,0.4841478886920818,0.4710058532037369,0.36633031823287965,0.36633031823287965,0.34679453418002026,0.34679453418002026,0.37284860814331466,0.3989536186963907,0.41856586364617065,0.3142984199116796,0.4120252563061033,0.4382068585223209,0.3989536186963907,0.4578766454698542,0.4120252563061033,0.4120252563061033,0.3598152103042729,0.5434461281855345,0.22373023737390518,0.38589474012676916,0.5038850213839812,0.4513168480975498,0.4644396466503373,0.2560049677813385,0.3989536186963907,0.5302462125265865,0.43165666319373486,0.36633031823287965,0.43165666319373486,0.5698846626208347,0.38589474012676916,0.40548784184239217,0.49730276446810606,0.37284860814331466,0.517059181118114,0.3272873460489407,0.37937008158966457,0.3142984199116796,0.4644396466503373,0.44476025296944144,0.44476025296944144,0.4578766454698542,0.2560049677813385,0.4120252563061033,0.4644396466503373,0.4775752666955615,0.3598152103042729,0.4841478886920818,0.5434461281855345,0.2108423918617781,0.5698846626208347,0.58974747832068,0.5302462125265865,0.4710058532037369
Belinostat,0.4120252563061033,0.3924225853102232,0.4578766454698542,0.4644396466503373,0.3924225853102232,0.5038850213839812,0.5566589406833753,1.0,0.5434461281855345,0.3989536186963907,0.5236510870773365,0.4710058532037369,0.42510966542199213,0.3924225853102232,0.5104704930772836,0.4710058532037369,0.6229168972124004,0.44476025296944144,0.28835859018182397,0.7028546821510684,0.5368445590382613,0.4710058532037369,0.37937008158966457,0.5368445590382613,0.38589474012676916,0.4513168480975498,0.42510966542199213,0.4644396466503373,0.44476025296944144,0.40548784184239217,0.4644396466503373,0.4907237207603288,0.4644396466503373,0.5104704930772836,0.4382068585223209,0.4644396466503373,0.4120252563061033,0.517059181118114,0.34028896288000254,0.42510966542199213,0.5038850213839812,0.4907237207603288,0.5038850213839812,0.30780871198174964,0.4513168480975498,0.6894991700633248,0.4841478886920818,0.44476025296944144,0.4841478886920818,0.662827241541283,0.4382068585223209,0.6162765334508027,0.6295605041308381,0.3989536186963907,0.5831233066109398,0.40548784184239217,0.49730276446810606,0.34028896288000254,0.5302462125265865,0.4710058532037369,0.4841478886920818,0.4578766454698542,0.33378656735307466,0.4907237207603288,0.4775752666955615,0.4644396466503373,0.4644396466503373,0.58974747832068,0.5698846626208347,0.24954371650309248,0.609639411262858,0.7497018179499779,0.5302462125265865,0.563270187184127
Bortezomib,0.32079129741806867,0.3142984199116796,0.43165666319373486,0.42510966542199213,0.41856586364617065,0.3989536186963907,0.517059181118114,0.5434461281855345,1.0,0.38589474012676916,0.4710058532037369,0.44476025296944144,0.38589474012676916,0.3272873460489407,0.41856586364617065,0.43165666319373486,0.517059181118114,0.41856586364617065,0.27540766185107657,0.6362073557900736,0.5765023685705106,0.44476025296944144,0.3272873460489407,0.40548784184239217,0.34679453418002026,0.34679453418002026,0.37284860814331466,0.4382068585223209,0.4841478886920818,0.35330328280417334,0.4120252563061033,0.4513168480975498,0.4513168480975498,0.43165666319373486,0.4907237207603288,0.517059181118114,0.3598152103042729,0.517059181118114,0.23663067482007172,0.42510966542199213,0.4644396466503373,0.4382068585223209,0.4513168480975498,0.30780871198174964,0.3989536186963907,0.5038850213839812,0.41856586364617065,0.36633031823287965,0.5104704930772836,0.6229168972124004,0.3598152103042729,0.43165666319373486,0.4710058532037369,0.3989536186963907,0.5434461281855345,0.3272873460489407,0.43165666319373486,0.30132217208101153,0.5434461281855345,0.43165666319373486,0.41856586364617065,0.43165666319373486,0.2560049677813385,0.4382068585223209,0.4513168480975498,0.3989536186963907,0.3598152103042729,0.4841478886920818,0.5038850213839812,0.1851044274883975,0.5302462125265865,0.6295605041308381,0.4907237207603288,0.642857453774841
Bosutinib,0.38589474012676916,0.34028896288000254,0.3924225853102232,0.3598152103042729,0.34028896288000254,0.30780871198174964,0.37284860814331466,0.3989536186963907,0.38589474012676916,1.0,0.5104704930772836,0.37937008158966457,0.38589474012676916,0.27540766185107657,0.3142984199116796,0.43165666319373486,0.37284860814331466,0.4841478886920818,0.10819146500951149,0.4775752666955615,0.37937008158966457,0.40548784184239217,0.24954371650309248,0.43165666319373486,0.5302462125265865,0.33378656735307466,0.6761566941015218,0.32079129741806867,0.44476025296944144,0.35330328280417334,0.32079129741806867,0.3598152103042729,0.3598152103042729,0.36633031823287965,0.42510966542199213,0.32079129741806867,0.2560049677813385,0.37284860814331466,0.1722542840815091,0.2818815450926131,0.3989536186963907,0.38589474012676916,0.42510966542199213,0.12737747672940003,0.34679453418002026,0.3598152103042729,0.3924225853102232,0.5765023685705106,0.30132217208101153,0.4644396466503373,0.3598152103042729,0.40548784184239217,0.4841478886920818,0.38589474012676916,0.4907237207603288,0.34028896288000254,0.43165666319373486,0.4841478886920818,0.38589474012676916,0.4841478886920818,0.3142984199116796,0.37937008158966457,0.20440318723963102,0.38589474012676916,0.5302462125265865,0.42510966542199213,0.2948387986629548,0.37937008158966457,0.4120252563061033,0.1851044274883975,0.4120252563061033,0.4841478886920818,0.4382068585223209,0.3924225853102232
