Drug,Cell
PI-103,KU812
Tipifarnib,ETK-1
Apitolisib,NCI-H64
Docetaxel,UMC-11
Bleomycin,KYSE-220
BMS-754807,COLO-205
Torin 2,MFM-223
Etoposide,RF-48
Sepantronium bromide,Daudi
Vinblastine,RT4
Belinostat,KMOE-2
torin2,BE-13
TW 37,TK10
LDN-193189,SK-MG-1
IMD-0354,HEC-1
Cisplatin_1496,U031
BIX02189,ALL-PO
PI-103,IMR-5
CUDC-101,A101D
IMD-0354,SNG-M
Vinblastine,AMO-1
PHA-793887,COR-L23
AR-42,NCI-H196
Apitolisib,MZ2-MEL
Belinostat,HCT-116
CUDC-101,PC-14
ZSTK474,SU-DHL-16
NSC319726,AM-38
AZD6738,IGR-37
Doxorubicin_1386,OCUB-M
CUDC-101,AMO-1
Doxorubicin_1386,NCI-H1944
Shikonin,ARH-77
Doxorubicin_1386,KMS-11
GSK1059615,TE-12
BMS-754807,OCI-AML5
Doxorubicin_1386,Calu-3
BAY-61-3606,OCI-LY-19
Afatinib_1032,ETK-1
Cytarabine,EM-2
Ispinesib Mesylate,WM278
BAY-MPS-combo 2 (paclitaxel 1 uM),TCCSUP
Etoposide,5637
GSK1059615,MOLM-13
Omipalisib,RKN
Sepantronium bromide,EN
Docetaxel,HOP-92
BAY-MPS-combo-1 (paclitaxel 5 uM),Daudi
Afatinib_1032,OE19
BAY-MPS-combo-1 (paclitaxel 5 uM),NCI-H1648
PI-103,BHY
GSK650394,TOV-112D
AZD6482_156,ZR-75-30
Bleomycin (50 uM),D-423MG
torin2,A388
PF-562271,ALL-PO
Ispinesib Mesylate,NB10
Torin 2,MS-1
ZSTK474,Ramos-2G6-4C10
Omipalisib,COLO-680N
AZD8055,P32-ISH
Tivozanib,CGTH-W-1
ZSTK474,COLO-684
AZD8055,MOLM-13
Refametinib_1526,OVCA420
Docetaxel,QGP-1
Cytarabine,RKN
BMS-754807,NB7
I-BET-151,NCI-H929
Refametinib_1526,PE-CA-PJ15
torin2,MDST8
AZD8931,TK10
Belinostat,HCC70
Cytarabine,GCT
Docetaxel,RH-18
BAY-MPS-combo-1 (paclitaxel 5 uM),MCF7
WYE-125132,KELLY
Torin 2,LB1047-RCC
Shikonin,ASH-3
(5Z)-7-Oxozeaenol,SK-MEL-5
QL-X-138,NCI-H647
Docetaxel,FU-OV-1
GSK1059615,ES8
Etoposide,KS-1
WYE-125132,SW1710
I-BET-762,SU-DHL-10
BMS-754807,RH-41
Methotrexate,SK-MEL-1
Cytarabine,BE-13
Tanespimycin,PL-21
Bleomycin,GI-ME-N
Obatoclax Mesylate,SW1710
Rapamycin,SK-N-FI
Ispinesib Mesylate,MFH-ino
GSK1059615,DK-MG
Doxorubicin_1386,SBC-3
PI-103,MEL-JUSO
(5Z)-7-Oxozeaenol,GI-ME-N
Ispinesib Mesylate,NCI-H2030
Belinostat,EVSA-T
Belinostat,MDA-MB-453
IMD-0354,RCC-JW
Belinostat,NCI-H2135
Tipifarnib,MOLP-8
Ispinesib Mesylate,SW962
WYE-125132,TC-71
CAY10603,U-266
Ispinesib Mesylate,SISO
Obatoclax Mesylate,BC-1
Tanespimycin,KARPAS-299
AR-42,RL
AT-7519,SAS
Tanespimycin,SCC-4
Doxorubicin_1386,ME-180
TW 37,NOMO-1
Belinostat,BL-41
Vinblastine,SF539
Rapamycin,EVSA-T
Torin 2,D-542MG
Obatoclax Mesylate,NB7
AZD8055,RPMI-6666
Docetaxel,MS-1
Sepantronium bromide,OCI-AML3
Obatoclax Mesylate,Hep3B2-1-7
Omipalisib,DSH1
NSC319726,SW13
Methotrexate,LU-139
LDN-193189,GA-10
CD532,SiHa
Bleomycin (50 uM),SK-HEP-1
Sepantronium bromide,MOLT-13
Bleomycin (50 uM),COLO-800
BAY-MPS-combo 2 (paclitaxel 1 uM),JHU-022
Etoposide,CHP-212
