,genes,Attention,name
0,JCHAIN,0.001495487667853,Irinotecan
1,HBG2,0.001484511885792,Irinotecan
2,PVALB,0.0014842983800917,Irinotecan
3,SNORD83B,0.0014824359386693,Irinotecan
4,TLR8,0.0014822590746916,Irinotecan
5,LINC01287,0.0013741966395173,Topotecan
6,TLR7,0.001356792403385,Topotecan
7,IGLL5,0.001352620718535,Topotecan
8,STMN4,0.0013511539145838,Topotecan
9,NR1I2,0.0013499394408427,Topotecan
10,HBG1,0.0013696401147171,Camptothecin
11,FAM178B,0.0013696289388462,Camptothecin
12,JCHAIN,0.0013677775859832,Camptothecin
13,MIR5699,0.0013656406081281,Camptothecin
14,TLR7,0.0013651193585246,Camptothecin
15,TLR7,0.0013152253814041,Daunorubicin
16,LINC01287,0.0013130583392921,Daunorubicin
17,HBG1,0.0012992866395507,Daunorubicin
18,HBG2,0.0012969857198186,Daunorubicin
19,FAM178B,0.0012951375392731,Daunorubicin
20,LINC01287,0.0013303481100592,Doxorubicin
21,TLR7,0.001327630074229,Doxorubicin
22,TLR8,0.0013274043158162,Doxorubicin
23,HTR1A,0.0013271814677864,Doxorubicin
24,PRSS1,0.0013259894913062,Doxorubicin
