,genes,Attention,name,dtis
0,JCHAIN,1.0,Irinotecan,0.0
1,HBG2,0.37639973022892514,Irinotecan,0.0
2,PVALB,0.3246038688348556,Irinotecan,0.0
3,SNORD83B,0.27347573801440733,Irinotecan,0.0
4,TLR8,0.0,Irinotecan,0.0
5,LINC01287,1.0,Topotecan,0.0
6,TLR7,0.9975278757746996,Topotecan,0.0
7,IGLL5,0.5880050472551648,Topotecan,0.0
8,STMN4,0.1153014189008451,Topotecan,0.0
9,NR1I2,0.0,Topotecan,0.0
10,HBG1,1.0,Camptothecin,0.0
11,FAM178B,0.17029861550006503,Camptothecin,0.0
12,JCHAIN,0.15415890225202453,Camptothecin,0.0
13,MIR5699,0.013369825161467126,Camptothecin,0.0
14,TLR7,0.0,Camptothecin,0.0
15,TLR7,1.0,Daunorubicin,0.0
16,LINC01287,0.28251252892922535,Daunorubicin,0.0
17,HBG1,0.11053533956118218,Daunorubicin,0.0
18,HBG2,0.050066529008218744,Daunorubicin,0.0
19,FAM178B,0.0,Daunorubicin,0.0
20,LINC01287,1.0,Doxorubicin,0.0
21,TLR7,0.8921217073557239,Doxorubicin,0.0
22,TLR8,0.20654783378633598,Doxorubicin,0.0
23,HTR1A,0.09200493181135995,Doxorubicin,0.0
24,PRSS1,0.0,Doxorubicin,0.0
