NSC,drug,gene,num
740,METHOTREXATE,LINC01287,0
740,METHOTREXATE,JCHAIN,0
740,METHOTREXATE,IGLL5,0
740,METHOTREXATE,PVALB,0
740,METHOTREXATE,MIR5699,0
752,6-THIOGUANINE,CD1E,0
752,6-THIOGUANINE,MIR142,0
752,6-THIOGUANINE,MND1,0
752,6-THIOGUANINE,LAYN,0
752,6-THIOGUANINE,MAPK8,0
755,6-MERCAPTOPURINE,HPRT1,4
755,6-MERCAPTOPURINE,CWC15,0
755,6-MERCAPTOPURINE,MAPK8,0
755,6-MERCAPTOPURINE,CDK7,0
755,6-MERCAPTOPURINE,PARP2,0
757,Colchicine,APOC2,2
757,Colchicine,MIR1254-1,0
757,Colchicine,MIR658,0
757,Colchicine,SNORD83B,0
757,Colchicine,LINC01287,0
762,Nitrogen mustard,CWC15,0
762,Nitrogen mustard,CDK7,0
762,Nitrogen mustard,PSMB1,0
762,Nitrogen mustard,PARP2,0
762,Nitrogen mustard,MAPK8,0
1390,Allopurinol,PSMA2,0
1390,Allopurinol,MAPK8,0
1390,Allopurinol,PARP2,0
1390,Allopurinol,CDK7,0
1390,Allopurinol,RPL7,0
1895,GUANAZOLE,CWC15,0
1895,GUANAZOLE,RPL7,0
1895,GUANAZOLE,PSMA2,0
1895,GUANAZOLE,GMNN,0
1895,GUANAZOLE,PARP2,0
3053,Actinomycin D,MIR641,0
3053,Actinomycin D,JCHAIN,0
3053,Actinomycin D,HBG1,0
3053,Actinomycin D,ITGB7,0
3053,Actinomycin D,PVALB,0
3061,malacid,MAPK8,0
3061,malacid,CWC15,0
3061,malacid,PARP2,0
3061,malacid,FDX1,0
3061,malacid,CDK7,0
3088,Chlorambucil,MAPK8,0
3088,Chlorambucil,MND1,0
3088,Chlorambucil,FDX1,0
3088,Chlorambucil,TMSB15A,0
3088,Chlorambucil,MED30,0
6396,Thiotepa,CDK7,0
6396,Thiotepa,PARP2,0
6396,Thiotepa,NACA,0
6396,Thiotepa,RPL7,0
6396,Thiotepa,PSMA2,0
8806,Melphalan,MAPK8,0
8806,Melphalan,MND1,0
8806,Melphalan,FDX1,0
8806,Melphalan,CDK7,1
8806,Melphalan,GMNN,0
9706,Triethylenemelamine,CWC15,0
9706,Triethylenemelamine,PSMA2,0
9706,Triethylenemelamine,RPL5,0
9706,Triethylenemelamine,PSMB1,0
9706,Triethylenemelamine,PARP2,0
12198,Dromostanolone Propionate,CST4,0
12198,Dromostanolone Propionate,HBG2,0
12198,Dromostanolone Propionate,HTR1A,0
12198,Dromostanolone Propionate,SPON1,0
12198,Dromostanolone Propionate,MTNR1B,0
14229,Acrichine,MIR7110,0
14229,Acrichine,MIR641,0
14229,Acrichine,MIR330,0
14229,Acrichine,BTK,0
14229,Acrichine,MPO,4
19893,Fluorouracil,TYMS,230
19893,Fluorouracil,CDK7,5
19893,Fluorouracil,CWC15,0
19893,Fluorouracil,AURKA,9
19893,Fluorouracil,RPL7,0
23162,Nandrolone phenpropionate,TLR8,0
23162,Nandrolone phenpropionate,PRSS3P2,0
23162,Nandrolone phenpropionate,HCK,0
23162,Nandrolone phenpropionate,CYP26C1,0
23162,Nandrolone phenpropionate,MTNR1B,0
23759,TESTOLACTONE,CD3E,0
23759,TESTOLACTONE,SPEG,0
23759,TESTOLACTONE,ACTB,0
23759,TESTOLACTONE,MAPK8,0
23759,TESTOLACTONE,SH2D1A,0
24559,Mithramycin,JCHAIN,0
24559,Mithramycin,LINC01287,0
24559,Mithramycin,IGLL5,0
24559,Mithramycin,SNORD83B,0
24559,Mithramycin,PVALB,0
25154,Pipobroman,MAPK8,0
25154,Pipobroman,CWC15,0
25154,Pipobroman,PARP2,0
25154,Pipobroman,CDK7,0
25154,Pipobroman,PSMA2,0
26271,Cyclophosphamide,NCS1,0
26271,Cyclophosphamide,SPEG,0
26271,Cyclophosphamide,RXRB,0
26271,Cyclophosphamide,ACTB,5
26271,Cyclophosphamide,MAP7D1,0
26980,Mitomycin,MTNR1B,0
26980,Mitomycin,MIR1254-1,0
26980,Mitomycin,FAM178B,0
26980,Mitomycin,LINC01287,0
26980,Mitomycin,TLR7,1
27640,Floxuridine,MND1,0
27640,Floxuridine,ALDH1A2,0
27640,Floxuridine,SLC40A1,0
27640,Floxuridine,SNORA32,0
27640,Floxuridine,HCK,0
32065,Hydroxyurea,RRM1,12
32065,Hydroxyurea,PSMA2,0
32065,Hydroxyurea,CWC15,0
32065,Hydroxyurea,PARP2,5
32065,Hydroxyurea,RPL7,0
32982,Curcumin,CDK7,2
32982,Curcumin,CWC15,0
32982,Curcumin,MAPK8,8
32982,Curcumin,LSM6,0
32982,Curcumin,RPL7,0
33410,Colchicine Derivative,NR1I2,2
33410,Colchicine Derivative,SNORD83B,0
33410,Colchicine Derivative,LINC01287,0
33410,Colchicine Derivative,STMN4,2
33410,Colchicine Derivative,TLR7,1
34462,Uracil mustard,MAPK8,0
34462,Uracil mustard,CDK7,0
34462,Uracil mustard,RABGGTB,0
34462,Uracil mustard,LINC01578,0
34462,Uracil mustard,LSM6,0
34521,Dexamethasone Decadron,MAP7D1,0
34521,Dexamethasone Decadron,GABARAPL1,1
34521,Dexamethasone Decadron,PTMS,3
34521,Dexamethasone Decadron,MAPK8,1
34521,Dexamethasone Decadron,THYN1,0
36405,Chelerythrine,SH2D1A,0
36405,Chelerythrine,MAPK8,1
36405,Chelerythrine,NNMT,0
36405,Chelerythrine,NEK11,0
36405,Chelerythrine,CREB3L1,0
38721,Mitotane,CWC15,0
38721,Mitotane,CDK7,0
38721,Mitotane,MAPK8,0
38721,Mitotane,THYN1,0
38721,Mitotane,RPS17,0
45388,DACARBAZINE,MAPK8,3
45388,DACARBAZINE,PARP2,15
45388,DACARBAZINE,MND1,0
45388,DACARBAZINE,GPX8,0
45388,DACARBAZINE,NME7,0
49842,Vinblastine,MIR5699,0
49842,Vinblastine,JCHAIN,0
49842,Vinblastine,IGLL5,0
49842,Vinblastine,SNORD83B,0
49842,Vinblastine,SNORD32A,0
51143,Pyrazoloimidazole,RPL7,0
51143,Pyrazoloimidazole,CWC15,0
51143,Pyrazoloimidazole,PARP2,0
51143,Pyrazoloimidazole,PSMA2,0
51143,Pyrazoloimidazole,GMNN,0
56410,PORFIROMYCIN,LINC01287,0
56410,PORFIROMYCIN,PRSS1,0
56410,PORFIROMYCIN,PCP4,0
56410,PORFIROMYCIN,TEK,0
56410,PORFIROMYCIN,FGR,0
59687,Acetalax,MAPK8,0
59687,Acetalax,CDK7,0
59687,Acetalax,MND1,0
59687,Acetalax,FDX1,0
59687,Acetalax,LAYN,0
