NSC,drug,gene,num
740,METHOTREXATE,LINC01287,0
740,METHOTREXATE,PVALB,0
740,METHOTREXATE,IGLL5,0
740,METHOTREXATE,JCHAIN,0
740,METHOTREXATE,TLR7,5
752,6-THIOGUANINE,MAPK8,0
752,6-THIOGUANINE,THYN1,0
752,6-THIOGUANINE,CDK7,0
752,6-THIOGUANINE,TTK,0
752,6-THIOGUANINE,CWC15,0
755,6-MERCAPTOPURINE,HPRT1,4
755,6-MERCAPTOPURINE,CWC15,0
755,6-MERCAPTOPURINE,THYN1,0
755,6-MERCAPTOPURINE,PPAT,0
755,6-MERCAPTOPURINE,RPL5,0
757,Colchicine,MIR658,0
757,Colchicine,LINC01287,0
757,Colchicine,IGLL5,0
757,Colchicine,PVALB,0
757,Colchicine,JCHAIN,0
762,Nitrogen mustard,CWC15,0
762,Nitrogen mustard,THYN1,0
762,Nitrogen mustard,RPL5,0
762,Nitrogen mustard,PSMA2,0
762,Nitrogen mustard,CDK7,0
1390,Allopurinol,CWC15,0
1390,Allopurinol,THYN1,0
1390,Allopurinol,CDK7,0
1390,Allopurinol,MAPK8,0
1390,Allopurinol,PARP2,0
1895,GUANAZOLE,CWC15,0
1895,GUANAZOLE,THYN1,0
1895,GUANAZOLE,RPL5,0
1895,GUANAZOLE,PARP2,0
1895,GUANAZOLE,CDK7,0
3053,Actinomycin D,LINC01287,0
3053,Actinomycin D,JCHAIN,0
3053,Actinomycin D,PVALB,0
3053,Actinomycin D,IGLL5,0
3053,Actinomycin D,TLR7,0
3061,malacid,MAPK8,0
3061,malacid,THYN1,0
3061,malacid,CDK7,0
3061,malacid,TTK,0
3061,malacid,CWC15,0
3088,Chlorambucil,MAPK8,0
3088,Chlorambucil,THYN1,0
3088,Chlorambucil,CDK7,0
3088,Chlorambucil,FDX1,0
3088,Chlorambucil,TTK,0
6396,Thiotepa,CWC15,0
6396,Thiotepa,THYN1,0
6396,Thiotepa,PSMA2,0
6396,Thiotepa,RPL5,0
6396,Thiotepa,NUP37,0
8806,Melphalan,MAPK8,0
8806,Melphalan,THYN1,0
8806,Melphalan,FDX1,0
8806,Melphalan,CDK7,1
8806,Melphalan,TTK,1
9706,Triethylenemelamine,CWC15,0
9706,Triethylenemelamine,PSMA2,0
9706,Triethylenemelamine,C14orf166,0
9706,Triethylenemelamine,RPL5,0
