,253J,5637,697,8305C,8505C,A101D,A172,A2058,A2780,A549,ACHN,AGS,AU565,BDCM,BEN,BHY,BT12,C32,CA46,CJM,CMK,COV362,COV434,COV644,DB,DEL,DU4475,EB1,ECC10,ECC12,EHEB,EJM,EKVX,EN,FU97,GAMG,GCT,GSS,GSU,HARA,HCC1143,HCC1395,HCC1419,HCC1428,HCC1500,HCC1569,HCC1806,HCC1937,HCC1954,HCC202,HCC2218,HCC2935,HCC38,HCC4006,HCC827,HEL,HH,HLF,HMCB,HOP62,HOP92,HOS,HPAC,HT,HT115,HT55,IGROV1,IM95,J82,JHUEM7,JM1,JURKAT,K029AX,KELLY,KLE,KM12,KO52,KP4,KU812,KURAMOCHI,LMSU,LS1034,LS123,LS411N,LS513,LU65,LU99,M059K,MC116,MCAS,MCF7,MDST8,MJ,MKN1,MKN7,MKN74,MOLT3,NAMALWA,NCO2,OAW28,OAW42,OE19,OE21,OE33,OV56,OV7,OVISE,OVK18,OVSAHO,OVTOKO,PEER,PSN1,RCC10RGB,RD,RKN,RKO,RL,RT4,SEM,SF126,SF268,SF539,SIMA,SNB75,ST486,SW1116,SW1417,SW1463,SW48,SW579,SW620,SW948,T24,T84,T98G,TCCSUP,TTC709,TUHR10TKB,TUHR14TKB,TUHR4TKB,U266B1,UO31,WM1799,YAPC,YKG1
253J,1.0,0.2942070312605928,0.12134636135587876,0.3519208768306539,0.3629250613007804,0.31026062290703815,0.3341269391946292,0.3460044485201096,0.251062054114077,0.4407628156958001,0.5486900093992844,0.24315440615534986,0.17441480943354906,0.10505958363303139,0.1977093996891919,0.25608447294191017,0.30307323059931224,0.3260704369667691,0.03914657269779989,0.2729691177222009,0.10311827289224826,0.4123178535159526,0.26126800953863505,0.2624676839786907,0.03459084609042487,0.1998772888313984,0.12988073929633356,0.046530132089011994,0.16983668554477924,0.16531492534271533,0.08312288318861702,0.09770003943017316,0.39536232415938133,0.2810364567609924,0.21579244194192196,0.38785514251423414,0.3031848982823576,0.18660434649623406,0.16225661881391798,0.2793710965266759,0.3239285260190734,0.38716959248028193,0.1817385334142463,0.2021616258819949,0.21373428722201473,0.2554667083245964,0.2673811766038805,0.260535057479652,0.27151376613474154,0.20302222922791832,0.19028192238888245,0.2772515690065016,0.2877348838637398,0.3171146899605298,0.3772578620981093,0.10627663262531031,0.1068026155403802,0.3686605280537556,0.2686609486461313,0.3797020673501609,0.3777306390702051,0.3259402625839313,0.24905319152309321,0.05730492404745571,0.23349550202140976,0.19639148230644668,0.42306014166846984,0.17460939176971865,0.37332050224676305,0.407503869107004,0.07288320332889989,0.12302751955280769,0.2979453280128037,0.14436989066040942,0.3050913355554299,0.23695451481876614,0.10446112526274079,0.4202193759839422,0.11460238737283987,0.3243140352563124,0.32276120074666037,0.19015655411925,0.25305636941771303,0.2437210390455152,0.17790171773437582,0.3135910027809121,0.347544084885701,0.2944117514348744,0.04650111210554145,0.28273120955123243,0.23707657128227075,0.3295603921209507,0.1270871641459447,0.31138352352929843,0.27683159065245244,0.25332772902568645,0.091049777013093,0.07763397880599235,0.11844276728353945,0.25335175365535945,0.4442171130159247,0.17513658141681368,0.2853797778799766,0.30177449341989027,0.44991465336456415,0.389062645038736,0.3505130381592645,0.2611340694672528,0.3305038691028812,0.4596776304846393,0.09698259526211264,0.3193593957687074,0.43775621125039044,0.2589146306253819,0.3571239275044744,0.2772912639897698,0.043037898048187834,0.2343484124771932,0.13393734717235453,0.3528413539868074,0.3393072212519568,0.3283026446447066,0.1367906139572291,0.3319441819651874,0.08535648125893128,0.22905980250683142,0.24082190662181122,0.20841074149284014,0.2744650862349687,0.2956754037631366,0.24146433966395772,0.2093255079864397,0.3827196387872681,0.2461888972132212,0.37461427700367567,0.3551492428761206,0.26463564460921274,0.4754441074957799,0.49947152101723025,0.5084149919960942,0.1000755999119324,0.4988512417533364,0.29085380949214235,0.2818128601381913,0.33295932613893564
5637,0.2942070312605928,1.0,0.11172830162440708,0.4450166116515548,0.4879467857147063,0.2770488167186267,0.3257221982276557,0.3222957178676408,0.15478862765937504,0.3673424849542172,0.3534819034438431,0.3166701970312259,0.2120787421713837,0.08473317203863948,0.12052720285802185,0.4959881691361494,0.25340027075391613,0.24976813184381805,0.014265188212140983,0.5013471441182975,0.0809332222034578,0.40573887410222964,0.14773080750294884,0.3702966074749773,0.03635553754973567,0.19504500665417798,0.1551996961321563,0.021462787231996378,0.14799118209420978,0.09569013165307602,0.05914284997660821,0.07499420933197878,0.3819466657704662,0.21971211111039982,0.16397607673479594,0.4410283385645155,0.3849282175526231,0.19176868993128557,0.20376868252673078,0.39853061407677104,0.4627977388673502,0.3385928363250006,0.18134032916430995,0.1959319323743031,0.193486607086348,0.26097875367521384,0.40314178933469125,0.39831608023227594,0.3804009783408846,0.21748293738891764,0.21197396962777573,0.36883897174392166,0.38722900023716667,0.4011352958787008,0.5115889246387654,0.07886345855766821,0.08706354508926187,0.3172990973154054,0.2477002739486027,0.46093732719148817,0.3974366662119285,0.3302710407042484,0.36808298702248965,0.048726910057597744,0.26502309263072843,0.2535002802772295,0.3293738271008775,0.1904149580905973,0.4554908870580521,0.4077488998198866,0.06379144663148242,0.09575152496677256,0.2255111193835315,0.09300772390578502,0.33239038126590714,0.26073507672000584,0.09807368011208153,0.3247170618310745,0.10412157964469312,0.27000541770939024,0.3870954238342772,0.2456426321130377,0.44831705152218326,0.25516557831830733,0.22528375370993944,0.31940844876702745,0.38884501828129003,0.3124000418177,0.03130462502131301,0.5118838226174309,0.2226606202060679,0.3823063158032032,0.11961518419792624,0.37326065860001423,0.46993113228052363,0.3673820670967347,0.07571138062429236,0.05499883872760861,0.09030908334746693,0.27307997383842253,0.27925295354925694,0.2050675156021012,0.43529016301767776,0.4814219639187073,0.377811646756823,0.4404899220284142,0.28414318597212884,0.17145118217775848,0.2657368258887016,0.3302441326770106,0.09802143897340718,0.40307251279442724,0.3418678613541455,0.23472664589786166,0.44492597486256935,0.26503290562137694,0.03546346435405193,0.361175906972908,0.11552123814582207,0.34419494485963675,0.36839034389860736,0.2913869383023533,0.08588335176663445,0.29427143784796117,0.07302979668156781,0.32038522886217646,0.35596234644888947,0.25957888247121286,0.31398308194371993,0.32769816409316355,0.28725538820870844,0.24084693883464894,0.5453997512538701,0.3132021266741375,0.30872490437076283,0.3649795117969272,0.18083747649105755,0.37301962770490105,0.30782769609653104,0.37097344186069114,0.0665017882099582,0.4776524377592727,0.2697352869044236,0.46384686195833735,0.26577073752649893
697,0.12134636135587876,0.11172830162440708,1.0,0.138435406217675,0.1434849153336348,0.10864022244146163,0.13870156280748833,0.17476359274407569,0.19655406175081228,0.1105562342822339,0.12372746949870403,0.0942559123056109,0.06144038374533364,0.3184379724240931,0.060921015867044764,0.05997599550810426,0.12160613898161363,0.15583065466978194,0.3296667447864121,0.07684562753802907,0.2642185406677887,0.1431014531244694,0.1565963366666233,0.07020191660580213,0.25666534593200485,0.20762657445550417,0.10741724976764769,0.30966416719244017,0.13139639953788532,0.10444524575003586,0.22628472165583371,0.19392997092537997,0.08763285391195777,0.18241126723965204,0.09530522787098175,0.1352435470379851,0.13771198148380406,0.11553650692498843,0.041296442379488846,0.11011066300716374,0.09797081664198962,0.1617428016684578,0.07324445985595371,0.09605637368418249,0.09569006970782781,0.1320246846629213,0.08740523585528229,0.07963128638358227,0.08370678903444087,0.0781662441532062,0.07466043991912966,0.09252929189525791,0.09585194194285021,0.08572453298027141,0.11683316937345886,0.23586617071573532,0.25972140341932315,0.11412022231952021,0.16595450108241575,0.1461205048330513,0.1423246756917518,0.18350363872158562,0.0596814530630049,0.30633823842257357,0.0707915421933559,0.06809318745138468,0.13860481797476018,0.05484318765601684,0.14653998818349898,0.12258763758590693,0.42629957199435053,0.37136855276000735,0.13973415842744072,0.16616503982125838,0.10760944521147234,0.09140081832199812,0.332970971822082,0.18344998316443686,0.2558712520241814,0.11931840607628533,0.13739783007331322,0.06829320263870722,0.08575107690813091,0.11242295071552469,0.06388365646580982,0.1228907829283152,0.18741509829826666,0.11122958460417245,0.36483130166360644,0.0810113072721241,0.10039775557695776,0.15431487826702509,0.2829844142606692,0.10845298999096722,0.08126728514109213,0.07781232019728548,0.3632785694285665,0.40093772632566027,0.25067647415267114,0.10226983983036717,0.12406433743629672,0.040735273698047164,0.09999737155206564,0.08893652707635705,0.12753508248310966,0.13623606698077897,0.07400865130336945,0.15649700100530736,0.12860426590735616,0.1145596853125824,0.3796668939425418,0.1335353003039351,0.1040861280483055,0.14814547464024794,0.13562450090375902,0.17663160437653777,0.31763808787756,0.08648767434587026,0.5359879037524519,0.13362374886624492,0.15718217665894488,0.14306755975219884,0.1503249811471152,0.13257661704753068,0.42917358217921386,0.07295681000418588,0.08294502188045647,0.09052603690553959,0.11972703799293774,0.11874233621603106,0.15163670076912275,0.07697584025069529,0.15578773696586737,0.07004901698225538,0.1599480928898062,0.10560997468371189,0.1764935678766387,0.12959813358867175,0.11330395946216656,0.12038737512352835,0.18682974051759446,0.1294889439266055,0.13929502263333168,0.11426297971117719,0.14050141958578546
8305C,0.3519208768306539,0.4450166116515548,0.138435406217675,1.0,0.5969095899515011,0.3815253739729113,0.4495577339561063,0.42976029202952704,0.2293500973544718,0.3719349058650835,0.39331335991552063,0.2044588856528123,0.1293288160415131,0.09486498427618076,0.09898115413352834,0.29165440057144454,0.25510009299263914,0.3400163396199867,0.023527289298019588,0.3396011342781877,0.11003315993841026,0.45935093070490884,0.21927041895263819,0.22562333737059562,0.03367272604052332,0.2227328044701796,0.10063383457165345,0.03468103220223892,0.1405680928928201,0.11504908459362781,0.0691046674303196,0.09420609345740985,0.35565285820921666,0.2668314880394165,0.1676457853842694,0.5784900612527061,0.5646736531476885,0.15563960281403386,0.09165871822363739,0.273371718359964,0.30617168809348394,0.43404341880929376,0.1210011298353186,0.158821803911235,0.14642130755293367,0.24750880776422726,0.23434966135168564,0.21705833747340983,0.22649432355797752,0.14822072197270972,0.12554527190081852,0.221899230035944,0.3147995800475395,0.2990748776775942,0.38279245735168466,0.11178287442353121,0.10796440969117851,0.4645780012711376,0.3147658549242882,0.570152298046946,0.5178155626993162,0.4627220093480543,0.19793811228790767,0.05373016615178197,0.1358222259135591,0.12871956317398878,0.3079721262764743,0.09382741736334618,0.4952689264016604,0.33099651177492684,0.06572573044672822,0.10946610842578827,0.3054997465612803,0.14279816403467235,0.30969946213976707,0.15981457044427086,0.10754210288987923,0.3800786967649299,0.12259832681015656,0.30259041995250546,0.5583041549338005,0.11766295900381232,0.24500279671668998,0.14744602923266767,0.09680066141722418,0.27591999790777355,0.4741727577094138,0.5244217372147275,0.04056971197182638,0.2872763377304943,0.17134908098397109,0.5623859182124082,0.12820052017383052,0.3343368176366267,0.3035845209926388,0.2132625108879739,0.0861395880296836,0.062017189609184925,0.11810230943988723,0.20943654668640713,0.28034660590304883,0.10536071721451121,0.2803744287495601,0.25592226971242305,0.4800042779908298,0.5860664161485247,0.1974189684040827,0.21030167870507463,0.26643104668626694,0.3770547393802648,0.11017639461500842,0.3844935236725543,0.39497868581496975,0.3767746971370938,0.6791053139789734,0.30219209012931936,0.03054486114936919,0.18276970368266723,0.15658983338732993,0.530268585009107,0.5222038949785462,0.45776394374008156,0.13414412782899496,0.45985789209140326,0.0783602292742954,0.15639784420465078,0.20582262513013108,0.13613422155857904,0.20179562015545469,0.5693318473561437,0.20674342980425767,0.130208230885504,0.610255694559335,0.1549015231947716,0.4597927151374196,0.42900650818468755,0.24183477499758546,0.4254087669108181,0.35598873758163363,0.4462107738224833,0.0947953076236683,0.5728791414814439,0.37176666990071083,0.2669113020321794,0.42689391053250403
8505C,0.3629250613007804,0.4879467857147063,0.1434849153336348,0.5969095899515011,1.0,0.34639071663972776,0.47307160189433184,0.4193217427272732,0.22711185342041076,0.41949530573801985,0.42460666870590413,0.2537461071029029,0.16756863512189477,0.09401496056072475,0.10630915091527018,0.3435271739853093,0.3124835990374215,0.33512931223466624,0.02435980452740258,0.39334496270114194,0.11266146889575265,0.46312505503138257,0.2316607241614105,0.3064940390247026,0.039131261369911935,0.22758536302600887,0.11326817047793983,0.037189280585980394,0.14400795787566076,0.12094084240167549,0.06600239166248764,0.09275399820555788,0.3961200857149567,0.2815018329934681,0.17486684980067754,0.5306043162335672,0.5046684449206965,0.16576906751690676,0.13016099909972242,0.3488036873496021,0.37329563543927324,0.4040270058858553,0.1491826930836949,0.1907361393559692,0.17710554273108517,0.2572754815975439,0.2918127586546341,0.29869268909910374,0.2878355941026215,0.17005406739211812,0.15742879228830534,0.27311896900515986,0.33189900184552745,0.35883899219744864,0.4721366204310239,0.11185972214461412,0.11772092438045609,0.4788816728861701,0.31780373524991345,0.5519005255833264,0.47699469125114413,0.4878214876408876,0.2657783370711424,0.06387915159764271,0.1833957215704811,0.16088996107126305,0.3626877662664746,0.14060749386454788,0.5961909431400179,0.3478838113091478,0.07724244219036261,0.11400486920133154,0.30453642521304336,0.13910085668463415,0.33672593894672576,0.20514857396111483,0.11915716702878718,0.39621687554946816,0.13732837434772735,0.3111724949697975,0.5109017138966155,0.15692827623798114,0.3335279164075119,0.18391226811035558,0.1353550154621572,0.32788500220525574,0.5441060564577233,0.5131420602254003,0.04294000757128971,0.35736695342521696,0.20450941247823876,0.46723879649067124,0.12909638040600888,0.38669431755475614,0.3943472296353445,0.2826142392030696,0.09120108377072597,0.06759908221935132,0.13067819788860882,0.2495299736227575,0.3262908631086744,0.13344805174219862,0.3219046570250498,0.3316001689375726,0.42583288110515183,0.5852212331227101,0.2407887757813724,0.20814718342565522,0.28881567464504176,0.3916793593822149,0.11324159398993985,0.39893142133639103,0.3948710348610307,0.3459557642021812,0.5282239902233185,0.31376794498354776,0.040569331183319596,0.23295203449298182,0.15181850815557715,0.490339140080875,0.5438809656411486,0.41682709283074026,0.12437725654050527,0.42932809568941654,0.08897771146124542,0.2030435972755227,0.2555541953141002,0.1761473819133468,0.2509476628185844,0.4640571262933353,0.2420860223974732,0.15981790289781647,0.6921663278031693,0.21468415522410975,0.4119678171415849,0.4246902896426711,0.27559972742301075,0.40442538900425473,0.35949949601541353,0.42602923574547635,0.09448950201926862,0.5291883181801098,0.3691364169973137,0.3096062298924569,0.38063504852514063
A101D,0.31026062290703815,0.2770488167186267,0.10864022244146163,0.3815253739729113,0.34639071663972776,1.0,0.3668313688565983,0.6244515838561412,0.21097686901282095,0.2940536587726025,0.3117038904132162,0.17277959124859596,0.14538136103083962,0.09973401714015254,0.11176102195913593,0.2006325827973702,0.2099742751168636,0.5850281187859867,0.02783175423168535,0.22642158671930476,0.09753798008000777,0.3086810548471717,0.1898109270105248,0.16976914689518832,0.03463839042720715,0.19522835861825857,0.1016440259111577,0.046102459723099204,0.12009679608987059,0.11453616145222792,0.0937001645667834,0.12034142879160306,0.2666938735513742,0.24704650781723034,0.18187727430638148,0.4705540867130462,0.48317300579607636,0.17514789550010165,0.07080031045495008,0.22114641884720568,0.2573684996385609,0.35842973631426966,0.10488399983701527,0.1458974147740946,0.12738620910512474,0.27729739979359647,0.20004320760159974,0.17965660936018388,0.18869657548506083,0.13098289547848949,0.10862192708829191,0.1680423362932836,0.2519301445159985,0.2280634207510344,0.2648847862031408,0.10359645798616349,0.11304174487163246,0.39542418623255104,0.3776306754607526,0.375436611789149,0.389158915099292,0.33909666081239576,0.15272955775371813,0.0632479020605278,0.1167339878885428,0.11385515426247625,0.25788732500519007,0.12196558221117101,0.35640007496906856,0.2636920699562848,0.07062536964529312,0.09553836318924466,0.5759568013847322,0.13472888734220714,0.2425685805653642,0.14215042167797418,0.09922160134556776,0.30582287811139586,0.10656471130773607,0.24313189138445904,0.38886599430990965,0.11250854128119117,0.19304110204839683,0.13692645770781728,0.08637415962710251,0.24219261048598636,0.33804922232038437,0.37882170205238164,0.046279233947479875,0.206839130193839,0.14745528794581123,0.4351534605465912,0.12813636559515781,0.3058784667902602,0.2294689156361244,0.18489839196100707,0.0707772025210168,0.0666420987519861,0.10767323080882321,0.17099181295671248,0.2587289846834617,0.08928043444864739,0.217519786851556,0.1991583242909821,0.3260030192366863,0.3749577692794207,0.16752614134955987,0.2428934446376356,0.24400973592501637,0.28584599835519364,0.08845225828333383,0.2780117990375135,0.2779258650925116,0.352874727125566,0.3783607822893933,0.23859149073993144,0.04194339543846906,0.15037081422925205,0.13511711325787853,0.38976186826259673,0.37778225246360475,0.3669911161562459,0.11295555733300836,0.46059069717739887,0.08250690397223634,0.13069916612340407,0.1918585123924718,0.11709071471619206,0.18153146179968063,0.38140107134533796,0.19176747642454103,0.11171514350563103,0.35574766876610564,0.13720826023985253,0.3724306719782171,0.3258994481725481,0.22371037992160783,0.32396005424852137,0.28123317141643245,0.3495734428650269,0.13195837643814487,0.36430250468686354,0.6108030086365324,0.2074360266187618,0.38345689617433
A172,0.3341269391946292,0.3257221982276557,0.13870156280748833,0.4495577339561063,0.47307160189433184,0.3668313688565983,1.0,0.4048162816198432,0.2711468276426243,0.3983486189580929,0.400201680180891,0.20797338468793655,0.13709052707597172,0.0822083147947135,0.11714248751020698,0.21378101468750985,0.2827743277175143,0.3575985327644543,0.015531407701297378,0.230873051624117,0.10084421741508623,0.4101388759126269,0.2546128278534324,0.22207058313572745,0.027517322736503896,0.18615444931392636,0.11380588704581565,0.02340807785071944,0.16949377581341016,0.1253406029816915,0.05346620154619505,0.07310002608025654,0.37066242652725356,0.3131997102256078,0.171363812198313,0.5213003302119184,0.41985595726252856,0.16906341998387728,0.07591783149975426,0.2706134730304678,0.29099712822824464,0.40243292214971105,0.1249356373755344,0.16422542177145752,0.15128340245861935,0.2478584083002874,0.21286139557733455,0.2143006488022988,0.2166045111731522,0.15191404936952538,0.1271631833071504,0.21337581674747416,0.3054846248473877,0.2879931580548155,0.30365326606750687,0.10430132424206964,0.09851745263171166,0.43345737319588595,0.34706615179563005,0.5141657571713236,0.4470362260213886,0.47371537738653746,0.17554792166192315,0.048509753862978816,0.10963966563869507,0.12240440746494594,0.3156402023834114,0.07934335803464246,0.4928919989408994,0.2844809243177422,0.0631222731087108,0.12226658769077711,0.3256816593871703,0.1766390622311297,0.3158435773922519,0.12559249303145623,0.09804404655284912,0.39512845794220885,0.10625253914580693,0.3112535349919163,0.47990873936082723,0.11605012934925293,0.24527781283610153,0.13278437128041318,0.09223291542987941,0.235592769992336,0.4213293802718432,0.5302945284594889,0.0302702832806179,0.24321702127135833,0.1786323110391068,0.487786255757236,0.11867110647852272,0.3808626172992776,0.2926165180353798,0.21958131499052083,0.08754408776098158,0.056757897121979844,0.10307954379315395,0.2073660664641824,0.30156388322616623,0.092659697740712,0.250285483492349,0.21742414136528435,0.35930073963091735,0.4780211568135363,0.20269264580813592,0.2596397592549292,0.2766613092054524,0.31709994211400205,0.10182072327450195,0.3128154294687049,0.37469961294797993,0.4272638504681794,0.43476580659839326,0.2536020798296612,0.02851338450150595,0.1573285687626281,0.129212984339359,0.5758628917863522,0.5562571158193553,0.5066654851014445,0.17395004543323392,0.5117051480187769,0.06046173693787535,0.14785061394804358,0.19707047371522926,0.11473510251446037,0.19844851876102312,0.4864172743063041,0.2020607164695172,0.11471873324373336,0.4747339230279939,0.14299636189947887,0.5310395823537295,0.45301554920430365,0.30557653758267755,0.39496373361976156,0.38760465258922816,0.4143400794736788,0.09914019445137515,0.46540869125105766,0.37005314656250343,0.24732159552269908,0.5018526238797981
A2058,0.3460044485201096,0.3222957178676408,0.17476359274407569,0.42976029202952704,0.4193217427272732,0.6244515838561412,0.4048162816198432,1.0,0.29125215434287954,0.3511987774410712,0.3640737589471422,0.20813246490787587,0.15604653952116362,0.1171107421269956,0.15153620220774808,0.22891401437586736,0.26238387429160115,0.635350457118281,0.04772647473769129,0.2643961668542625,0.1484212292244904,0.3634400567106483,0.24870884951982977,0.22082988474241963,0.059999358791437446,0.22777495604414585,0.16241766226545937,0.05422690105152886,0.19436771591112703,0.17577440277621284,0.08503019950264398,0.11958557938746442,0.33313816652418193,0.31019963539346107,0.21701656415903195,0.4526471253143334,0.46320335955640835,0.2239031973955881,0.10628257585186654,0.29149422965779404,0.2900727733781726,0.4120211938963415,0.14017771416024513,0.17697523875057944,0.17243261788325662,0.31975995835401505,0.23099844204565953,0.21268045506178343,0.21790057292089807,0.16937242467911903,0.14732320539618773,0.21521286476990784,0.30918630945541314,0.2619399286260943,0.30389241852341164,0.1552487849061844,0.13382476584249334,0.3783280234037346,0.4750045656287254,0.43779245624628227,0.4140754124086109,0.4423421020095394,0.19213535500226112,0.08611408657945582,0.15481212075024112,0.14702308686464563,0.3109439403241909,0.13367613934256586,0.3998560703950953,0.2866639073122962,0.10681774086069276,0.15333235840076773,0.5967573417058074,0.1908453212311819,0.2697460127414051,0.1947389057368442,0.15377949448949138,0.3977295509915495,0.1597954886122329,0.29740088443016155,0.4280514801917018,0.14042723621417183,0.20704833660327518,0.1969003614861454,0.12069057646668294,0.31370447432345383,0.41902408385640766,0.41236983181880393,0.06753600757834713,0.23977118793298682,0.1990785219905762,0.447580051191122,0.1432648205776164,0.3055702590144892,0.25938043076108264,0.21668850510692636,0.11600582007450236,0.09155381779998797,0.1596473611654564,0.20830760937692386,0.2931084223695042,0.1267066492719254,0.2571400128155059,0.24013521459849788,0.3472728940304086,0.41823365346045727,0.19402277851369956,0.2791830116975508,0.2716450198111724,0.30733649623350645,0.13662024300739775,0.35164985956396577,0.28997122038587053,0.3923151078681828,0.4272918453961695,0.3049581484208074,0.06486704952695313,0.18730654985540282,0.18559485667493883,0.4272173779119427,0.42736580866192986,0.4091919903853872,0.17814486091799228,0.4717127697309017,0.10344193812449495,0.16849827303189766,0.20815289563787695,0.15297800302882517,0.2467894991004204,0.4214566749356915,0.2569923429794737,0.15969538980453538,0.41675618397780256,0.17127148586840638,0.4284251365589866,0.35950829839790854,0.30684027662990343,0.3558130215367139,0.30717417868592833,0.3584527934734568,0.12707529142462556,0.4049877170706032,0.684653238792238,0.26245199721059354,0.4463396366867589
A2780,0.251062054114077,0.15478862765937504,0.19655406175081228,0.2293500973544718,0.22711185342041076,0.21097686901282095,0.2711468276426243,0.29125215434287954,1.0,0.2364510370219838,0.23650483514529144,0.16579279673037936,0.12401426765189053,0.11196074520433866,0.11591834334366644,0.13131912778662977,0.28415604798736527,0.25095388688884845,0.06902004254300495,0.14874470418057925,0.15034128664731458,0.2804957242711358,0.4331637693351412,0.12571501173877778,0.06961361554145631,0.17261926267871133,0.13320274263275897,0.07362967895925074,0.2194571671543322,0.17377231116803724,0.07320168154589404,0.09560731240669026,0.22891977924694976,0.3980102234852786,0.2491824912217339,0.24460082651998552,0.22378264177181043,0.22135677983609178,0.07136767857090023,0.22873764517687598,0.1954033983417887,0.3049084483632907,0.13893219896253464,0.16490136499505778,0.17315819512704386,0.2748613128691223,0.184800708975609,0.15279980283210562,0.15236186459481385,0.17249670914613544,0.15104737410282762,0.14300578102581793,0.23246736957024758,0.1795338208157383,0.20634425668525244,0.1553087273077157,0.12469708341967081,0.24766541282530138,0.27296491735588024,0.2791462735033584,0.26042829196958905,0.3722939837102228,0.11773491326517246,0.09906075793039223,0.10934098418092061,0.09948525685882745,0.31282714060216266,0.08674867901624969,0.24368946871108252,0.2157186976831342,0.11292725219775043,0.19165178403211783,0.24215532670676657,0.28800676677562687,0.23558089685013608,0.134626902619951,0.1322283674428855,0.4185081412079852,0.14381230996591457,0.28462616013684183,0.2562908511576706,0.09833991253777144,0.14601031013877105,0.1539779423854368,0.07651871118233569,0.18930710493264705,0.3180207516781095,0.24658915635414455,0.07962564849365436,0.12599323368674423,0.18757674058000887,0.2689205266275988,0.1388457850101016,0.2191005823717865,0.16291472093963524,0.1663708763654839,0.1474081013731657,0.12276597906320799,0.19417041267377835,0.24711266094214004,0.2839616881403333,0.08010490206388923,0.17254043418486778,0.1469548429661299,0.23946822165339912,0.24754400691951742,0.1861475000115834,0.4040468415769315,0.28078151490494385,0.2108475979781392,0.16764910895789228,0.23464562791202623,0.18257100178779953,0.35645995421396826,0.23861117089849573,0.28289262964090267,0.0812154668514243,0.13192695921147066,0.17583751413938656,0.2823015375332202,0.30058405249629727,0.2901717175093703,0.2597783873428887,0.2772572429783152,0.10570235645067175,0.09782148155519285,0.1337106146211731,0.10432961572874025,0.18486458140407006,0.27141272274244166,0.20310276177431855,0.11644253948464547,0.26235158759758936,0.12028685175448575,0.2792476763669648,0.24992637035021106,0.47290041095423196,0.21311279319332696,0.20735578077948894,0.2012940684375886,0.1082690155459892,0.22420285440009383,0.23959703992227407,0.17046367996384912,0.32958271201826417
A549,0.4407628156958001,0.3673424849542172,0.1105562342822339,0.3719349058650835,0.41949530573801985,0.2940536587726025,0.3983486189580929,0.3511987774410712,0.2364510370219838,1.0,0.4563227776926707,0.3016753487777577,0.22880347158271516,0.08404255282895709,0.21266659123621992,0.2585533229059066,0.3656119439329478,0.2939662467733416,0.01754028480963024,0.3188877433010483,0.10221052284886442,0.38835919412446396,0.26664744594220735,0.32500151468962013,0.04588053079934354,0.18320774219720995,0.12390706029085177,0.01963397095271427,0.1473141617135584,0.1535941768811718,0.050250192259421594,0.08513586612436094,0.6177520120294565,0.30604474770086953,0.248340758870677,0.44663741304475135,0.33888986534131704,0.215459198303227,0.18974663895471436,0.36930789536239383,0.3624379041197785,0.39673111035347075,0.18729523253134892,0.21759919095382532,0.20244915431452,0.2641885449902096,0.30104417829060737,0.284150116315363,0.3222248407298519,0.19652055814139305,0.2033402116581268,0.28744438873057787,0.33898083036669957,0.36500379116976744,0.45318890784090604,0.10197669116483185,0.0961300009247735,0.44185812316586337,0.27344285164697124,0.4852578937568125,0.3919920951773377,0.40864702601767766,0.301086220835741,0.05439746790716396,0.23623519321250194,0.22569511295285025,0.39579282385456094,0.1845828708495678,0.46201040866733245,0.3483023436112377,0.06644078556307523,0.10090209731075486,0.2836150166340964,0.14159944302198865,0.32081683364592983,0.25554736957628443,0.09465594361994886,0.4171642158181309,0.12812697581204222,0.2885650768798227,0.38329346607627,0.20427254582997592,0.28192631269127055,0.2477069338844972,0.1820185038691827,0.355032973718339,0.4007319486234925,0.3505172858737028,0.03543985847475581,0.3400848386128523,0.2506805856936669,0.32752573576129895,0.11737168068032908,0.3631567738568009,0.3424175289806941,0.2755199583011335,0.07334198494846297,0.0544384982989248,0.11960286368953307,0.234765893123305,0.387491226738099,0.20773622766053976,0.36233235829024124,0.31920429190830246,0.4249783688168166,0.4576315470498453,0.29662177421618174,0.2477510292019995,0.28591683729807416,0.44021138213324107,0.09383288082208688,0.3901522625978613,0.38735853416791965,0.2626073779602268,0.37395798780386513,0.2645170175106619,0.03309193970211974,0.27097275838272683,0.110808300779796,0.3943046911067465,0.3872337779348737,0.3162711920483101,0.1301576797776666,0.31825369108549306,0.06841216017304222,0.26089641408221664,0.25535692341362815,0.2336888868531715,0.2721270976057033,0.35254279589515114,0.27878127601021785,0.214662404282336,0.43682770740763643,0.2675719593311162,0.3897172441290848,0.37549039395004746,0.29428913284393476,0.4380811402609156,0.4217431092477236,0.4380460954539108,0.09682937201320338,0.467495331345524,0.30726024585252476,0.33475400704477065,0.3201432524060682
