"NAME_SET","nci60","ctrp","gdscDec15","ccle","nciSclc","almanac","sarcoma","lantern","lantnci","ncats","uniSarcoma","tncats","ukhyun","ancats","acc","nob","prism","gdsc1","gdsc2","accorg","pdxEwing"
"SONIDEGIB|CT-LDE225|SONIDEGIB PHOSPATE|NVP-LDE-225 (DIPHOSPHATE SALT)|A-1126|;NVD-LDE225 (DIPHOSPHATE SALT);CT-LDE225;CS-1175;LDE225 ...|NVD-LDE225 (DIPHOSPHATE SALT)|CS-1175|LDE225 DIPHOSPHATE|LDE-225|LDE-225, DIPHOSPHONATE SALT|D3582|N-[6-[(2R,6S)-2,6-DIMETHYL-4-MORPHLINYL]-3-PYRIDINYL]-2-...|CT-LDE-225 (DIPHOSPHATE SALT)|761386","761386","NA","NA","NA","761386|761385","NA","761386","NA","NA","NA","761386","sonidegib","NA","sonidegib","NA","NA","sonidegib","NA","NA","NA","NA"
"(+)-JQ-1|(+)-JQ1|1268524-70-4|JQ1|JQ1 COMPOUND|UNII-1MRH0IMX0W|760183|764043|JQ1-(+)","760183|764043","NA","JQ1_163|JQ1_1218","NA","764043","NA","764043","NA","760183|764043","NA","764043","jq1","NA","jq1","NA","NA","JQ1-(+)","JQ1_163|JQ1_1218","JQ1","NA","NA"
"(5Z)-7-OXOZEAENOL|5Z-7-OXOZEAENOL|CHEBI:67559|CHEMBL1077979|LL-Z1640-2","NA","NA","(5Z)-7-Oxozeaenol","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","(5Z)-7-Oxozeaenol","NA","NA","NA"
"1-METHYL-[D]-TRYPTOPHAN","NA","NA","NA","NA","721782","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"17-AAG|17-ALLYLAMINOGELDANAMYCIN|NSC-330507|TANESPIMYCIN|330507","330507","tanespimycin","17-AAG","17-AAG","330507","NA","330507","NA","330507","NA","330507","tanespimycin","NA","tanespimycin","NA","NA","tanespimycin","Tanespimycin","Tanespimycin","NA","NA"
"17-DMAG|ALVESPIMYCIN|CHEBI:65324|KOS-1022|UNII-001L2FE0M3|707545|ALVESPIMYCIN HYDROCHLORIDE","707545","NA","NA","NA","707545","NA","707545","NA","707545","NA","707545","alvespimycin hydrochloride","NA","alvespimycin hydrochloride","NA","NA","alvespimycin","NA","NA","NA","NA"
"146-78-1|2-FAR|2-FAS|2-FLUOROADENOSINE|ADENOSINE, 2-FLUORO-","NA","NA","NA","NA","118218","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"236392-56-6|3-AP|3-APCT|C7H9N5S|PAN 811|TRIAPINE|663249","663249","NA","NA","NA","759096","NA","759096","NA","663249","NA","759096","triapine","NA","triapine","NA","NA","triapine","NA","NA","NA","NA"
"3-BROMOPYRUVATE (ACID)|3-BROMOPYRUVIC ACID|62343|BROMOPYRUVATE|3-BROMOPYRUVATE","62343","NA","NA","NA","62343","NA","NA","NA","62343","NA","NA","3-bromopyruvate","NA","3-bromopyruvate","NA","NA","NA","NA","NA","NA","NA"
"5-FLUOROURACIL|5-FU|51-21-8|FLUOROPLEX|FLUOROURACIL|19893|757036","19893|757036","fluorouracil","5-Fluorouracil","NA","19893","NA","19893","NA","19893|757036","NA","19893","fluorouracil","NA","fluorouracil","NA","NA","5-fluorouracil","5-Fluorouracil","5-Fluorouracil","NA","NA"
"50-44-2|6-MERCAPTOPURINE|MERCAPTOPURINE|MERCAPURIN|PURINETHOL|755|759614","755|759614","NA","NA","NA","755","NA","755","NA","755|759614","NA","755","mercaptopurine","NA","mercaptopurine","NA","NA","mercaptopurine","NA","NA","NA","NA"
"154-42-7|2-AMINO-6-MERCAPTOPURINE|6-THIOGUANINE|THIOGUANINE|TIOGUANINE|752|757348","752|757348","NA","NA","NA","752","NA","752","NA","752|757348","NA","752","tioguanine","NA","tioguanine","NA","NA","thioguanine|tioguanine","NA","NA","NA","NA"
"7-ETHYL-10-HYDROXYCAMPTOTHECIN|86639-52-3|SN 38 LACTONE|SN-38|673596|NCGC00167831-02","673596","NA","NA","NA","673596","NA","673596","NA","673596","NCGC00167831-02","673596","7-ethyl-10-hydroxycamptothecin","NA","7-ethyl-10-hydroxycamptothecin","NA","SN-38","NA","SN-38_1490|SN-38_1494","SN-38","NA","NA"
"1OKZ|7-HYDROXYSTAUROSPORINE|UCN 01|UCN-01|UCN01|638850|638646","638850|638646","NA","NA","NA","NA","NA","NA","NA","638850|638646","NA","NA","7-hydroxystaurosporine","NA","7-hydroxystaurosporine","NA","NA","7-hydroxystaurosporine","NA","NA","NA","NA"
"7-TERT-BUTYLDIMETHYLSILYL-10-HYDROXYCAMPTOTHECIN|708298","708298","NA","NA","NA","NA","NA","NA","NA","708298","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"34408-14-5|8-CHLORO-ADENOSINE|8-CHLOROADENOSINE|ADENOSINE, 8-CHLORO-|AK481203|UNII-PA05MFH3I7|354258|8-CL-ADO","354258","NA","NA","NA","NA","NA","NA","NA","354258","NA","NA","8-chloroadenosine","NA","8-chloroadenosine","NA","NA","NA","NA","NA","NA","NA"
"552325-16-3|A 443654|A-443654","NA","NA","A-443654","NA","NA","NA","NA","NA","NA","NA","NA","a-443654","NA","a-443654","NA","NA","NA","A-443654","NA","NA","NA"
"869748-10-7|A-770041|CHEMBL197603|U9855G2ZPR|UNII-U9855G2ZPR","NA","NA","A-770041","NA","NA","NA","NA","NA","NA","NA","NA","a-770041","NA","a-770041","NA","NA","NA","A-770041","NA","NA","NA"
"790299-79-5|AB-1010|AB1010|MASATINIB|MASITINIB|755400","755400","masitinib","Masitinib","NA","755400","NA","755400","NA","755400","NA","755400","masitinib","NA","masitinib","NA","NA","masitinib","Masitinib","NA","NA","NA"
"154229-19-3|ABIRATERONE|CB 7598|749227|749226|ABIRATERONE-ACETATE","749227|749226","abiraterone","NA","NA","749226","NA","NA","NA","749227|749226","NA","NA","abiraterone","NA","abiraterone","NA","NA","abiraterone|abiraterone-acetate","NA","NA","NA","NA"
"1257044-40-8|ABT-199|ABT199|VENCLEXTA|VENETOCLAX|CS-1155|A-1231|4-[4-[[2-(4-CHLOROPHENYL)-4,4-DIMETHYLCYCLOHEX-1-EN-1-YL...|GDC-0199|GDC-0199; RG-7601|RG-7601|766270|VENOTOCLAX","766270","ABT-199","NA","NA","766270","NA","NA","NA","NA","NA","NA","venetoclax","NA","venetoclax","NA","NA","venetoclax","Venotoclax","Venetoclax","NA","NA"
"923564-51-6|ABT 263|ABT-263|ABT263|NAVITOCLAX|759659","759659","navitoclax","ABT-263","NA","759659","NA","759659","NA","759659","NA","759659","navitoclax","NA","navitoclax","759659","NA","navitoclax","Navitoclax","Navitoclax","759659","NA"
"1227939-82-3|ABT-348|ILORASERTIB|ILORASERTIB [USAN]|UNII-6L5D03D975","NA","NA","NA","NA","765889","NA","765889","NA","NA","NA","765889","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"852808-04-9|ABT 737|ABT-737|ABT737|UNII-Z5NFR173NV|BENZAMIDE, 4-[4-[(4'-CHLORO[1,1'-BIPHENYL]-2-YL)METHYL]-...|758873","758873","ABT-737","NA","NA","758873","NA","758873","NA","NA","NA","758873","abt-737","NA","abt-737","NA","NA","ABT-737","NA","ABT737","NA","NA"
"796967-16-3|ABT 869|ABT-869|LINIFANIB","NA","linifanib","ABT-869","NA","764237","NA","764237","NA","NA","NA","764237","linifanib","NA","linifanib","NA","NA","linifanib","Linifanib","NA","NA","NA"
"912444-00-9|ABT 888|ABT-888|ABT888|VELIPARIB|752840","752840","veliparib","ABT-888","NA","752840","NA","NA","NA","752840","NA","NA","veliparib","NA","veliparib","NA","NA","NA","Veliparib","Veliparib","NA","NA"
"950769-58-1|AC-220|AC220|QUIZARTINIB|QUIZARTINIB (AC220)|756647","756647","quizartinib","AC220","NA","756647","NA","756647","NA","756647","NA","756647","quizartinib","NA","quizartinib","NA","NA","quizartinib","Quizartinib","NA","NA","NA"
"ACETALAX|ACETOPHENOLISATIN|BROCATINE|CONTAX|OXYPHENISATIN ACETATE|59687|117186","59687|117186","NA","Acetalax_NSC_59687","NA","NA","NA","NA","NA","59687|117186","NA","NA","NA","NA","NA","NA","NA","NA","NA","Acetalax_1803|Acetalax_1804","NA","NA"
"ACRICHINE|ACRINAMINE|ACRIQUINE|ATABRINE|MEPACRINE|QUINACRINE|14229|QUINACRINE DIHYDROCHLORIDE","14229","NA","NA","NA","14229","NA","14229","NA","14229","NA","14229","quinacrine dihydrochloride","NA","quinacrine dihydrochloride","NA","NA","NA","NA","NA","NA","NA"
"ACTINOMYCIN C1|ACTINOMYCIN D|COSMEGEN|DACTINOMYCIN|MERACTINOMYCIN|3053|755841","3053|755841","NA","Actinomycin D","NA","3053","NA","3053","NA","3053|755841","NA","3053","actinomycin d","NA","actinomycin d","NA","NA","NA","NA","Dactinomycin_1811|Dactinomycin_1911","NA","NA"
