Drug Name,DrugBank ID,PubChem CID,PubChem SID,SMILES,Gene,NSC
Lepirudin,DB00001,,46507011.0,,F2,
Cetuximab,DB00002,,46507042.0,,EGFR,
Cetuximab,DB00002,,46507042.0,,FCGR3B,
Cetuximab,DB00002,,46507042.0,,C1QA,
Cetuximab,DB00002,,46507042.0,,C1QB,
Cetuximab,DB00002,,46507042.0,,C1QC,
Cetuximab,DB00002,,46507042.0,,FCGR3A,
Cetuximab,DB00002,,46507042.0,,FCGR1A,
Cetuximab,DB00002,,46507042.0,,FCGR2A,
Denileukin diftitox,DB00004,,46506950.0,,IL2RA,
Denileukin diftitox,DB00004,,46506950.0,,IL2RB,
Denileukin diftitox,DB00004,,46506950.0,,IL2RG,
Etanercept,DB00005,,46506732.0,,TNF,
Etanercept,DB00005,,46506732.0,,LTA,
Etanercept,DB00005,,46506732.0,,FCGR1A,
Etanercept,DB00005,,46506732.0,,FCGR2A,
Etanercept,DB00005,,46506732.0,,FCGR2B,
Etanercept,DB00005,,46506732.0,,FCGR2C,
Etanercept,DB00005,,46506732.0,,FCGR3A,
Etanercept,DB00005,,46506732.0,,FCGR3B,
Etanercept,DB00005,,46506732.0,,C1QA,
Bivalirudin,DB00006,16129704.0,46507415.0,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC(C)C)C(O)=O,F2,
Leuprolide,DB00007,,46507635.0,CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1,GNRHR,
Peginterferon alfa-2a,DB00008,,46504860.0,,IFNAR2,
Peginterferon alfa-2a,DB00008,,46504860.0,,IFNAR1,
Alteplase,DB00009,,46507035.0,,PLG,
Alteplase,DB00009,,46507035.0,,FGA,
Alteplase,DB00009,,46507035.0,,FGG,
Alteplase,DB00009,,46507035.0,,SERPINE1,
Sermorelin,DB00010,,46507399.0,,GHRHR,
Interferon alfa-n1,DB00011,,46506227.0,,IFNAR1,
Interferon alfa-n1,DB00011,,46506227.0,,IFNAR2,
Darbepoetin alfa,DB00012,,46504480.0,,EPOR,
Urokinase,DB00013,,46506299.0,,PLG,
Urokinase,DB00013,,46506299.0,,PLAUR,
Urokinase,DB00013,,46506299.0,,SERPINE1,
Urokinase,DB00013,,46506299.0,,SERPINB2,
Urokinase,DB00013,,46506299.0,,SERPINA5,
Urokinase,DB00013,,46506299.0,,LRP2,
Urokinase,DB00013,,46506299.0,,ST14,
Urokinase,DB00013,,46506299.0,,NID1,
Goserelin,DB00014,5311128.0,46507336.0,CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O,LHCGR,
Goserelin,DB00014,5311128.0,46507336.0,CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O,GNRHR,
Reteplase,DB00015,,46506092.0,,PLG,
Reteplase,DB00015,,46506092.0,,FGA,
Reteplase,DB00015,,46506092.0,,SERPINE1,
Erythropoietin,DB00016,,46508122.0,,EPOR,
Salmon calcitonin,DB00017,,46506061.0,,CALCR,
Interferon alfa-n3,DB00018,,46508902.0,,IFNAR1,
Interferon alfa-n3,DB00018,,46508902.0,,IFNAR2,
Pegfilgrastim,DB00019,,46505853.0,,CSF3R,
Sargramostim,DB00020,,46507000.0,,CSF2RA,
Sargramostim,DB00020,,46507000.0,,IL3RA,
Sargramostim,DB00020,,46507000.0,,CSF2RB,
Sargramostim,DB00020,,46507000.0,,SDC2,
Sargramostim,DB00020,,46507000.0,,PRG2,
Peginterferon alfa-2b,DB00022,,46506669.0,,IFNAR1,
Peginterferon alfa-2b,DB00022,,46506669.0,,IFNAR2,
Thyrotropin alfa,DB00024,,46505696.0,,TSHR,
"Antihemophilic factor, human recombinant",DB00025,,46506209.0,,F10,
"Antihemophilic factor, human recombinant",DB00025,,46506209.0,,F9,
"Antihemophilic factor, human recombinant",DB00025,,46506209.0,,VWF,
"Antihemophilic factor, human recombinant",DB00025,,46506209.0,,PHYH,
"Antihemophilic factor, human recombinant",DB00025,,46506209.0,,ASGR2,
"Antihemophilic factor, human recombinant",DB00025,,46506209.0,,HSPA5,
"Antihemophilic factor, human recombinant",DB00025,,46506209.0,,CALR,
"Antihemophilic factor, human recombinant",DB00025,,46506209.0,,CANX,
"Antihemophilic factor, human recombinant",DB00025,,46506209.0,,LMAN1,
"Antihemophilic factor, human recombinant",DB00025,,46506209.0,,LRP1,
