,786_0,A498,A549,ACHN,BT_549,CAKI_1,CCRF_CEM,COLO205,DU_145,EKVX,HCC_2998,HCT_116,HCT_15,HL_60,HOP_62,HOP_92,HS578T,HT29,IGROV1,KM12,K_562,LOXIMVI,M14,MALME_3M,MCF7,MDA_MB_231,MDA_MB_435,MDA_N,MOLT_4,NCI_ADR_RES,NCI_H226,NCI_H23,NCI_H322M,NCI_H460,NCI_H522,OVCAR_3,OVCAR_4,OVCAR_5,OVCAR_8,PC_3,RPMI_8226,RXF_393,SF_268,SF_295,SF_539,SK_MEL_2,SK_MEL_28,SK_MEL_5,SK_OV_3,SN12C,SNB_19,SNB_75,SR,SW_620,T47D,TK_10,U251,UACC_257,UACC_62,UO_31
786_0,0.9999999999999999,0.5183407698214538,0.41281075374177334,0.5282345315495341,0.3166523918527081,0.5886520330521716,0.13427644932214333,0.19872173135196003,0.43331593587093786,0.38619431204133914,0.2595598587449417,0.3179698229164445,0.32579760915096156,0.18648324108124192,0.5012136080696566,0.4587569908961904,0.3833175559405366,0.25172042568705744,0.38695878307489107,0.25865865037063873,0.23203435078964674,0.42399460349908247,0.23581848132725658,0.21812672352480755,0.24284454995833138,0.24417486066629013,0.30200341556271293,0.2698513115245551,0.16462365601566076,0.3377616079973126,0.37958365658533466,0.38582264507469055,0.29331950068068724,0.3228714035359903,0.2204994428290311,0.3403574058658545,0.3588183940045456,0.32622325987762424,0.43690309196764376,0.39189553052165627,0.17038701743346463,0.5597496774268023,0.3987034549294872,0.46263088552941223,0.4466435809215945,0.2936088630848208,0.266484635140819,0.20210762375963554,0.4658953962801069,0.44324630228385775,0.2659583273067947,0.33073984963824243,0.22166438696237956,0.09048700231924822,0.20638567771896577,0.5889180500656342,0.4197131313978124,0.2064134699136959,0.27510924556101723,0.5402390812317338
A498,0.5183407698214538,0.9999999999999999,0.5021225284173437,0.49626515067058785,0.3524408080838296,0.5938770598894219,0.10448020661855617,0.2476066747174014,0.4111557366206382,0.40017326332921077,0.30638412464222886,0.3050152309596311,0.301028765823652,0.18395425238094842,0.3821650635420857,0.3961481705896136,0.35893058811206524,0.3070974931580619,0.40645137882852445,0.27104991888372976,0.24466356544709522,0.39231509198771664,0.2122438751749346,0.20452120711530875,0.2651316911800886,0.2187689507279017,0.2672168459411516,0.28089943704952136,0.13971509011656225,0.2898443722327466,0.4424431558540841,0.3578185280799502,0.3015810010734191,0.41407293392209343,0.1893838052347684,0.36818548350782465,0.3964080595210573,0.28404725188963276,0.3845564246893748,0.3519021620924091,0.1789155998736386,0.5359946911953486,0.37823015534817184,0.43183918909452645,0.4092903660376186,0.23768864435554904,0.2325065620162322,0.1935752777188139,0.4392680838923343,0.39870625252810643,0.26979310651299027,0.33222340625851987,0.24548866933868063,0.08239536132206354,0.24676082775700692,0.4987070537880087,0.37333992226820767,0.2075231329517634,0.2771674022666182,0.45867548002185776
A549,0.41281075374177334,0.5021225284173437,0.9999999999999999,0.4686347516724445,0.28149620830311817,0.5106400152148817,0.19174137552675252,0.3931488965380783,0.5427751204402754,0.557367710933475,0.40344355524218256,0.4353474278438765,0.3992300836405068,0.30828563277360943,0.4089622613148509,0.36000274288368095,0.2874922797921853,0.3925108178151242,0.48233022519764046,0.42545665120823317,0.35141432928211835,0.3892210167081871,0.21080465377327073,0.20771179716555466,0.4062812603060203,0.26591263611195026,0.27624282927011157,0.3014199976493067,0.2410172525411689,0.3447690699549394,0.40561060824216,0.46416308740790413,0.4418219317455795,0.5618582181179035,0.3195978007379815,0.44001994428434055,0.40732280728418335,0.42577430996806076,0.42919051637090766,0.3658089956898508,0.24173530710140334,0.28971643050306917,0.44879153821185414,0.3931583911245904,0.28867197146630597,0.23753055333336648,0.24191932289532014,0.2484747333089643,0.4731763199244735,0.45402035868772217,0.26149660953477816,0.2590386410135944,0.31845900744663047,0.17997950748849945,0.341410944412637,0.428127445327964,0.36708797352107847,0.2527770330412,0.2889401006395794,0.3779972570548643
ACHN,0.5282345315495341,0.49626515067058785,0.4686347516724445,0.9999999999999999,0.3491130031027523,0.645771912016683,0.1765175794338134,0.24788463586300225,0.46204477698683244,0.43148758703865375,0.2985052029232991,0.41508324373279026,0.35442265902929315,0.23310010765000688,0.46172167352741966,0.4442951649537066,0.3442524663796863,0.338662253185284,0.4459278032907814,0.2979974254779182,0.24850214648669022,0.42172834055526887,0.25265587990498695,0.24952330752163854,0.2947397168885978,0.3015149272200256,0.2877112487682265,0.2993000593504834,0.1795101510493866,0.45671742560770257,0.4880351055939699,0.3969941607881804,0.32009042480302696,0.36502748264620566,0.2990384261333753,0.40646745902363013,0.426100768875012,0.4179809756738858,0.47980628451036456,0.3763017010847034,0.2094953697956583,0.4777283918811994,0.3900215829445828,0.42733160969897577,0.38059545495513936,0.2588689353744942,0.2526748057725181,0.23270672442015394,0.4543052001544374,0.48225426838248575,0.27755545343655363,0.3098826372553961,0.22920765582705838,0.15327577108823864,0.2885025774331922,0.6392447070621999,0.4087589186869237,0.236734761953855,0.2755154759104239,0.6131651943951969
BT_549,0.3166523918527081,0.3524408080838296,0.28149620830311817,0.3491130031027523,0.9999999999999999,0.4124045557831798,0.11558792765280079,0.12539466982762992,0.3525302735876469,0.3347025460357028,0.22163507135333138,0.24748261297150143,0.2466186257329831,0.14827689988960735,0.3653718871555762,0.38782951672500043,0.4672741871390489,0.21724887619238253,0.25701568885130743,0.20023120776159498,0.1744781698449578,0.3918916844523129,0.25646306089208715,0.22843261481940846,0.1944366242728326,0.158163360217485,0.2888566097995632,0.3444899500524887,0.09585665050790815,0.34532535791910146,0.42036505077614617,0.3962718334593116,0.20709117157076806,0.3208373024084745,0.2541187879522554,0.26459398070209894,0.27491838804153546,0.25792178260806786,0.3855920684330285,0.32942347487432966,0.20726234875355998,0.4105206668399657,0.33374292529778293,0.43886510320662886,0.44510622086813434,0.22421223167563875,0.2388174617994212,0.21055802264651824,0.3031224719593897,0.395644918518374,0.3704002619719673,0.4027632718987326,0.18998783924726648,0.018817241614443703,0.1793654362520939,0.3440289416412059,0.3359755040004534,0.2106322474816592,0.27975332259609065,0.32564724966139236
CAKI_1,0.5886520330521716,0.5938770598894219,0.5106400152148817,0.645771912016683,0.4124045557831798,0.9999999999999999,0.1701551648517825,0.24311454232499474,0.48279382425975037,0.4962139393453451,0.30947752223490765,0.3865807155309062,0.36936337613588976,0.23758832999594426,0.5658947284186943,0.5117209515345952,0.42323481320315803,0.32190829302717705,0.4978310377053673,0.3071932034050051,0.28198118136489003,0.4837116077429122,0.2575023596578907,0.2758719375295282,0.2901216071320093,0.3022653682718298,0.33454388479772645,0.3336373825125617,0.1743780166749509,0.46474973590217217,0.47843647644264364,0.4686561136967621,0.3637556063955374,0.384711890462062,0.2885663553143285,0.4413774052634032,0.46165892740498093,0.4028521809952271,0.5193615652146414,0.4506419796779535,0.21668558721597486,0.5661716188833193,0.43844602178589975,0.49824731185427984,0.4720208943642956,0.30171322891097885,0.27153439557158676,0.23331948921757073,0.5659276361077459,0.5553907593405176,0.32435503933626497,0.380276167380284,0.2474604392936911,0.14500375605051186,0.2770527978246605,0.6155618359103135,0.45800433387328576,0.2533066505958952,0.320891822425461,0.6506495973523981
CCRF_CEM,0.13427644932214333,0.10448020661855617,0.19174137552675252,0.1765175794338134,0.11558792765280079,0.1701551648517825,0.9999999999999999,0.19415153863287604,0.15490866081782495,0.12249665509611263,0.165420066267165,0.2487286587532016,0.2033646256272149,0.4823427143504251,0.15427362304038073,0.1586205642036168,0.0663824046324355,0.1975695600507128,0.21617429701227164,0.20828014153965868,0.3560140466048284,0.22792352958618367,0.1242267046486275,0.12217130327321957,0.21280552903118422,0.18872814930112825,0.18071289250179268,0.17150980387842285,0.673683607434694,0.2614963162137207,0.16348696911316007,0.20892163278918974,0.12178804288627265,0.17901458639785928,0.2483444573406809,0.1682868489262369,0.16364268660876147,0.1831813627698613,0.1965133698468603,0.12460903421858738,0.3404908349709067,0.10218773172140116,0.2019666975388107,0.20081459793652057,0.10912883985882416,0.12047284793882773,0.13619209778069907,0.12500877563288526,0.1507056755613848,0.22632469242622444,0.07818884830839079,0.1034563025354005,0.3619187661688029,0.17728774760832655,0.1738523058260002,0.16746529768980134,0.15912580690815648,0.20749184499590545,0.16991143821802035,0.1209458913309629
COLO205,0.19872173135196003,0.2476066747174014,0.3931488965380783,0.24788463586300225,0.12539466982762992,0.24311454232499474,0.19415153863287604,0.9999999999999999,0.3116690131925268,0.2642352885330025,0.5656132682017951,0.3806127997550418,0.4514336576371333,0.2908551190794175,0.19847772554504506,0.2090520591986127,0.08881359664869526,0.5954445561015713,0.3234094617607619,0.6123942576452651,0.2916013593682927,0.22730457617190225,0.1550450225108645,0.12209659038383858,0.3986001450701201,0.15026773496045365,0.1819741267168139,0.2139105514224764,0.2252182972580512,0.17162083073031686,0.19511449265583858,0.24929295627130155,0.38347979253095854,0.2822684992884228,0.16244520222680692,0.33459844277306605,0.3322646733403837,0.3073898454383923,0.22817759274727567,0.24412641370087995,0.2588117726638336,0.1114271067713608,0.23338582549504217,0.18282973784826861,0.10602906865251804,0.14157044203119507,0.15345991042150875,0.17607153727303515,0.29242019888608894,0.2314249618865799,0.1008879939927449,0.10532431150359511,0.3198347800717867,0.19919381132474234,0.3366169707193454,0.25230118781426036,0.1782339984326401,0.1733736486291808,0.15637902998656228,0.17917929259000487
DU_145,0.43331593587093786,0.4111557366206382,0.5427751204402754,0.46204477698683244,0.3525302735876469,0.48279382425975037,0.15490866081782495,0.3116690131925268,0.9999999999999999,0.492414100168867,0.3838200074930198,0.43511356259839895,0.46338931630923486,0.24058899083943974,0.49896368858600626,0.465951437712402,0.30701297336732225,0.38002641319591,0.46015313533813884,0.38200056291118,0.3336052474972925,0.40240926260282406,0.22240415669195546,0.22652778009832286,0.38747670696240644,0.21311027987939624,0.28439823766928274,0.2963678223430889,0.1758732846736073,0.4208512152131657,0.378484148745046,0.519695727766485,0.4669286047179184,0.42697358546489195,0.2865706230363423,0.4730358014521129,0.4469857929423191,0.3721722372455196,0.564656301736469,0.4182034923861142,0.23473825211476107,0.32579064499526966,0.408547274650513,0.3736602666406794,0.3382612531910216,0.2758304188971763,0.24135210595619006,0.22667724257087996,0.4791210206174872,0.512530959552711,0.2522357520140076,0.2711693925204437,0.29629940316078185,0.09754172987604404,0.38291097511310546,0.4978133211870227,0.34250062077389387,0.22875045910619385,0.26074428875601485,0.4337729312325803
EKVX,0.38619431204133914,0.40017326332921077,0.557367710933475,0.43148758703865375,0.3347025460357028,0.4962139393453451,0.12249665509611263,0.2642352885330025,0.492414100168867,0.9999999999999999,0.36472712369653504,0.37152657503727093,0.4007972890624866,0.18224730861912042,0.4533950142971528,0.4036561150067237,0.31842030982914704,0.3249432527223822,0.4279137520557993,0.32915607173960404,0.26820643786237985,0.35550583592771656,0.1968891041475448,0.23310998660730786,0.32926643924968124,0.215846611275736,0.29621059434276764,0.28760822241282613,0.09662293810455275,0.3848574657667543,0.35379344127369194,0.5423609223470994,0.4231220208751596,0.38807364841467795,0.2998372058412425,0.4065639321505863,0.4471004050322659,0.3794533438967328,0.4424500505150686,0.41771766361328655,0.1798315408704575,0.3832977231152942,0.33187683852472616,0.3864810689333098,0.3555680853818086,0.2447898908446713,0.22980418111134926,0.20150845098253933,0.46525657188931147,0.41526057381065085,0.27376776174447803,0.29902547897953147,0.2042894668345231,0.10591378814052432,0.32439643683047537,0.45571965042145557,0.3704547056623373,0.22625807855775215,0.2790852324719967,0.46215491131480835
