,786_0,A498,A549,ACHN,BT_549,CAKI_1,CCRF_CEM,COLO205,DU_145,EKVX,HCC_2998,HCT_116,HCT_15,HL_60,HOP_62,HOP_92,HS578T,HT29,IGROV1,KM12,K_562,LOXIMVI,M14,MALME_3M,MCF7,MDA_MB_231,MDA_MB_435,MDA_N,MOLT_4,NCI_ADR_RES,NCI_H226,NCI_H23,NCI_H322M,NCI_H460,NCI_H522,OVCAR_3,OVCAR_4,OVCAR_5,OVCAR_8,PC_3,RPMI_8226,RXF_393,SF_268,SF_295,SK_MEL_2,SK_MEL_28,SK_MEL_5,SK_OV_3,SN12C,SNB_19,SNB_75,SR,SW_620,T47D,TK_10,U251,UACC_257,UACC_62,UO_31
740,1.0,0.0,,1.0,0.0,,1.0,,,,,1.0,1.0,,,0.0,,,0.0,,,1.0,,,1.0,,,1.0,,,0.0,,,1.0,,0.0,,0.0,,,,0.0,,,,,,0.0,,,,,1.0,,,,,,
752,,0.0,,,0.0,,1.0,,,0.0,,1.0,,,,0.0,0.0,,,,1.0,1.0,,,,0.0,,,1.0,,0.0,,0.0,1.0,,,,0.0,,,,,,,,,,,,0.0,0.0,1.0,,0.0,0.0,,,,
755,,0.0,,,0.0,,,,,0.0,,1.0,1.0,,,0.0,0.0,1.0,,,1.0,1.0,1.0,,1.0,,1.0,,,,0.0,,,,,,0.0,0.0,1.0,,,0.0,,,0.0,,,,,,0.0,,,,,,,1.0,
757,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,1.0,,,,,,,,1.0,0.0,0.0,,,,,0.0,,,0.0,,0.0,,0.0,,,1.0,0.0,,,0.0,0.0,
762,,,,1.0,,,1.0,,,,,,,1.0,0.0,,0.0,,,,,,,,,0.0,,,,,0.0,,,1.0,1.0,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,
1390,,0.0,,,,1.0,,,,0.0,,,1.0,,,,,,,,,1.0,,0.0,,0.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,0.0,0.0,,1.0,,,0.0,,,,0.0,,0.0,1.0,
1895,1.0,,,1.0,,,,,,,,,,1.0,,0.0,,,,,,,,,1.0,,,,,,,,,1.0,0.0,,,,,,,,,1.0,0.0,,,0.0,,0.0,,,,,,,,,
3053,,,,,,0.0,0.0,,,,,1.0,,,0.0,0.0,,1.0,,,1.0,1.0,,,,,1.0,,1.0,0.0,,,,1.0,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,0.0,,,,
3061,,,,,,,,,,0.0,,,1.0,,,0.0,,,,,1.0,,,,,1.0,,,,,0.0,,,1.0,,0.0,0.0,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,
3088,1.0,0.0,,1.0,,,1.0,,,0.0,,,,1.0,,,0.0,,,,,1.0,,,,0.0,,,1.0,,0.0,,0.0,1.0,,,,,,,,,,,0.0,,,0.0,,,,1.0,,,0.0,,,1.0,
6396,1.0,,,1.0,0.0,,1.0,,,0.0,,,,1.0,,,0.0,,,,,1.0,,,1.0,0.0,,,1.0,,,,,1.0,,,,,,0.0,0.0,,,,,,,,,0.0,,1.0,,0.0,0.0,,,1.0,
8806,,0.0,,1.0,,,1.0,,,,0.0,,,1.0,,,,,,,,1.0,,,1.0,,,,1.0,,0.0,,0.0,1.0,,,,0.0,,,,,,,,,,,,0.0,,1.0,,,0.0,,,,
9706,1.0,,,1.0,0.0,,1.0,,,0.0,,,,1.0,,0.0,0.0,,,,,1.0,,,,0.0,,,1.0,,,,,1.0,,,0.0,,,,,,,,,,,,,,,1.0,,0.0,0.0,,,1.0,
12198,,,1.0,,,0.0,,,,,,1.0,,1.0,,0.0,,,0.0,,1.0,,,0.0,,,,,,,,,,1.0,,,,,,,1.0,,0.0,,,0.0,1.0,,,,,1.0,,,,,,1.0,
14229,,0.0,,,0.0,,,,0.0,0.0,,1.0,,,0.0,,0.0,1.0,,,1.0,1.0,,,,0.0,,,1.0,,0.0,,,1.0,,0.0,,,,,,,,1.0,,,,0.0,,0.0,,1.0,1.0,,0.0,,,,
19893,,,1.0,1.0,0.0,,,,,0.0,,1.0,1.0,,,0.0,0.0,1.0,,,1.0,1.0,,0.0,1.0,0.0,,,1.0,,,,,1.0,,,0.0,,,,,,,,0.0,,1.0,0.0,,,0.0,1.0,,0.0,0.0,,0.0,,
23162,,,,,,,,,,1.0,0.0,,,1.0,,0.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,1.0,0.0,,,0.0,1.0,,,,1.0,0.0,1.0,
23759,,,,,,0.0,,1.0,,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,,,,,,0.0,1.0,,,0.0,1.0,,0.0,,0.0,,,,,0.0,,,,,,,,,1.0,0.0,,0.0,,,,,,,,,0.0
24559,,,,,,,,,,0.0,,1.0,,,,0.0,,0.0,0.0,1.0,1.0,,,,0.0,,,1.0,,0.0,,,,1.0,,,,0.0,0.0,,,,,,1.0,1.0,,,0.0,,,,,,0.0,,0.0,1.0,
25154,,,,1.0,,,1.0,,,,,,,1.0,,0.0,0.0,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,0.0,,,,0.0,,,,,,,1.0,,0.0,0.0,,,1.0,0.0
26271,,,0.0,,,,,,,,,,,,,,,1.0,0.0,1.0,1.0,,,,,,,,,,,,1.0,,0.0,,,,,0.0,,0.0,1.0,,0.0,,,0.0,0.0,,1.0,,,,,0.0,,0.0,
26980,,,1.0,1.0,0.0,,1.0,,1.0,0.0,,,,1.0,,0.0,0.0,,,,,1.0,,,1.0,0.0,,,,0.0,,1.0,,1.0,,,,0.0,,0.0,0.0,,,,,,1.0,,,,,1.0,,0.0,0.0,,,1.0,
27640,,,,,,,,,,,,1.0,,,,,0.0,1.0,,,1.0,1.0,1.0,0.0,1.0,,,,,,0.0,,,1.0,,,,,,,,,,,,,1.0,0.0,,,0.0,,,,,,0.0,1.0,
32065,1.0,0.0,,1.0,0.0,,1.0,,,,,,,1.0,,0.0,,,,,,,,,,1.0,0.0,0.0,1.0,,0.0,,0.0,1.0,,0.0,0.0,,,,,,,,,0.0,,0.0,,,,1.0,,,,,,,
32982,1.0,0.0,,,,,1.0,,,0.0,,1.0,1.0,,,,,,,,1.0,1.0,,,1.0,0.0,1.0,1.0,,0.0,0.0,,0.0,,,,,0.0,,,1.0,,,,0.0,,,,,,,1.0,,0.0,0.0,,,,
33410,,,,0.0,,,1.0,1.0,,0.0,,,,,,0.0,,,0.0,,,,,,,,1.0,1.0,,,,,0.0,,,,0.0,0.0,,,0.0,0.0,,,,0.0,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0
34462,1.0,,,1.0,,,1.0,,,0.0,,,,1.0,,,0.0,,,,,,,,,,,,1.0,,0.0,,0.0,1.0,,,,0.0,,,,,,,,,,,,,,1.0,,,0.0,,,,
34521,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
36405,,0.0,,,,,1.0,,,,,,0.0,1.0,,,,,,,,,,,,,,,1.0,,,,0.0,,,,,0.0,,,,,,,,,,,,,,1.0,1.0,,,,,,
38721,,0.0,,,,,,,1.0,0.0,,1.0,,0.0,0.0,,0.0,1.0,,,,,,,,,1.0,1.0,,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,,,
45388,0.0,0.0,0.0,,0.0,,1.0,,,,,1.0,,1.0,,,0.0,,,,1.0,1.0,1.0,,,0.0,,,1.0,,,,,,,,,0.0,,,,,,,1.0,,,,,0.0,,1.0,1.0,,0.0,,,,
49842,1.0,0.0,1.0,0.0,,,1.0,,,0.0,,1.0,,1.0,0.0,0.0,,1.0,,1.0,1.0,1.0,,0.0,,,,,,,0.0,,0.0,,,,0.0,,1.0,,,,,1.0,,,1.0,,0.0,,,1.0,1.0,,0.0,,0.0,,
51143,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,0.0,,1.0,,,,,0.0,,,,,0.0,,0.0,,1.0,,,,,,,,,,0.0,0.0,,,,,,0.0,,
56410,0.0,,,1.0,,,,,1.0,0.0,,,,1.0,,0.0,0.0,,,,,1.0,,,1.0,0.0,,,1.0,0.0,0.0,,,1.0,,,,0.0,,,,,,,,,1.0,,,,,1.0,,0.0,0.0,,,1.0,
59687,,,,,1.0,,,1.0,,,0.0,,,,,,1.0,,,,,,,0.0,1.0,,,,,1.0,0.0,,,,,1.0,1.0,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,
63878,1.0,,,1.0,,,1.0,,,1.0,0.0,1.0,,1.0,,,,0.0,,,,1.0,1.0,0.0,,,0.0,,1.0,,,,0.0,1.0,,,0.0,,,1.0,0.0,1.0,,,,,,,,0.0,,,,,,,,,
63984,,,,,,,,,,,,1.0,1.0,,,,,,0.0,1.0,1.0,,,,1.0,,,,,,0.0,,,,,,,,1.0,1.0,,0.0,,,,,,,,,0.0,,,,,,,,
67574,,0.0,,,,,,,,0.0,,,,1.0,,,,1.0,,,1.0,1.0,,,,,,1.0,,,,,,,0.0,,0.0,0.0,,,,,,,,0.0,1.0,,,,,1.0,1.0,0.0,,,0.0,,0.0
71261,1.0,0.0,,,,0.0,1.0,,,,,1.0,,,0.0,,0.0,,,,,1.0,1.0,0.0,,,,,,,0.0,,0.0,,,,,,,,1.0,,,,,,,,,0.0,0.0,1.0,,0.0,,0.0,,,0.0
71423,,,,,0.0,,,,,,,,0.0,1.0,,,,,,,1.0,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,1.0,,,
71795,,0.0,,,,,,,,,0.0,1.0,1.0,,0.0,0.0,,,,,1.0,,,,,0.0,,,1.0,,0.0,,,1.0,,,,0.0,,0.0,,,,,0.0,,,0.0,,,,,1.0,1.0,,,0.0,,0.0
71851,,,,,0.0,,1.0,,,,,1.0,,,,0.0,0.0,,,,1.0,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,1.0,0.0,0.0,0.0,1.0,,0.0,,,0.0,,
73754,,0.0,,,,,1.0,,0.0,,,,,1.0,,,0.0,,,,,,,,,0.0,,,1.0,,0.0,,,1.0,,,,0.0,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,0.0
77213,0.0,,,,,,1.0,,,1.0,1.0,,,,,,,,0.0,,1.0,,,,,,,0.0,,,,0.0,0.0,0.0,,,,1.0,,,1.0,,,,,,1.0,,0.0,0.0,,,,,,1.0,,,0.0
79037,1.0,0.0,,,,,1.0,,,0.0,,,1.0,1.0,0.0,,0.0,,,,1.0,1.0,,,,,1.0,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,0.0,,,,1.0,1.0,,0.0,,,1.0,0.0
82151,1.0,,,1.0,,,1.0,,1.0,,,1.0,0.0,,1.0,,,,0.0,,1.0,,1.0,,,,1.0,1.0,,0.0,0.0,,0.0,,,,,,,1.0,,,,,,,,,,0.0,,0.0,,,0.0,1.0,0.0,,
83142,,0.0,,,,,1.0,,,0.0,,1.0,0.0,1.0,,0.0,0.0,,,,1.0,1.0,,,1.0,,,,1.0,0.0,,,,1.0,,,,0.0,,,,,,,,,,0.0,,,,1.0,,,0.0,1.0,,,0.0
83265,,0.0,,0.0,,0.0,1.0,,,,,1.0,,1.0,,0.0,0.0,,,,1.0,,,0.0,,,,,,,0.0,,,1.0,,,0.0,0.0,,,,,,,,0.0,,,,,0.0,,,0.0,0.0,,,,0.0
85998,,1.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,1.0,,,1.0,,1.0,1.0,,1.0,,,,,,1.0,,,,,,,1.0,0.0,1.0,,0.0,,,
87877,,,,,,,1.0,,,,,,0.0,1.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
88536,,0.0,,,,0.0,1.0,1.0,,,,,,1.0,,0.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,1.0,,,0.0,0.0,,,,,,,,
89201,,,,,0.0,,1.0,0.0,,,,,1.0,,,0.0,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,0.0,,,
90636,,0.0,,,0.0,,,1.0,1.0,0.0,,,,1.0,,0.0,,,,,1.0,,,0.0,,,1.0,,,,,,,,1.0,1.0,0.0,,,,,,,,,0.0,1.0,,,,0.0,,,,0.0,,0.0,,
94600,,,,1.0,,,1.0,0.0,1.0,0.0,,1.0,,1.0,0.0,0.0,,,,,,,,0.0,1.0,0.0,,,1.0,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,,,0.0,,,0.0,1.0,,1.0,
