,NSC,NAME,FDA_STATUS,MOA,PUBCHEM_ID,SMILES,TOTAL_EXPS,TOTAL_EXPS_AFTER_QC
0,1,tolylquinone,,,,CC1=CC(=O)C=CC1=O,3,2
1,17,4-AMINO-3-PENTADECYLPHENOL,,,219123.0,CCCCCCCCCCCCCCCc1cc(O)ccc1N,3,3
2,89,(dimethylamino)propiophenone hydrochloride,,,,CN(C)CCC(=O)c1ccccc1,3,2
3,185,Cactinomycin,,,,C[C@H]1C[C@H](C)C(=O)[C@@H](C1)[C@H](O)CC2CC(=O)NC(=O)C2,2,1
4,295,2-Phenylbutyric Acid,,,4775.0,OC(=O)CCCc1ccccc1,2,1
5,353,CHLORO-9-[[3-(DIETHYLAMINO)PROPYL]AMINO]-2-METHOXYACRIDI...,,,24180741.0,CCN(CC)CCCNc1c2ccc(Cl)cc2nc3ccc(OC)cc13,1,1
6,384,"7-CHLORO-9-[[3-(DIPENTYLAMINO)PROPYL]AMINO]-1,2,3,4-TETR...",,,54599265.0,CCCCCN(CCCCC)CCCNc1c2CCCCc2nc3ccc(Cl)cc13,1,1
7,534,ACETOXYPHENANTHRYLMERCURY,,,16685698.0,[R][Hg]OC(=O)C.c1ccc2c(c1)ccc3ccccc23,2,2
8,596,"3-BROMO-2,4,6-TRINITROTOLUENE",,,219376.0,Cc1c(cc(c(Br)c1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1,1
9,629,Bioxiran,,,11254.0,C1OC1C2CO2,1,1
10,721,isatin thiosemicarbazone,,,690109.0,NC(=S)N\N=C\1/C(=O)Nc2ccccc12,2,1
11,739,AMINOPTERIN,,DHFR,,Nc1nc(N)c2nc(CNc3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)O)cnc2n1,2,2
12,740,METHOTREXATE,FDA approved,Df|DHFR,126941.0,CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,135,76
13,742,azaserin,,,460129.0,NC(COC(=O)C=[N+]=[N-])C(=O)O,5,2
14,749,8-Azaguanine,,,,NC1=NC(=O)c2[nH]nnc2N1,4,4
15,752,6-THIOGUANINE,FDA approved,Ds|IMPDH2|IMPDH,,NC1=NC(=S)c2[nH]cnc2N1,130,113
16,755,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,,S=C1N=CNc2nc[nH]c12,127,97
17,757,Colchicine,FDA approved,TUBB,,COC1=CC=C2C(=CC1=O)[C@H](CCc3cc(OC)c(OC)c(OC)c23)NC(=O)C,14,7
18,762,Nitrogen mustard,FDA approved,A7|AlkAg,,CN(CCCl)CCCl,54,48
19,798,3-PHENYL-1-(2-PYRIDYL)-2-PROPEN-1-ONE,,,,O=C(\C=C\c1ccccc1)c2ccccn2,1,1
20,830,4-Pyridineacrylic acid,,,736782.0,OC(=O)\C=C\c1ccncc1,1,1
21,885,"3,3'-DIAMINO-4,4'-BIS(DIMETHYLAMINO)BENZOPHENONE",,,,CN(C)c1ccc(cc1N)C(=O)c2ccc(N(C)C)c(N)c2,3,2
22,1010,7-[.ALPHA.-(P-NITROANILINO)BENZYL]-8-QUINOLINOL,,,219563.0,Oc1c(ccc2cccnc12)C(Nc3ccc(cc3)[N+](=O)[O-])c4ccccc4,2,1
23,1011,P-[[.ALPHA.-(8-HYDROXY-7-QUINOLYL)BENZYL]AMINO]BENZOIC ACID,,,219564.0,OC(=O)c1ccc(NC(c2ccccc2)c3ccc4cccnc4c3O)cc1,2,2
24,1012,wln: t66 bnj iyr&mr bvq& jq,,,95307.0,OC(=O)c1ccccc1NC(c2ccccc2)c3ccc4cccnc4c3O,2,1
25,1013,7-(.ALPHA.-ANILINO-P-NITROBENZYL)-8-QUINOLINOL,,,219565.0,Oc1c(ccc2cccnc12)C(Nc3ccccc3)c4ccc(cc4)[N+](=O)[O-],2,2
26,1014,7-[.ALPHA.-[(4-METHYL-2-PYRIDYL)AMINO]BENZYL]-8-QUINOLINOL,,,219566.0,Cc1ccnc(NC(c2ccccc2)c3ccc4cccnc4c3O)c1,1,1
27,1026,acpc,,,2901.0,NC1(CCCC1)C(=O)O,5,2
28,1027,"1,1,3-TRIBROMO-3-METHYL-2-BUTANONE",,,219573.0,CC(C)(Br)C(=O)C(Br)Br,3,2
29,1063,6-CHLORO-2-METHOXY-9-[(5-PIPERIDINOPENTYL)AMINO]ACRIDINE,,,219600.0,COc1ccc2nc3cc(Cl)ccc3c(NCCCCCN4CCCCC4)c2c1,1,1
30,1199,"2-(ISOBORNYLOXY)-1,1-DIMETHYLETHYLAMINE",,,219648.0,CC(C)(N)CO[C@H]1C[C@H]2CC[C@@]1(C)C2(C)C,1,1
31,1338,N-DECYL-2-IODOACETAMIDE,,,219690.0,CCCCCCCCCCNC(=O)CI,2,2
32,1390,Allopurinol,FDA approved,AM|XDH,,O=C1NC=Nc2[nH]ncc12,4,2
33,1393,Pyrazoloadenine,,,75420.0,Nc1ncnc2[nH]ncc12,2,2
34,1433,"4-(BUTYLAMINO)-1-PHENYL-1H-PYRAZOLO[3,4-D]PYRIMIDINE",,,219760.0,CCCCNc1ncnc2c1cnn2c3ccccc3,2,2
35,1460,tryptazan,,,95318.0,NC(Cc1n[nH]c2ccccc12)C(=O)O,1,1
36,1482,2-(2-METHYL-2-NITROPROPOXY)BORNANE,,,,CC(C)(CO[C@H]1C[C@H]2CC[C@@]1(C)C2(C)C)[N+](=O)[O-],1,1
37,1507,"2-CHLORO-3-PHENOXY-1,4-NAPHTHOQUINONE",,,219799.0,ClC1=C(Oc2ccccc2)C(=O)c3ccccc3C1=O,2,1
38,1760,"3-PHENANTHRENEPROPIONIC ACID, HYDRAZIDE",,,219939.0,NNC(=O)CCc1ccc2ccc3ccccc3c2c1,1,1
39,1771,Thiram,,,,CN(C)C(=S)SSC(=S)N(C)C,2,2
40,1797,o-Aminoazotoluene,,,,Cc1ccccc1N=Nc2ccc(N)c(C)c2,1,1
41,1895,GUANAZOLE,,A7,15078.0,Nc1n[nH]c(N)n1,10,2
42,1906,pmp (van),,,,SC(=S)N1CCCCC1,4,2
43,1910,Alkarsodyl,,,,C[As](=O)(C)O,2,1
44,1945,"GLUCONIC ACID, BARIUM SALT",,,5351603.0,OCC(O)C(O)C(O)C(O)C(=O)O,1,1
45,2012,1-DODECYL-4-NONYLPYRIDINIUM CHLORIDE,,,24180869.0,CCCCCCCCCCCC[n+]1ccc(CCCCCCCCC)cc1,1,1
46,2013,declid,,,,OC(=O)CCCCCCCCC=C,5,2
47,2039,oxin,,,,Oc1cccc2cccnc12,1,1
48,2053,TRIS(4-BIPHENYLYL)METHANOL,,,219999.0,OC(c1ccc(cc1)c2ccccc2)(c3ccc(cc3)c4ccccc4)c5ccc(cc5)c6ccccc6,1,1
49,2061,3-(2-furyl)acrolein,,,,O=C\C=C\c1occc1,1,1
50,2186,thymophthalein,,,31316.0,CC(C)c1cc(c(C)cc1O)C2(OC(=O)c3ccccc23)c4cc(C(C)C)c(O)cc4C,2,1
51,2384,"2,6-dibenzylidenecyclohexanone",,,,O=C1\C(=C\c2ccccc2)\CCC/C/1=C\c3ccccc3,4,2
52,2604,D.b.t.c.,,,12688.0,CCCC[Sn](Cl)(Cl)CCCC,2,1
53,2626,Propyl Gallate,,,4947.0,CCCOC(=O)c1cc(O)c(O)c(O)c1,1,1
54,2724,phenyl p-tolyl sulfone,,,,Cc1ccc(cc1)S(=O)(=O)c2ccccc2,1,1
55,2755,avlon,,,,C[n+]1c2cc(N)ccc2cc3ccc(N)cc13,2,2
56,2785,QAICTYKDANKDKI-UHFFFAOYSA-N,,,135399288.0,COc1cc(c2ncccc2c1O)[N+](=O)[O-],1,1
57,2805,"2,2',5,5'-Tetrahydroxy-4,4'-dimethylbiphenyl",,,220284.0,Cc1cc(O)c(cc1O)c2cc(O)c(C)cc2O,2,2
58,2829,vetol,,,,CC1=C(O)C(=O)C=CO1,1,1
59,3039,SODIUM PHENYLACETATE,,,,[Na+].OC(=O)Cc1ccccc1,1,1
60,3053,Actinomycin D,FDA approved,Db,,CC(C)[C@H]1NC(=O)[C@@H](NC(=O)C2=C(N)C(=O)C(=C3Oc4c(C)ccc(C(=O)N[C@H]5[C@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@@H]6CCCN6C(=O)[C@H](NC5=O)C(C)C)c4N=C23)C)[C@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@@H]7CCCN7C1=O,132,92
61,3055,puromycin,,,,COc1ccc(C[C@H](N)C(=O)NC2C(CO)OC(C2O)n3cnc4c(ncnc34)N(C)C)cc1,1,1
62,3060,Potassium arsenite,,,,[K+].O[As]=O,2,1
63,3061,malacid,FDA approved,DHFR,,CCc1nc(N)nc(N)c1c2ccc(Cl)cc2,2,2
64,3062,Etoprine,,,29142.0,CCc1nc(N)nc(N)c1c2ccc(Cl)c(Cl)c2,1,1
65,3073,facid,,,,NC1=NC(=O)c2nc(CNc3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)O)cnc2N1,1,1
66,3074,Chlorazin,,,,CC1(C)N=C(N)N=C(N)N1c2ccc(Cl)cc2,1,1
67,3077,D 54,,,,CC1(C)N=C(N)N=C(N)N1c2ccc(Cl)c(Cl)c2,2,2
68,3080,d 69,,,,CC1(C)N=C(N)N=C(N)N1c2cccc(Cl)c2,1,1
69,3081,,,,,CCCCCCC1N=C(N)N=C(N)N1c2ccc(Cl)cc2,1,1
70,3082,x 49,,,,CC1(C)N=C(N)N=C(N)N1c2cccc(Br)c2,2,2
71,3083,"1-(3-Chlorophenyl)-2-hexyl-2H-1,3,5-triazine-4,6-diamine;hydrochloride",,,24180956.0,CCCCCCC1N=C(N)N=C(N)N1c2cccc(Cl)c2,2,2
72,3088,Chlorambucil,FDA approved,A7|AlkAg,,OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl,130,102
73,3090,badil,FDA approved,,,CN(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccc(cc3)N(C)C,1,1
74,3091,Methyl green,,,,[Cl-].[Br-].CC[N+](C)(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccc(cc3)N(C)C,1,1
75,3093,crude pyronine b,,,,CCN(CC)c1ccc2C=C3C=CC(=[N+](CC)CC)C=C3Oc2c1.[ClH-][Fe+3]([ClH-])([ClH-])[ClH-],1,1
76,3094,PDMT,,,23654.0,CN(C)N=Nc1ccccc1,1,1
77,3262,"2,5-Bis(ethylamino)hydroquinone",,,94797.0,Oc1cc(N2CC2)c(O)cc1N3CC3,2,2
78,3265,,,,,Clc1ccc(\C=C\c2ccc3ccccc3n2)cc1,2,2
79,3284,wln: t6nj c- bt5ktj a1 a2- at5ktj a1 b- ct6nj &q 2 &i 2,,,,C[N+]1(CC[N+]2(C)CCCC2c3cccnc3)CCCC1c4cccnc4,1,1
80,3298,"Phenol, 2-methoxy-4-(2-nitropropenyl)-",,,,COc1cc(\C=C(\C)/[N+](=O)[O-])ccc1O,1,1
81,3424,quinacrine mustard,,,,COc1ccc2nc3cc(Cl)ccc3c(NC(C)CCCN(CCCl)CCCl)c2c1,2,2
82,3531,clioquinol,,,,Oc1c(I)cc(Cl)c2cccnc12,1,1
83,3618,"4-N-(7-Chloroquinolin-4-yl)-1-N-cyclohexylcyclohexane-1,4-diamine",,,220625.0,Clc1ccc2c(NC3CCC(CC3)NC4CCCCC4)ccnc2c1,1,1
84,3628,,,,,CCN(CC)c1ccc(NC(C(=O)c2ccccc2)c3ccccc3)cc1,1,1
85,3799,AI3-08904,,,6436750.0,[O-][N+](=O)c1cccc(\C=C\C(=O)\C=C\c2cccc(c2)[N+](=O)[O-])c1,1,1
86,3808,"2,4-dinitrobromobenzene",,,11441.0,[O-][N+](=O)c1ccc(Br)c(c1)[N+](=O)[O-],2,2
87,3840,Chloro-(5-chlorothiophen-2-yl)mercury,,,407288.0,Cl[Hg]c1ccc(Cl)s1,2,2
88,3847,1-(5-Bromo-4-nitrothiophen-2-yl)propan-1-one,,,220712.0,CCC(=O)c1cc(c(Br)s1)[N+](=O)[O-],1,1
89,3852,Hydron III,,,19103.0,Oc1ccc(N=O)c2cccnc12,2,2
90,3877,,,,,c1cc[n+](cc1)C2c3ccccc3C(c4ccccc24)[n+]5ccccc5,2,2
91,3905,tripyridyl,,,,c1ccc(nc1)c2cccc(n2)c3ccccn3,1,1
92,3907,"Benzoic acid, 2-hydroxy-, compd. with 8-quinolinol (1:1)...",,,142766.0,Oc1cccc2cccnc12,2,2
93,3927,thiolutin,,,6870.0,CN1C(=O)C(=C2SSC=C12)NC(=O)C,2,1
94,3941,,,,,C\C(=C/c1ccc(Cl)c(Cl)c1)\[N+](=O)[O-],1,1
95,3970,pyrod,,,,O=C1NC=CC(=O)N1,5,2
96,4045,auramin,,,,CN(C)c1ccc(cc1)C(=N)c2ccc(cc2)N(C)C,1,1
97,4060,urson,,,64945.0,CC1CCC2(CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC34C)C2C1C)C(=O)O,1,1
98,4112,Fenticlor,,,,Oc1ccc(Cl)cc1Sc2cc(Cl)ccc2O,1,1
99,4114,Morpholine-N-dithiocarbamate,,,72675.0,SC(=S)N1CCOCC1,4,2
100,4170,kipca,,,,CC1=CC(=O)c2ccccc2C1=O,2,1
101,4184,"p,p'-Dihydroxystilbene",,,5282363.0,Oc1ccc(\C=C\c2ccc(O)cc2)cc1,2,2
102,4232,"3-[(2-Oxo-1,2-diphenylethyl)amino]benzoic acid",,,220828.0,OC(=O)c1cccc(NC(C(=O)c2ccccc2)c3ccccc3)c1,1,1
103,4236,4m2o,,,668053.0,CN(C)c1ccc(\C=C\c2ccnc3ccccc23)cc1,2,2
104,4238,2m2m,,,,CN(C)c1ccc(\C=C\c2ccc3ccccc3[n+]2C)cc1,1,1
105,4239,4m2m,,,,CN(C)c1ccc(\C=C\c2cc[n+](C)c3ccccc23)cc1,2,2
106,4265,Phenanthroline hydrochloride,,,,c1cnc2c(c1)ccc3cccnc23,2,2
107,4272,5-methylphenanthroline,,,72791.0,Cc1cc2cccnc2c3ncccc13,1,1
108,4280,neocuproin,,,65237.0,Cc1ccc2ccc3ccc(C)nc3c2n1,2,2
109,4281,"4,7-Dimethyl-o-phenanthroline",,,72792.0,Cc1ccnc2c1ccc3c(C)ccnc23,1,1
110,4285,STK862428,,,14161.0,ClC1=C(Nc2ccccc2)C(=O)c3ccccc3C1=O,1,1
111,4290,1-[2-(4-Nitrophenyl)-2-oxoethyl]-4-pentylpyridin-1-ium bromide,,,24181037.0,CCCCCc1cc[n+](CC(=O)c2ccc(cc2)[N+](=O)[O-])cc1,1,1
112,4291,Masoprocol,FDA approved,,,CC(Cc1ccc(O)c(O)c1)C(C)Cc2ccc(O)c(O)c2,2,2
113,4320,strophanthin,,,,COC1CC(OC2CCC3(C=O)C4CCC5(C)C(CCC5(O)C4CCC3(O)C2)C6=CC(=O)OC6)OC(C)C1OC7OC(CO)C(O)C(O)C7O,3,1
114,4375,Hydroxychloroquine Sulfate,FDA approved,Immunomodulatory,,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,1,1
115,4378,1-[7-Chloro-2-(4-chlorophenyl)quinolin-4-yl]-2-(diethylamino)ethanol;hydrochloride,,,24181064.0,CCN(CC)CC(O)c1cc(nc2cc(Cl)ccc12)c3ccc(Cl)cc3,2,1
116,4432,genacryl pink g,,,6433371.0,CN(CCCl)c1ccc(\C=C\C2=[N+](C)c3ccccc3C2(C)C)cc1,1,1
117,4434,nabor orange r,,,,C[N+]1=C(\C=C\c2c(c3ccccc3)n(C)c4ccccc24)C(C)(C)c5ccccc15,2,2
118,4483,omadine sodium,,,,[O-][n+]1ccccc1S,1,1
119,4512,2-Iodo-3-(phenylsulfonyl)propanenitrile,,,220946.0,IC(CS(=O)(=O)c1ccccc1)C#N,1,1
120,4518,Bis(4-amino-3-bromophenyl)methanone,,,220951.0,Nc1ccc(cc1Br)C(=O)c2ccc(N)c(Br)c2,2,2
121,4582,"(1Z,4E)-1,5-Bis(5-bromo-2-hydroxyphenyl)penta-1,4-dien-3-one",,,54603154.0,Oc1ccc(Br)cc1\C=C\C(=O)\C=C\c2cc(Br)ccc2O,1,1
122,4623,"1H-Imidazole-4,5-dicarboxylic acid, 2-phenyl- (9CI)",,,221007.0,OC(=O)c1nc([nH]c1C(=O)O)c2ccccc2,2,2
123,4644,Betulin,,,,CC(=C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC34C)C12,1,1
124,4681,2-[4-(Carboxymethoxy)phenoxy]acetic acid,,,24181093.0,OC(=O)COc1ccc(OCC(=O)O)cc1,1,1
125,4698,,,,,CC(C)c1cc(SC#N)c(C)cc1O,1,1
126,4722,aloin,FDA approved,,221037.0,OCc1cc(OCC(O)C(O)C(O)C=O)c2C(=O)c3ccccc3C(=O)c2c1,4,1
127,4728,Aminothiadiazole,,,19909.0,Nc1nncs1,10,3
128,4810,,,,,[O-][N+](=O)c1ccc(N\N=C\2/C(=O)Nc3ccccc23)c(c1)[N+](=O)[O-],1,1
129,4844,"N-Benzyl-N,N-dimethylhexadecan-1-aminium hexafluorophosphate",,,24181101.0,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,1,1
130,4857,dedc,,,,[Na+].CCN(CC)C(=S)S,2,1
131,4896,quinalizarin,,,,Oc1ccc2C(=O)c3c(O)ccc(O)c3C(=O)c2c1O,1,1
132,4911,Thioinosine,,,,OCC1OC(C(O)C1O)n2cnc3C(=S)N=CNc23,2,2
133,4962,p-Toluhydroquinol,,,,Cc1cc(O)ccc1O,1,1
134,4972,tbhq,,,16043.0,CC(C)(C)c1cc(O)ccc1O,3,2
135,5006,C.I. 42510 acetate,,,,Cc1cc(ccc1N)C(=C2C=CC(=N)C=C2)c3ccc(N)cc3,1,1
136,5011,Brilliant Green,,,,CCN(CC)c1ccc(cc1)C(=C2C=CC(=[N+](CC)CC)C=C2)c3ccccc3,1,1
137,5019,violet bnp,,,,CCN(CC)c1ccc(cc1)C(=C2C=CC(=[N+](CC)Cc3cccc(c3)S(=O)(=O)O)C=C2)c4ccc(cc4)N(CC)Cc5cccc(c5)S(=O)(=O)O,2,2
