Drug,Cell
682298,PC_3
141549,OVCAR_8
56410,MDA_MB_231
603077,U251
757804,IGROV1
768593,HOP_62
249910,OVCAR_5
681633,U251
719627,HOP_92
606170,UACC_257
79037,OVCAR_8
34462,TK_10
759263,786_0
603074,UACC_62
681643,SF_268
757804,T47D
95678,U251
765396,NCI_H322M
107124,SK_MEL_2
752840,NCI_H322M
768593,786_0
95382,CCRF_CEM
719276,NCI_H460
320846,HOP_62
755880,UO_31
755841,ACHN
164011,SNB_19
736624,SNB_75
320846,KM12
26271,IGROV1
32065,SK_MEL_28
610459,SR
683556,MDA_N
616348,MALME_3M
634724,SK_MEL_5
241240,MDA_MB_231
637037,MDA_MB_435
698037,NCI_ADR_RES
719276,DU_145
71261,UO_31
14229,SW_620
77213,BT_549
784722,MCF7
357704,SN12C
349174,SF_539
105132,M14
603077,ACHN
355644,IGROV1
721517,SNB_19
104800,IGROV1
176323,CAKI_1
279836,MDA_N
337766,NCI_ADR_RES
740521,IGROV1
302991,SK_MEL_2
681635,OVCAR_8
354258,OVCAR_4
34462,BT_549
63878,NCI_H23
736202,HT29
105014,M14
606170,A498
123127,A498
267469,SF_268
296934,COLO205
256927,DU_145
132313,U251
754366,COLO205
681637,SK_OV_3
337766,ACHN
1895,LOXIMVI
281612,COLO205
765396,OVCAR_4
178248,BT_549
32065,ACHN
249910,PC_3
148958,RXF_393
174121,SF_539
627168,COLO205
747856,MALME_3M
266046,M14
683555,OVCAR_5
118994,T47D
698037,HOP_62
164011,OVCAR_8
71851,HOP_92
767125,NCI_H226
1390,UACC_62
269148,UACC_62
122819,UACC_257
683558,SF_268
89201,HCC_2998
134679,DU_145
107392,NCI_H23
328410,SNB_19
1390,HCT_15
623017,HOP_62
256942,SK_OV_3
363812,MCF7
747856,OVCAR_3
736624,RPMI_8226
756660,OVCAR_5
139105,HS578T
95382,NCI_ADR_RES
94600,BT_549
351710,MDA_MB_231
8806,CAKI_1
281612,LOXIMVI
755384,SK_OV_3
6396,NCI_ADR_RES
698037,RXF_393
606170,CCRF_CEM
3088,NCI_H322M
616348,HCT_15
357704,K_562
755841,SK_MEL_5
627168,UO_31
100880,786_0
3088,A498
126771,UACC_257
352122,SNB_19
256439,HOP_62
3053,HCC_2998
95466,NCI_ADR_RES
752,HCT_116
409962,OVCAR_5
95678,SW_620
79037,UACC_62
740645,UACC_62
363812,MDA_MB_231
759857,NCI_ADR_RES
182986,MALME_3M
169780,MOLT_4
791785,HOP_92
758251,OVCAR_4
784722,IGROV1
784722,OVCAR_4
296934,SW_620
320846,A549
627168,CCRF_CEM
735037,UACC_257
639186,HCC_2998
32065,HCT_116
329680,HCT_15
759614,RXF_393
698037,HOP_92
295500,A549
104800,SK_MEL_2
754230,SF_268
758671,CAKI_1
268242,HOP_92
755,SNB_75
610459,PC_3
606869,HL_60
754771,UO_31
768593,SK_MEL_5
118994,HCT_116
759263,MCF7
681639,SN12C
8806,HOP_92
178248,OVCAR_4
89201,OVCAR_8
681645,OVCAR_4
118218,MALME_3M
9706,786_0
344007,K_562
326231,MDA_MB_435
755,BT_549
77213,OVCAR_3
710270,RPMI_8226
105132,CAKI_1
754365,SNB_75
353451,CAKI_1
344007,UO_31
681643,OVCAR_5
754771,COLO205
349174,HCT_116
246131,SF_295
789797,SK_MEL_28
329680,UACC_257
606869,HCT_116
681640,OVCAR_3
256927,EKVX
643833,SN12C
754365,SK_MEL_5
606499,OVCAR_8
702294,PC_3
694501,OVCAR_5
526598,HCC_2998
354258,RXF_393
681634,SK_MEL_28
79037,NCI_H23
725776,NCI_H322M
45388,OVCAR_3
683556,SR
138783,HOP_92
681633,OVCAR_3
656889,NCI_H322M
368390,UACC_257
755985,NCI_H322M
34462,SK_MEL_5
352299,HS578T
267469,A498
122819,HOP_92
683557,ACHN
348948,SF_295
308847,EKVX
606172,HL_60
526598,HOP_92
338947,HCC_2998
740521,SF_268
681646,MDA_MB_231
708298,HS578T
740268,MCF7
249992,NCI_H23
754230,HCT_15
267469,SF_539
757098,SN12C
241240,HS578T
681639,NCI_H522
639186,HOP_62
606869,NCI_ADR_RES
619232,MDA_MB_435
683558,UACC_257
51143,SK_OV_3
163501,MDA_MB_231
320846,K_562
9706,SK_MEL_5
104800,EKVX
683557,BT_549
603076,KM12
354258,SNB_19
681640,MDA_MB_231
118994,SK_OV_3
757098,HOP_62
79037,KM12
697887,SNB_75
141540,BT_549
218321,SK_MEL_2
143095,ACHN
758230,LOXIMVI
755985,NCI_H23
747856,SN12C
762,HL_60
143020,NCI_H226
279836,HL_60
728073,NCI_H322M
603077,SF_295
89201,BT_549
754771,786_0
9706,DU_145
762,SK_MEL_28
246131,HL_60
754366,SW_620
725776,U251
1895,NCI_H322M
757804,MALME_3M
681633,TK_10
176323,SK_MEL_5
267469,NCI_H322M
757348,HS578T
409962,786_0
709237,EKVX
56410,MDA_N
758251,TK_10
702294,HCC_2998
639186,RXF_393
134727,HOP_62
308847,786_0
758251,OVCAR_8
256439,DU_145
709237,SK_OV_3
606499,SW_620
351710,SF_268
34462,HL_60
639174,OVCAR_3
736198,MDA_MB_435
736624,NCI_H23
178248,786_0
71261,OVCAR_4
609699,HOP_62
135758,OVCAR_3
757098,NCI_H522
271674,MDA_MB_231
301739,PC_3
267469,HCT_116
145668,SF_268
366140,OVCAR_8
683556,HOP_62
56410,SK_MEL_2
618939,MDA_MB_435
364830,UO_31
683555,SK_OV_3
