Drug,Cell
Vinorelbine,TE-10
Dinaciclib,EN
Docetaxel_1007,SK-MEL-1
Tanespimycin,IMR-5
PD0325901,SK-MEL-1
JQ1,IST-SL2
Daporinad,SU-DHL-1
Vinorelbine,NCI-H720
Cytarabine,MSTO-211H
Vinorelbine,IMR-5
Talazoparib,ALL-PO
Ulixertinib_1908,SK-CO-1
Trametinib,KYSE-520
Camptothecin,MZ7-mel
Tanespimycin,NCI-H647
BI-2536,BB65-RCC
Tanespimycin,D-423MG
Dinaciclib,MEL-HO
Dactinomycin_1911,TC-71
Schweinfurthin A,HCC2157
Epirubicin,Hs-445
Dactolisib,MDA-MB-468
Cytarabine,SNU-175
Romidepsin,Hs-445
Paclitaxel,NCI-H1105
Dactinomycin_1911,Jurkat
Dactolisib,PCI-4B
Romidepsin,ES8
Dactolisib,KYSE-410
BI-2536,PCI-15A
Docetaxel_1007,L-363
Docetaxel_1819,VCaP
Telomerase Inhibitor IX,GI-1
Uprosertib_1553,SUP-B8
MG-132,IHH-4
Cytarabine,RS4-11
Romidepsin,KMRC-20
Paclitaxel,HCC2998
Dactolisib,BE-13
Dinaciclib,Ca-Ski
MG-132,NCI-H727
Cytarabine,SAS
Buparlisib,NB12
PD0325901,ONS-76
Romidepsin,NOS-1
Docetaxel_1007,PC-3_[JPC-3]
Cisplatin,COR-L279
Dinaciclib,L-363
Topotecan,KP-4
AZD7762,SK-N-AS
Dactinomycin_1911,SBC-5
SN-38,SUIT-2
SN-38,SK-N-SH
AZD5991,SU-DHL-10
Dinaciclib,MOLT-16
Dinaciclib,CAL-33
Dactolisib,L-363
Rapamycin,HCC-44
Sepantronium bromide,DMS-114
Buparlisib,AMO-1
Rapamycin,DoTc2-4510
Daporinad,NCI-H1105
BI-2536,HCT-116
Dactolisib,SK-N-FI
Camptothecin,RPMI-8402
Dinaciclib,SK-LMS-1
Cytarabine,NKM-1
Sepantronium bromide,BFTC-905
BI-2536,DND-41
ABT737,DND-41
Epirubicin,U-266
Camptothecin,SK-MM-2
MG-132,SW1990
Paclitaxel,NCI-H524
Docetaxel_1819,COLO-320-HSR
AZD7762,D-423MG
Paclitaxel,LB647-SCLC
Dactinomycin_1911,SF295
