Drug,Cell
767237,NCI_H522
351710,HOP_92
754348,RPMI_8226
765435,MDA_MB_435
681640,NCI_H23
783916,HS578T
767263,CAKI_1
681638,CAKI_1
733504,OVCAR_8
768068,UO_31
805746,SF_539
756652,SK_MEL_5
767254,SF_539
754344,DU_145
767128,CCRF_CEM
780042,EKVX
623017,U251
758645,K_562
681638,MOLT_4
87877,CCRF_CEM
45388,CCRF_CEM
406042,MOLT_4
767219,HCT_15
767331,COLO205
778448,NCI_ADR_RES
755387,MDA_MB_435
767263,MDA_MB_435
766821,HS578T
781148,MDA_MB_435
126771,MOLT_4
364830,OVCAR_8
95678,UO_31
73754,MOLT_4
728073,NCI_H23
778747,MDA_MB_435
324646,HS578T
780249,SR
767320,SK_MEL_5
793726,NCI_H23
756663,OVCAR_3
780042,SK_MEL_5
783107,A498
767373,COLO205
799348,NCI_H460
797771,SK_MEL_5
369100,COLO205
666608,K_562
724998,NCI_H460
804861,SK_MEL_5
126771,MDA_MB_435
755775,SF_539
722134,CAKI_1
759856,OVCAR_8
736099,SK_MEL_5
758664,HCT_15
702294,NCI_H226
767953,NCI_H460
767291,HCT_15
806388,MOLT_4
758242,UO_31
45388,OVCAR_8
606497,SK_MEL_5
755385,NCI_H460
782164,OVCAR_8
757149,K_562
767317,HOP_92
643833,K_562
767219,K_562
606985,OVCAR_8
256942,NCI_H522
338947,SF_539
758253,RPMI_8226
792996,HOP_92
683863,SK_MEL_5
774830,MDA_MB_231
757444,K_562
351710,NCI_H226
768070,MOLT_4
759174,MDA_MB_435
308847,CCRF_CEM
759224,UO_31
765435,HCT_15
758440,CAKI_1
736624,NCI_ADR_RES
771750,CCRF_CEM
759677,COLO205
783296,NCI_H522
767227,UO_31
758007,NCI_H226
780042,HOP_92
761387,CCRF_CEM
728073,SK_MEL_5
169780,CAKI_1
765672,NCI_H23
764515,SK_MEL_5
733252,NCI_H522
606869,MDA_MB_435
269148,DU_145
786098,SF_539
767261,CAKI_1
767265,A498
706995,NCI_H226
761387,SF_539
774830,RPMI_8226
774829,MDA_MB_231
664404,NCI_H460
673188,MOLT_4
772351,SR
71261,SR
800851,SK_MEL_5
810341,NCI_H522
764515,NCI_H522
781470,COLO205
764481,UO_31
83265,CCRF_CEM
779218,UO_31
784815,EKVX
767259,HS578T
767373,NCI_H522
786099,COLO205
186301,CCRF_CEM
767408,MOLT_4
767254,COLO205
792848,K_562
782121,A498
754348,A498
767244,U251
755983,DU_145
755762,A498
761070,SR
759660,NCI_H460
767897,COLO205
787880,NCI_H460
761387,NCI_H460
782164,CCRF_CEM
19893,HCT_15
767361,HOP_92
755386,HS578T
747974,HCT_15
767228,OVCAR_3
757098,CAKI_1
118994,MOLT_4
606986,NCI_H226
756656,SF_539
756643,SF_539
786098,NCI_H226
794442,RPMI_8226
759155,CCRF_CEM
764135,EKVX
781344,MDA_MB_231
737754,MDA_MB_231
308847,SK_MEL_5
764037,OVCAR_8
806388,MDA_MB_435
754351,MOLT_4
782362,MOLT_4
606869,CAKI_1
802100,NCI_H460
722134,A498
794442,SK_MEL_28
649890,HCT_15
299933,NCI_H522
752840,OVCAR_3
757098,MOLT_4
613327,SF_539
707545,SR
338947,SR
123127,DU_145
736624,U251
809693,UO_31
771532,HS578T
754348,UO_31
308847,DU_145
767337,A498
606497,SF_539
767226,MDA_MB_435
759857,SR
801661,SK_MEL_5
760183,K_562
374028,NCI_ADR_RES
799348,COLO205
759850,CCRF_CEM
767337,HCT_15
736202,NCI_H460
154948,MOLT_4
707389,U251
141549,SF_539
820919,SK_MEL_5
787880,OVCAR_3
758247,HOP_92
761192,NCI_H23
719276,NCI_H522
762,NCI_H522
781516,A498
764580,RPMI_8226
344007,NCI_H460
256439,CCRF_CEM
811429,UO_31
88536,CCRF_CEM
784722,COLO205
145668,SR
733252,OVCAR_8
750690,HCT_15
737754,MDA_MB_435
761068,A498
767398,A498
406042,SK_MEL_5
95466,MOLT_4
776763,HOP_92
767299,K_562
709237,CCRF_CEM
767317,NCI_H460
767189,HOP_92
109724,SF_539
756643,SK_MEL_28
182986,NCI_H460
349174,U251
714597,SF_539
697912,MOLT_4
757348,MDA_MB_231
767247,HS578T
783107,EKVX
767380,MDA_MB_435
781344,OVCAR_3
683863,HCT_15
756877,NCI_H522
681640,MOLT_4
629971,RPMI_8226
765435,K_562
755809,K_562
752782,CAKI_1
768068,SK_MEL_5
733504,HS578T
761387,HS578T
656576,MDA_MB_231
627505,SK_MEL_5
374028,DU_145
761192,CCRF_CEM
755983,U251
758774,COLO205
773265,HCT_15
780249,HOP_92
767364,SF_539
758664,EKVX
224131,RPMI_8226
777639,MOLT_4
777571,SF_539
761192,NCI_H460
782180,CAKI_1
184692,CCRF_CEM
773263,HOP_92
649890,SR
767254,A498
752782,MOLT_4
772887,COLO205
767243,U251
767236,COLO205
736202,UO_31
320846,U251
765435,OVCAR_8
776763,MDA_MB_231
673187,SR
765435,U251
772885,NCI_H23
783249,K_562
761194,UO_31
760183,SR
780019,CAKI_1
681638,DU_145
759857,SK_MEL_5
764037,CCRF_CEM
656576,NCI_H226
63984,NCI_ADR_RES
758662,HS578T
603077,CCRF_CEM
758896,OVCAR_8
95382,UO_31
352122,U251
767197,UO_31
767365,CAKI_1
59814,OVCAR_8
3061,SR
762521,SK_MEL_5
777194,RPMI_8226
782007,SK_MEL_28
767275,SF_539
767128,RPMI_8226
773394,COLO205
702294,SF_539
772991,SF_539
734945,OVCAR_3
764481,K_562
777877,OVCAR_3
787880,SR
767244,HS578T
781008,NCI_H522
767196,A498
810717,HS578T
661746,RPMI_8226
759614,NCI_H23
759856,DU_145
772351,COLO205
123127,NCI_H23
176323,OVCAR_8
787457,UO_31
771532,NCI_H460
781761,COLO205
34462,CAKI_1
767211,HCT_15
737754,RPMI_8226
773394,SR
603071,SR
767409,HS578T
736101,K_562
767952,SR
684363,MDA_MB_231
784817,NCI_H226
767220,HS578T
756641,SF_539
794442,NCI_H226
767265,MDA_MB_231
767373,CAKI_1
758250,NCI_H226
737754,HS578T
767320,RPMI_8226
805746,COLO205
752631,SR
332598,NCI_H23
643833,U251
710297,COLO205
67574,K_562
749227,MDA_MB_435
752,CAKI_1
761188,CAKI_1
683863,NCI_H226
281612,NCI_H522
281612,CCRF_CEM
71795,K_562
754361,SK_MEL_5
755983,MDA_MB_231
751548,NCI_H460
758487,HCT_15
771750,SF_539
764821,HOP_92
758242,K_562
767952,NCI_H460
649890,RPMI_8226
649890,NCI_H23
756877,MOLT_4
757439,HS578T
759174,MOLT_4
759155,SF_539
757098,SF_539
767211,HS578T
767261,SK_MEL_5
767243,SR
734325,CCRF_CEM
758243,A498
681640,UO_31
681643,NCI_H522
808790,A498
755386,NCI_H522
681633,NCI_H226
772887,CCRF_CEM
226080,UO_31
755761,HS578T
759155,NCI_H23
349174,MOLT_4
673187,NCI_H23
767191,CAKI_1
271674,NCI_H460
767191,SK_MEL_5
804861,HS578T
702294,NCI_H460
789969,SK_MEL_28
23759,A498
354646,CAKI_1
616348,NCI_H522
764517,SK_MEL_5
26980,NCI_H23
681637,NCI_H23
791227,HOP_92
767408,NCI_H226
754366,OVCAR_3
767380,A498
755773,A498
757149,SR
332598,HCT_15
767361,SR
752,MDA_MB_435
781627,UO_31
767953,OVCAR_3
767246,K_562
252844,CCRF_CEM
145668,NCI_H522
281612,MOLT_4
759095,A498
767222,HCT_15
271674,COLO205
618939,U251
757149,NCI_H522
783249,NCI_H460
752631,RPMI_8226
684363,NCI_H460
813488,UO_31
755841,SK_MEL_5
613327,SR
759155,U251
109724,OVCAR_3
758664,HOP_92
758243,HOP_92
764134,COLO205
707545,DU_145
755386,U251
767261,NCI_H226
767226,CAKI_1
808792,SF_539
778809,MDA_MB_231
767228,COLO205
332598,SF_539
141549,NCI_H226
782180,NCI_ADR_RES
792996,HS578T
759095,MDA_MB_231
767320,MDA_MB_435
756641,NCI_H522
761069,MDA_MB_231
774829,MDA_MB_435
790865,COLO205
810717,A498
761194,OVCAR_8
787048,RPMI_8226
773094,CCRF_CEM
757348,SR
810341,HS578T
754348,CAKI_1
789797,A498
749226,U251
755387,U251
747974,U251
805746,NCI_H522
810341,CAKI_1
767211,U251
767226,SR
767215,HCT_15
759677,NCI_H226
118994,RPMI_8226
729998,UO_31
767128,SR
683555,SF_539
63984,OVCAR_8
767953,UO_31
623017,HOP_92
271674,OVCAR_8
281612,SK_MEL_28
761068,COLO205
780019,DU_145
