,Number of Datasets,Combination,Cell Line Count,Cell Line List
0,1,CTRP,0,
1,1,GDSC1,379,"451Lu, A388, A427, A431, A4Fuk, A704, ABC1, ALLPO, ARH77, ASH3, ATN1, AsPC1, BALL1, BB30HNC, BB49HNC, BB65RCC, BC1, BE13, BE2M17, BICR10, BICR78, BPH1, BT483, Becker, BxPC3, C2BBe1, C33A, C3A, C4I, CAL39, CAL72, CESS, CHL1, CHP134, CHSA0011, CHSA0108, CHSA8926, COLO320HSR, COLO679, COLO783, COLO824, CORL23, CORL303, CORL311, CORL32, CORL321, CP50MELB, CP66MEL, CPCN, CROAP2, CS1, CTB1, CTV1, Ca922, CaR1, CaSki, Calu3, Calu6, Caov4, ChaGoK1, D247MG, D263MG, D336MG, D392MG, D423MG, D502MG, D542MG, D566MG, DG75, DJM1, DOK, DOV13, DSH1, Daoy, Daudi, Detroit562, DoTc24510, EB2, EB3, EFM19, EMCBAC1, EMCBAC2, ES1, ES4, ES5, ES6, ES7, ES8, ESO26, ESO51, ETK1, EVSAT, EW1, EW11, EW12, EW13, EW16, EW18, EW22, EW24, EW3, EW7, EoL1cell, FLO1, Farage, GAK, GCIY, GIMEN, GMEL, GOTO, GP5d, GRST, H3255, H4, H9, HA7RCC, HAL01, HC1, HCC1187, HCC1599, HCC2157, HCC70, HCE4, HEC1, HEMCSS, HLE, HMVII, HO1N1, HO1u1, HSC39, HT3, HTCC3, HeLa, Hey, Hs445, Hs578T, HuCCT1, HuH7, HuO3N1, HuO9, HuPT3, HuPT4, IHH4, IM9, IMR5, ISTMEL1, ISTSL1, ISTSL2, JAR, JEG3, JHH7, JHOS3, JHOS4, JHU011, JHU022, JHU029, JSC1, JiyoyeP2003, Jurkat, K2, K5, KARPAS1106P, KARPAS231, KARPAS45, KG1, KGN, KINGS1, KMOE2, KNS81FD, KON, KOPN8, KOSC2, KP1N, KS1, KY821, KYAE1, KYSE220, KYSE270, KYSE50, LAN6, LB1047RCC, LB2241RCC, LB2518MEL, LB373MELD, LB647SCLC, LB771HNC, LB831BLC, LB996RCC, LC1sq, LC2ad, LC41, LN405, LNCaPCloneFGC, LNZTA3WT4, LOUCY, LU134A, LU135, LU139, LU165, LU99A, LoVo, M059J, MDAMB330, MDAMB436, ME180, MEG01, MFE280, MFHino, MFM223, MHHCALL2, MHHPREB1, MIAPaCa2, MKN28, ML2, MLMA, MN60, MOGGCCM, MOGGUVW, MRKnu1, MS1, MS751, MZ1PC, MZ2MEL, MZ7mel, Mewo, MoT, NB(TU)110, NB10, NB12, NB13, NB14, NB17, NB5, NB6, NB69, NB7, NCC010, NCC021, NCCIT, NCIH1048, NCIH1304, NCIH1436, NCIH1648, NCIH1688, NCIH1770, NCIH1781, NCIH1836, NCIH187, NCIH1876, NCIH1963, NCIH1993, NCIH2066, NCIH2135, NCIH2227, NCIH2347, NCIH292, NCIH3122, NCIH345, NCIH510A, NCIH596, NCIH64, NCIH720, NCIH748, NCIH82, NCIH835, NCIH847, NEC8, NH12, NKM1, NOS1, NY, OACM51, OACp4C, OCILY7, OCUBM, OE21, OSC19, OSC20, OV17R, OVCA420, OVKATE, OVMIU, P30OHK, P32ISH, PA1, PCI15A, PCI30, PCI38, PCI4B, PCI6A, PEO1, PFSK1, PL4, PWR1E, QIMRWIL, RCCAB, RCCER, RCCFG2, RCCJF, RCCJW, RCCMF, RCK8, RERFGC1B, RERFLCKJ, RERFLCSq1, RF48, RH1, RO82W1, ROS50, RPMI6666, RPMI8866, Raji, Ramos2G64C10, SAS, SAT, SBC1, SBC3, SCC15, SCC3, SCC90, SCH, SISO, SJRH30, SKGIIIa, SKGT2, SKGT4, SKMG1, SKN, SKN3, SKPNDW, SLVL, SNU1040, SNUC2B, STS0421, SUDHL16, SUDHL5, SUPB8, SW13, SW156, SW626, SW684, SW756, SW780, SW837, SW872, SW954, SW962, SW982, Saos2, SiHa, TCYIK, TE12, TGBC11TKB, TGBC1TKB, TGBC24TKB, TGW, TK, TT, TUR, TYKnu, U031, U266, U698M, UACC893, UMC11, UWB1.289, VAESBJ, VAL, VCaP, WIL2NS, WM1552C, WM278, WM35, WM793B, WSUNHL, YT, huH1, no10, no11"
2,1,GDSC2,0,
3,1,NCI,5,"MDAMB435, MDAN, NCIADRRES, SNB19, UO31"
4,2,GDSC1 & CTRP,0,
5,2,GDSC1 & GDSC2,0,
6,2,GDSC2 & CTRP,315,"253J, 253JBV, 5637, 697, 786O, A4FUK, ACCMESO1, AML193, ASPC1, BC3C, BCP1, BCPAP, BDCM, BECKER, BICR16, BICR18, BICR56, BICR6, BL70, BXPC3, C2BBE1, CAKI2, CALU1, CALU3, CALU6, CAOV3, CAPAN2, CCFSTTG1, CHAGOK1, CI1, CJM, CL34, COLO201, COLO320, COLO741, CORL47, CORL51, COV362, COV434, COV644, DAOY, DAUDI, DETROIT562, DLD1, DMS454, DV90, EB1, EFE184, EOL1, F36P, FTC238, G292CLONEA141B1, GMS10, GOS3, GP2D, GSS, GSU, H292, HCC1171, HCC1195, HCC1438, HCC1588, HCC1833, HCC2108, HCC2279, HCC2935, HCC33, HCC4006, HCC56, HCC95, HCT8, HDMYZ, HEC108, HEC151, HEC1A, HEC1B, HEC251, HEC265, HEC50B, HEC59, HEC6, HEL9217, HEP3B217, HEPG2, HEYA8, HLF, HMC18, HMCB, HPBALL, HS294T, HS611T, HS683, HS688AT, HS729, HS746T, HS766T, HS822T, HS839T, HS852T, HS888T, HS895T, HS934T, HS936T, HS940T, HS944T, HT, HUCCT1, HUG1N, HUH1, HUH28, HUH6, HUNS1, HUPT3, HUPT4, HUT78, IGR39, IMR32, ISHIKAWAHERAKLIO02ER, JHH5, JHOC5, JHOM1, JHUEM1, JHUEM2, JHUEM3, JK1, JL1, JMSU1, JURKAT, K029AX, KASUMI2, KE39, KE97, KG1C, KHM1B, KIJK, KMBC2, KMM1, KMRC2, KMRC3, KMS18, KMS20, KMS21BM, KMS26, KMS27, KMS28BM, KMS34, KNS60, KNS81, KO52, KPL1, KPNSI9S, KYO1, KYSE30, L33, LC1F, LC1SQSF, LI7, LMSU, LNCAPCLONEFGC, LOVO, LU99, LUDLU1, M059K, M07E, MCAS, MDAMB435S, MEC1, MEWO, MHHCALL3, MHHCALL4, MHHES1, MIAPACA2, MINO, MJ, MKN74, MOLM6, MOLP2, MONOMAC1, MORCPR, MOTN1, NB4, NCCSTCK140, NCIH1184, NCIH1339, NCIH1373, NCIH1385, NCIH1395, NCIH2081, NCIH2106, NCIH2126, NCIH2171, NCIH2286, NCIH322, NCIH508, NCIH510, NCIH660, NCIH889, NCO2, NH6, NUDHL1, OCILY10, OCILY3, ONCODG1, OUMS23, OVSAHO, P3HR1, PANC0504, PANC1, PATU8988S, PECAPJ15, PECAPJ34CLONEC12, PECAPJ41CLONED2, PECAPJ49, PEER, PFEIFFER, PK1, PK45H, PK59, PLCPRF5, RAJI, RDES, REC1, RERFLCAD1, RERFLCAD2, RERFLCAI, RH30, RI1, SAOS2, SCABER, SCLC21H, SEM, SET2, SH10TC, SKBR3, SKNBE2, SKNMC, SNU1, SNU1033, SNU1041, SNU1066, SNU1076, SNU1077, SNU1079, SNU1105, SNU119, SNU1196, SNU1214, SNU1272, SNU16, SNU182, SNU201, SNU213, SNU216, SNU245, SNU308, SNU410, SNU46, SNU466, SNU478, SNU489, SNU5, SNU503, SNU601, SNU620, SNU626, SNU668, SNU685, SNU719, SNU738, SNU761, SNU8, SNU840, SNU869, SNU878, SNU886, SNU899, SNUC2A, SNUC4, SQ1, SR786, SUPT11, SW1353, SW579, T24, T3M10, TALL1, TCCPAN2, TE14, TE617T, TF1, TM31, TOLEDO, TTTHYROID, TUHR10TKB, TUHR14TKB, TUHR4TKB, TYKNU, U251MG, U266B1, U937, UBLC1, UMUC1, VCAP, VMCUB1, VMRCRCW, WM1799, WM2664, WM793, WM88, WM983B, YD10B, YD15, YD38, YD8, ZR751"
7,2,NCI & CTRP,0,
8,2,NCI & GDSC1,19,"7860, CCRFCEM, EKVX, HCC2998, HOP62, HOP92, M14, MOLT4, NCIH322M, OVCAR3, OVCAR5, RXF393, SF268, SF539, SN12C, SNB75, SR, TK10, U251"
9,2,NCI & GDSC2,0,
