,Number of Datasets,Combination,Cell Line Count,Cell Line List
0,1,CTRP,540,"16betabromoandrosterone, 1S,3RRSL3, 3ClAHPC, 968, A804598, AACOCF3, ABT199, ABT737, AC55649, AGK2, AM580, AT13387, AT406, AT7867, AZ3146, AZD1480, AZD4547, AZD6482, AZD7545, AZD7762, AZD8055, B02, BCLLZH4, BEC, BI2536, BIBR1532, BIRB796, BIX01294, BMS195614, BMS270394, BMS345541, BMS536924, BMS754807, BRD1812, BRD1835, BRD4132, BRD6340, BRD8899, BRD8958, BRD9647, BRD9876, BRD9876:MK1775 (4:1 mol/mol), BRDA02303741, BRDA02303741:carboplatin (1:1 mol/mol), BRDA02303741:navitoclax (2:1 mol/mol), BRDA05715709, BRDA71883111, BRDA86708339, BRDA94377914, BRDK01737880, BRDK02251932, BRDK02492147, BRDK03536150, BRDK03911514, BRDK04800985, BRDK07442505, BRDK09344309, BRDK09587429, BRDK11533227, BRDK13185470, BRDK13999467, BRDK14844214, BRDK16130065, BRDK16147474, BRDK17060750, BRDK19103580, BRDK20514654, BRDK24690302, BRDK26531177, BRDK27188169, BRDK27188169:navitoclax (2:1 mol/mol), BRDK27224038, BRDK27986637, BRDK28456706, BRDK29086754, BRDK29313308, BRDK30019337, BRDK30748066, BRDK33199242, BRDK33514849, BRDK34099515, BRDK34222889, BRDK34485477, BRDK35604418, BRDK37390332, BRDK41334119, BRDK41597374, BRDK42260513, BRDK44224150, BRDK45681478, BRDK48334597, BRDK48477130, BRDK49290616, BRDK50799972, BRDK51490254, BRDK51831558, BRDK52037352, BRDK55116708, BRDK55473186, BRDK58730230, BRDK61166597, BRDK63431240, BRDK64610608, BRDK66453893, BRDK66532283, BRDK70511574, BRDK71781559, BRDK71935468, BRDK75293299, BRDK78574327, BRDK79669418, BRDK80183349, BRDK84807411, BRDK85133207, BRDK86535717, BRDK88742110, BRDK90370028, BRDK92856060, BRDK94991378, BRDK96431673, BRDK96970199, BRDK97651142, BRDK99006945, BRDK99584050, BRDM00053801, BYL719, Bax channel blocker, C6ceramide, CAL101, CAY10576, CAY10594, CAY10618, CBB1007, CCT036477, CD1530, CD437, CHIR99021, CHM1, CI976, CID5951923, CIL41, CIL55, CIL55A, CIL56, CIL70, COL3, CR131B, Ch55, Compound 1541A, Compound 23 citrate, Compound 7dcis, DBeQ, ELCPK, ETP46464, EX527, FGIN127, FQI1, FQI2, FSC231, GANT61, GDC0879, GDC0941, GMX1778, GSK1059615, GSK2636771, GSK3 inhibitor IX, GSK4112, GSK461364, GSK525762A, GSKJ4, GW405833, GW843682X, HBX41108, HC067047, HLI 373, IBET151, IC87114, IPR456, ISOX, ISOX:bortezomib (250:1 mol/mol), IU1, JQ1, JQ1:MK0752 (1:1 mol/mol), JQ1:UNC0638 (2:1 mol/mol), JQ1:carboplatin (1:1 mol/mol), JQ1:navitoclax (2:1 mol/mol), JQ1:vorinostat (2:1 mol/mol), JW480, JW55, JW74, KHCB19, KHS101, KPT185, KU 0060648, KU0063794, KU55933, KU60019, KW2449, KX2391, Ki8751, Ko143, L685458, LBH589, LE135, LRRK2IN1, LY2157299, LY2183240, MG132, MGCD265, MI1, MI2, MK1775, ML006, ML029, ML031, ML050, ML083, ML162, ML203, ML210, ML239, ML258, ML311, ML312, ML320, ML334 diastereomer, MLN2238, MLN2480, MST312, Mdivi1, Merck60, N9isopropylolomoucine, NPC26, NSC 74859, NSC19630, NSC23766, NSC30930, NSC48300, NSC632839, NSC95397, NVP231, NVPADW742, NVPBEZ235, NVPBSK805, NVPTAE684, O6benzylguanine, OSI027, OSI930, PAC1, PD 153035, PD318088, PDMP, PF184, PF3758309, PF4800567 hydrochloride, PF543, PF573228, PF750, PHA793887, PIK93, PLDI, PLX4032, PLX4720, PRIMA1, PRIMA1Met, PRL3 inhibitor I, PX12, PYR41, Platin, QS11, QWBI011, R428, RAF265, RG108, RITA, RO4929097, Repligen 136, SB225002, SB431542, SB525334, SB743921, SCH529074, SCH79797, SGX523, SID 26681509, SJ172550, SKIII, SMER3, SN38, SNS032, SNX2112, SNX2112:bortezomib (250:1 mol/mol), SR1001, SR8278, SRII138A, SRT1720, STF31, SU11274, SZ4TA2, StemRegenin 1, TG100115, TG101348, TGX221, TPCA1, TW37, UNC0321, UNC0638, UNC0638:navitoclax (1:1 mol/mol), VAF347, VER155008, VU0155056, VX680, WAY362450, WP1130, WZ4002, WZ8040, XL765, YK 4279, YL54, YM155, ZSTK474, abiraterone, afatinib, alisertib, alisertib:navitoclax (2:1 mol/mol), alvocidib, apicidin, austocystin D, avicin D, avrainvillamide, axitinib, azacitidine, barasertib, bardoxolone methyl, belinostat, bendamustine, betulinic acid, bexarotene, birinapant, blebbistatin, bleomycin A2, bortezomib, bosutinib, brivanib, cabozantinib, canertinib, carboplatin, carboplatin:UNC0638 (2:1 mol/mol), carboplatin:etoposide (40:17 mol/mol), cediranib, ceranib2, cerulenin, chlorambucil, ciclopirox, ciclosporin, cimetidine, clofarabine, compound 1B, crizotinib, crizotinib:PLX4032 (2:1 mol/mol), cucurbitacin I, curcumin, cyanoquinoline 11, cyclophosphamide, cytarabine hydrochloride, cytochalasin B, dabrafenib, dacarbazine, daporinad, darinaparsin, dasatinib, decitabine, decitabine:carboplatin (1:1 mol/mol), decitabine:navitoclax (2:1 mol/mol), dexamethasone, dinaciclib, docetaxel, docetaxel:tanespimycin (2:1 mol/mol), doxorubicin, doxorubicin:navitoclax (2:1 mol/mol), elocalcitol, entinostat, epigallocatechin3monogallate, erastin, erismodegib, erlotinib, erlotinib:PLX4032 (2:1 mol/mol), etomoxir, etoposide, fingolimod, fluorouracil, fluvastatin, foretinib, fulvestrant, fumonisin B1, gefitinib, gemcitabine, gossypol, hyperforin, ibrutinib, ifosfamide, imatinib, importazole, indisulam, isoevodiamine, isoliquiritigenin, isonicotinohydroxamic acid, istradefylline, itraconazole, lapatinib, lenvatinib, leptomycin B, linifanib, linsitinib, lomeguatrib, lovastatin, manumycin A, marinopyrrole A, masitinib, methotrexate, methylstat, mitomycin, momelotinib, myricetin, myriocin, nakiterpiosin, narciclasine, navitoclax, navitoclax:MST312 (1:1 mol/mol), navitoclax:PLX4032 (1:1 mol/mol), navitoclax:birinapant (1:1 mol/mol), navitoclax:gemcitabine (1:1 mol/mol), navitoclax:piperlongumine (1:1 mol/mol), navitoclax:pluripotin (1:1 mol/mol), navitoclax:sorafenib (1:1 mol/mol), necrostatin1, necrostatin7, necrosulfonamide, nelarabine, neopeltolide, neratinib, neuronal differentiation inducer III, niclosamide, nilotinib, nintedanib, nutlin3, obatoclax, olaparib, oligomycin A, omacetaxine mepesuccinate, ouabain, oxaliplatin, paclitaxel, palmostatin B, pandacostat, parbendazole, parthenolide, pazopanib, pevonedistat, phloretin, pifithrinalpha, pifithrinmu, piperlongumine, piperlongumine:MST312 (1:1 mol/mol), pitstop2, pluripotin, procarbazine, prochlorperazine, purmorphamine, pyrazolanthrone, quizartinib, regorafenib, rigosertib, ruxolitinib, salermide, salermide:PLX4032 (12:1 mol/mol), saracatinib, selumetinib, selumetinib:BRDA02303741 (4:1 mol/mol), selumetinib:GDC0941 (4:1 mol/mol), selumetinib:JQ1 (4:1 mol/mol), selumetinib:MK2206 (8:1 mol/mol), selumetinib:PLX4032 (8:1 mol/mol), selumetinib:UNC0638 (4:1 mol/mol), selumetinib:decitabine (4:1 mol/mol), selumetinib:navitoclax (8:1 mol/mol), selumetinib:piperlongumine (8:1 mol/mol), selumetinib:tretinoin (2:1 mol/mol), selumetinib:vorinostat (8:1 mol/mol), semagacestat, serdemetan, serdemetan:SCH529074 (1:1 mol/mol), sildenafil, silmitasertib, simvastatin, sirolimus, sirolimus:bortezomib (250:1 mol/mol), sitagliptin, skepinoneL, sorafenib, sotrastaurin, spautin1, staurosporine, sunitinib, tacedinaline, tacrolimus, tamatinib, tamoxifen, tandutinib, tanespimycin, tanespimycin:bortezomib (250:1 mol/mol), tanespimycin:gemcitabine (1:1 mol/mol), temozolomide, temsirolimus, teniposide, thalidomide, tigecycline, tipifarnibP1, tipifarnibP2, tivantinib, tivozanib, topotecan, tosedostat, trametinib, tretinoin, tretinoin:carboplatin (2:1 mol/mol), tretinoin:navitoclax (4:1 mol/mol), triazolothiadiazine, trifluoperazine, triptolide, tubastatin A, valdecoxib, vandetanib, veliparib, vincristine, vorapaxar, vorinostat, vorinostat:carboplatin (1:1 mol/mol), vorinostat:navitoclax (4:1 mol/mol), zebularine"
1,1,GDSC1,0,
2,1,GDSC2,0,
