,Drug Name,DrugBank ID,PubChem CID,PubChem SID,SMILES,Targets Name,Targets
0,Lepirudin,DB00001,,46507011,,['Prothrombin'],['P00734']
1,Cetuximab,DB00002,,46507042,,"['Epidermal growth factor receptor', 'Low affinity immunoglobulin gamma Fc region receptor III-B', 'Complement C1q subcomponent subunit A', 'Complement C1q subcomponent subunit B', 'Complement C1q subcomponent subunit C', 'Low affinity immunoglobulin gamma Fc region receptor III-A', 'High affinity immunoglobulin gamma Fc receptor I', 'Low affinity immunoglobulin gamma Fc region receptor II-a']","['P00533', 'O75015', 'P02745', 'P02746', 'P02747', 'P08637', 'P12314', 'P12318']"
2,Denileukin diftitox,DB00004,,46506950,,"['Interleukin-2 receptor subunit alpha', 'Interleukin-2 receptor subunit beta', 'Cytokine receptor common subunit gamma']","['P01589', 'P14784', 'P31785']"
3,Etanercept,DB00005,,46506732,,"['Tumor necrosis factor', 'Lymphotoxin-alpha', 'High affinity immunoglobulin gamma Fc receptor I', 'Low affinity immunoglobulin gamma Fc region receptor II-a', 'Low affinity immunoglobulin gamma Fc region receptor II-b', 'Low affinity immunoglobulin gamma Fc region receptor II-c', 'Low affinity immunoglobulin gamma Fc region receptor III-A', 'Low affinity immunoglobulin gamma Fc region receptor III-B', 'Complement component 1q (C1q)']","['P01375', 'P01374', 'P12314', 'P12318', 'P31994', 'P31995', 'P08637', 'O75015', 'P02745']"
4,Bivalirudin,DB00006,16129704,46507415,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC(C)C)C(O)=O,['Prothrombin'],['P00734']
5,Leuprolide,DB00007,,46507635,CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1,['Gonadotropin-releasing hormone receptor'],['P30968']
6,Peginterferon alfa-2a,DB00008,,46504860,,"['Interferon alpha/beta receptor 2', 'Interferon alpha/beta receptor 1']","['P48551', 'P17181']"
7,Alteplase,DB00009,,46507035,,"['Plasminogen', 'Fibrinogen alpha chain', 'Fibrinogen gamma chain', 'Plasminogen activator inhibitor 1']","['P00747', 'P02671', 'P02679', 'P05121']"
8,Sermorelin,DB00010,,46507399,,['Growth hormone-releasing hormone receptor'],['Q02643']
9,Interferon alfa-n1,DB00011,,46506227,,"['Interferon alpha/beta receptor 1', 'Interferon alpha/beta receptor 2']","['P17181', 'P48551']"
10,Darbepoetin alfa,DB00012,,46504480,,['Erythropoietin receptor'],['P19235']
11,Urokinase,DB00013,,46506299,,"['Plasminogen', 'Urokinase plasminogen activator surface receptor', 'Plasminogen activator inhibitor 1', 'Plasminogen activator inhibitor 2', 'Plasma serine protease inhibitor', 'Low-density lipoprotein receptor-related protein 2', 'Suppressor of tumorigenicity 14 protein', 'Nidogen-1']","['P00747', 'Q03405', 'P05121', 'P05120', 'P05154', 'P98164', 'Q9Y5Y6', 'P14543']"
12,Goserelin,DB00014,5311128,46507336,CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O,"['Lutropin-choriogonadotropic hormone receptor', 'Gonadotropin-releasing hormone receptor']","['P22888', 'P30968']"
13,Reteplase,DB00015,,46506092,,"['Plasminogen', 'Fibrinogen alpha chain', 'Plasminogen activator inhibitor 1']","['P00747', 'P02671', 'P05121']"
14,Erythropoietin,DB00016,,46508122,,['Erythropoietin receptor'],['P19235']
15,Salmon calcitonin,DB00017,,46506061,,['Calcitonin receptor'],['P30988']
16,Interferon alfa-n3,DB00018,,46508902,,"['Interferon alpha/beta receptor 1', 'Interferon alpha/beta receptor 2']","['P17181', 'P48551']"
17,Pegfilgrastim,DB00019,,46505853,,['Granulocyte colony-stimulating factor receptor'],['Q99062']
18,Sargramostim,DB00020,,46507000,,"['Granulocyte-macrophage colony-stimulating factor receptor subunit alpha', 'Interleukin-3 receptor subunit alpha', 'Cytokine receptor common subunit beta', 'Syndecan-2', 'Bone marrow proteoglycan']","['P15509', 'P26951', 'P32927', 'P34741', 'P13727']"
19,Peginterferon alfa-2b,DB00022,,46506669,,"['Interferon alpha/beta receptor 1', 'Interferon alpha/beta receptor 2']","['P17181', 'P48551']"
20,Thyrotropin alfa,DB00024,,46505696,,['Thyrotropin receptor'],['P16473']
21,"Antihemophilic factor, human recombinant",DB00025,,46506209,,"['Coagulation factor X', 'Coagulation factor IX', 'von Willebrand factor', 'Phytanoyl-CoA dioxygenase, peroxisomal', 'Asialoglycoprotein receptor 2', '78 kDa glucose-regulated protein', 'Calreticulin', 'Calnexin', 'Protein ERGIC-53', 'Prolow-density lipoprotein receptor-related protein 1', 'Multiple coagulation factor deficiency protein 2']","['P00742', 'P00740', 'P04275', 'O14832', 'P07307', 'P11021', 'P27797', 'P27824', 'P49257', 'Q07954', 'Q8NI22']"
22,Anakinra,DB00026,,46507944,,['Interleukin-1 receptor type 1'],['P14778']
23,Human immunoglobulin G,DB00028,,46508774,,"['High affinity immunoglobulin gamma Fc receptor I', 'High affinity immunoglobulin gamma Fc receptor IB', 'Low affinity immunoglobulin gamma Fc region receptor II-a', 'Low affinity immunoglobulin gamma Fc region receptor II-b', 'Low affinity immunoglobulin gamma Fc region receptor II-c', 'Low affinity immunoglobulin gamma Fc region receptor III-A', 'Low affinity immunoglobulin gamma Fc region receptor III-B', 'Complement C3', 'Complement C4-A', 'Complement C4-B', 'Complement C5']","['P12314', 'Q92637', 'P12318', 'P31994', 'P31995', 'P08637', 'O75015', 'P01024', 'P0C0L4', 'P0C0L5', 'P01031']"
24,Anistreplase,DB00029,,46504487,,"['Plasminogen', 'Fibrinogen alpha chain', 'Plasminogen activator inhibitor 1']","['P00747', 'P02671', 'P05121']"
25,Insulin human,DB00030,,46506231,,"['Insulin receptor', 'Insulin-like growth factor 1 receptor', 'Carboxypeptidase E', 'Protein NOV homolog', 'Low-density lipoprotein receptor-related protein 2', 'Insulin-like growth factor-binding protein 7']","['P06213', 'P08069', 'P16870', 'P48745', 'P98164', 'Q16270']"
26,Tenecteplase,DB00031,,46508657,,"['Plasminogen', 'Fibrinogen alpha chain', 'Urokinase plasminogen activator surface receptor', 'Plasminogen activator inhibitor 1', 'Plasminogen activator inhibitor 2', 'Tetranectin', 'Keratin, type II cytoskeletal 8', 'Annexin A2', 'Calreticulin', 'Calnexin', 'Prolow-density lipoprotein receptor-related protein 1']","['P00747', 'P02671', 'Q03405', 'P05121', 'P05120', 'P05452', 'P05787', 'P07355', 'P27797', 'P27824', 'Q07954']"
27,Menotropins,DB00032,,46504503,,"['Follicle-stimulating hormone receptor', 'Lutropin-choriogonadotropic hormone receptor']","['P23945', 'P22888']"
28,Interferon gamma-1b,DB00033,,46507194,,"['Interferon gamma receptor 1', 'Interferon gamma receptor 2']","['P15260', 'P38484']"
29,Interferon alfa-2a,DB00034,,46506712,,"['Interferon alpha/beta receptor 1', 'Interferon alpha/beta receptor 2']","['P17181', 'P48551']"
30,Desmopressin,DB00035,,,NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@H](CCCNC(N)=N)C(=O)NCC(N)=O,"['Vasopressin V2 receptor', 'Vasopressin V1a receptor', 'Vasopressin V1b receptor']","['P30518', 'P37288', 'P47901']"
