0,1
BR:MCF7,MCF7
BR:MDA-MB-231,MDA_MB_231
BR:HS 578T,HS578T
BR:BT-549,BT_549
BR:T-47D,T47D
CNS:SF-268,SF_268
CNS:SF-295,SF_295
CNS:SF-539,SF_539
CNS:SNB-19,SNB_19
CNS:SNB-75,SNB_75
CNS:U251,U251
CO:COLO 205,COLO205
CO:HCC-2998,HCC_2998
CO:HCT-116,HCT_116
CO:HCT-15,HCT_15
CO:HT29,HT29
CO:KM12,KM12
CO:SW-620,SW_620
LE:CCRF-CEM,CCRF_CEM
LE:HL-60(TB),HL_60
LE:K-562,K_562
LE:MOLT-4,MOLT_4
LE:RPMI-8226,RPMI_8226
LE:SR,SR
ME:LOX IMVI,LOXIMVI
ME:MALME-3M,MALME_3M
ME:M14,M14
ME:SK-MEL-2,SK_MEL_2
ME:SK-MEL-28,SK_MEL_28
ME:SK-MEL-5,SK_MEL_5
ME:UACC-257,UACC_257
ME:UACC-62,UACC_62
ME:MDA-MB-435,MDA_MB_435
ME:MDA-N,MDA_N
LC:A549/ATCC,A549
LC:EKVX,EKVX
LC:HOP-62,HOP_62
LC:HOP-92,HOP_92
LC:NCI-H226,NCI_H226
LC:NCI-H23,NCI_H23
LC:NCI-H322M,NCI_H322M
LC:NCI-H460,NCI_H460
LC:NCI-H522,NCI_H522
OV:IGROV1,IGROV1
OV:OVCAR-3,OVCAR_3
OV:OVCAR-4,OVCAR_4
OV:OVCAR-5,OVCAR_5
OV:OVCAR-8,OVCAR_8
OV:SK-OV-3,SK_OV_3
OV:NCI/ADR-RES,NCI_ADR_RES
PR:PC-3,PC_3
PR:DU-145,DU_145
RE:786-0,786_0
RE:A498,A498
RE:ACHN,ACHN
RE:CAKI-1,CAKI_1
RE:RXF 393,RXF_393
RE:SN12C,SN12C
RE:TK-10,TK_10
RE:UO-31,UO_31
